 ,Area,Mean,Min,Max,XM,YM,Major,Minor,Angle,Slice
1,1016,255,255,255,1319.069,185.860,0.000,0.000,0.000,1
2,903,255,255,255,1042.967,185.904,0.000,0.000,0.000,1
3,825,255,255,255,748.511,186.644,0.000,0.000,0.000,1
4,952,255,255,255,889.314,187.055,0.000,0.000,0.000,1
5,880,255,255,255,463.655,188.772,0.000,0.000,0.000,1
6,867,255,255,255,598.945,188.352,0.000,0.000,0.000,1
7,850,255,255,255,1179.854,189.227,0.000,0.000,0.000,1
8,874,255,255,255,1046.803,1532.961,0.000,0.000,0.000,1
9,927,255,255,255,654.038,1534.488,0.000,0.000,0.000,1
10,987,255,255,255,511.447,1535.489,0.000,0.000,0.000,1
11,936,255,255,255,772.143,1536.170,0.000,0.000,0.000,1
12,956,255,255,255,1302.219,1535.524,0.000,0.000,0.000,1
13,889,255,255,255,905.502,1536.803,0.000,0.000,0.000,1
14,943,255,255,255,1166.165,1536.936,0.000,0.000,0.000,1
15,1017,255,255,255,1318.278,219.065,37.980,34.094,81.648,2
16,889,255,255,255,1042.517,219.102,34.802,32.524,91.281,2
17,824,255,255,255,747.865,219.900,33.666,31.163,112.582,2
18,939,255,255,255,888.998,220.448,34.792,34.363,87.021,2
19,877,255,255,255,462.962,221.853,35.247,31.680,116.337,2
20,861,255,255,255,598.205,221.560,33.241,32.979,103.359,2
21,852,255,255,255,1179.365,222.426,33.378,32.501,28.790,2
22,859,255,255,255,1046.644,1500.627,33.618,32.534,36.376,2
23,911,255,255,255,653.683,1502.372,35.100,33.046,32.553,2
24,978,255,255,255,511.127,1503.377,36.040,34.551,33.854,2
25,948,255,255,255,1301.927,1503.218,35.529,33.973,153.650,2
26,923,255,255,255,771.915,1504.077,34.857,33.715,50.117,2
27,872,255,255,255,905.084,1504.712,35.779,31.031,106.248,2
28,939,255,255,255,1166.012,1504.696,35.415,33.759,143.097,2
29,1009,255,255,255,1318.854,188.032,37.545,34.218,81.675,3
30,878,255,255,255,1042.746,188.510,34.444,32.455,81.326,3
31,817,255,255,255,748.231,189.256,33.634,30.928,111.346,3
32,933,255,255,255,889.290,189.593,34.667,34.267,58.415,3
33,884,255,255,255,463.449,191.438,35.382,31.811,115.468,3
34,859,255,255,255,598.792,190.831,33.490,32.658,176.000,3
35,829,255,255,255,1179.714,191.482,32.892,32.090,166.186,3
36,862,255,255,255,1045.603,1532.371,33.846,32.427,38.161,3
37,913,255,255,255,652.829,1533.467,35.212,33.013,37.650,3
