 ,Area,Mean,Min,Max,XM,YM,Major,Minor,Angle,Slice
1,1024,255,255,255,203.882,421.522,0.000,0.000,0.000,1
2,1219,255,255,255,200.178,545.250,0.000,0.000,0.000,1
3,1036,255,255,255,1521.689,558.683,0.000,0.000,0.000,1
4,1026,255,255,255,204.246,667.762,0.000,0.000,0.000,1
5,1040,255,255,255,1522.401,685.867,0.000,0.000,0.000,1
6,1029,255,255,255,198.457,799.559,0.000,0.000,0.000,1
7,1039,255,255,255,1523.947,810.109,0.000,0.000,0.000,1
8,1046,255,255,255,202.007,912.325,0.000,0.000,0.000,1
9,1263,255,255,255,1520.768,921.063,0.000,0.000,0.000,1
10,890,255,255,255,201.698,1045.746,0.000,0.000,0.000,1
11,1074,255,255,255,1523.720,1048.896,0.000,0.000,0.000,1
12,1051,255,255,255,1521.726,1164.803,0.000,0.000,0.000,1
13,1187,255,255,255,201.012,1171.155,0.000,0.000,0.000,1
14,1042,255,255,255,1525.603,1299.591,0.000,0.000,0.000,1
15,1033,255,255,255,198.125,404.478,40.371,32.580,16.130,2
16,1228,255,255,255,196.481,528.128,41.576,37.607,9.162,2
17,1043,255,255,255,1516.615,579.082,40.641,32.676,45.190,2
18,1010,255,255,255,202.188,650.366,38.538,33.369,83.728,2
19,1052,255,255,255,1519.328,706.144,39.021,34.327,38.690,2
20,1043,255,255,255,198.720,782.441,39.898,33.284,44.706,2
21,1042,255,255,255,1522.739,830.502,37.960,34.950,64.586,2
22,1080,255,255,255,203.851,895.304,38.660,35.569,176.595,2
23,1285,255,255,255,1521.461,941.458,42.705,38.312,175.032,2
24,907,255,255,255,205.672,1028.647,35.465,32.563,36.532,2
25,1075,255,255,255,1526.404,1069.128,38.581,35.477,70.000,2
26,1189,255,255,255,206.931,1154.037,45.958,32.941,58.489,2
27,1051,255,255,255,1525.980,1185.344,38.074,35.146,48.503,2
28,1046,255,255,255,1532.056,1320.221,37.392,35.617,86.806,2
29,1035,255,255,255,199.836,422.393,40.416,32.606,13.979,3
30,1206,255,255,255,195.973,546.245,41.307,37.173,7.157,3
31,1021,255,255,255,1525.170,557.940,40.012,32.489,46.969,3
32,1008,255,255,255,199.695,668.402,38.450,33.379,84.269,3
33,1041,255,255,255,1525.706,684.361,38.553,34.380,36.535,3
34,1037,255,255,255,193.925,800.524,39.302,33.595,40.209,3
35,1041,255,255,255,1527.016,808.902,38.115,34.775,63.532,3
36,1084,255,255,255,197.276,912.994,38.848,35.528,175.896,3
37,1281,255,255,255,1523.714,920.200,42.551,38.331,174.306,3
38,1071,255,255,255,1526.481,1047.748,38.124,35.769,72.302,3
39,907,255,255,255,196.630,1046.635,35.664,32.381,33.410,3
40,1048,255,255,255,1524.108,1163.818,37.685,35.408,39.798,3
41,1176,255,255,255,195.979,1171.912,45.965,32.575,57.317,3
42,1028,255,255,255,1527.981,1299.189,37.272,35.117,88.607,3
43,1019,255,255,255,202.073,437.519,40.675,31.897,9.514,4
44,1057,255,255,255,1529.797,538.977,40.536,33.200,41.822,4
45,1223,255,255,255,196.646,561.081,41.626,37.409,9.008,4
46,1057,255,255,255,1528.616,665.463,38.745,34.735,35.922,4
47,1017,255,255,255,198.987,683.563,38.428,33.697,82.169,4
48,1064,255,255,255,1528.055,790.148,38.610,35.088,60.879,4
49,1027,255,255,255,191.208,815.398,39.153,33.398,45.102,4
50,1286,255,255,255,1523.239,901.246,42.636,38.404,174.139,4
51,1073,255,255,255,193.223,928.057,38.628,35.368,167.177,4
52,1092,255,255,255,1524.174,1029.053,38.533,36.083,68.468,4
53,904,255,255,255,190.788,1061.410,35.622,32.312,31.444,4
54,1060,255,255,255,1520.381,1144.925,38.041,35.479,35.055,4
55,1194,255,255,255,188.489,1187.027,46.425,32.746,56.824,4
56,1030,255,255,255,1522.226,1280.295,36.994,35.450,90.264,4
57,1046,255,255,255,202.888,424.399,40.337,33.017,13.858,5
58,1222,255,255,255,199.335,547.917,41.351,37.627,6.031,5
59,1032,255,255,255,1527.456,558.755,40.409,32.517,44.681,5
60,1005,255,255,255,203.231,670.423,38.737,33.033,79.845,5
61,1044,255,255,255,1528.172,685.400,38.435,34.585,33.120,5
62,1044,255,255,255,197.469,802.126,39.662,33.515,39.738,5
63,1056,255,255,255,1529.441,809.568,38.679,34.762,61.034,5
64,1086,255,255,255,200.831,914.748,39.166,35.305,173.834,5
65,1282,255,255,255,1526.257,920.667,42.987,37.971,176.061,5
66,1069,255,255,255,1529.156,1048.552,38.464,35.386,74.354,5
67,907,255,255,255,200.438,1048.171,35.775,32.280,36.318,5
68,1043,255,255,255,1526.888,1164.390,37.456,35.454,43.284,5
69,1193,255,255,255,199.775,1173.696,46.502,32.665,55.761,5
70,1048,255,255,255,1530.800,1299.206,37.636,35.455,83.079,5
71,1029,255,255,255,191.725,385.750,40.576,32.289,15.469,6
72,1215,255,255,255,191.823,509.372,41.625,37.165,10.598,6
73,1031,255,255,255,1509.822,598.542,40.077,32.755,44.480,6
74,1007,255,255,255,199.692,631.508,38.084,33.667,78.303,6
75,1031,255,255,255,1514.386,725.357,38.389,34.195,33.120,6
76,1044,255,255,255,197.904,763.900,39.735,33.453,40.307,6
77,1052,255,255,255,1519.841,849.654,38.390,34.890,67.469,6
78,1061,255,255,255,204.911,876.215,38.676,34.929,174.460,6
79,1272,255,255,255,1520.216,960.814,43.063,37.610,175.636,6
80,900,255,255,255,208.657,1009.742,35.719,32.081,35.183,6
81,1073,255,255,255,1527.058,1088.344,38.353,35.621,69.795,6
82,1187,255,255,255,212.058,1135.169,45.872,32.947,57.832,6
83,1052,255,255,255,1528.811,1204.487,38.005,35.244,38.177,6
84,1039,255,255,255,1536.963,1339.480,36.708,36.038,87.732,6
85,1029,255,255,255,197.493,420.914,40.560,32.302,12.948,7
86,1231,255,255,255,193.945,544.303,41.402,37.857,10.504,7
87,1027,255,255,255,1525.669,557.375,40.463,32.316,47.122,7
88,1017,255,255,255,197.775,666.382,38.159,33.934,82.876,7
89,1034,255,255,255,1526.089,683.992,38.490,34.204,37.929,7
90,1043,255,255,255,192.294,798.780,39.672,33.474,44.437,7
91,1047,255,255,255,1527.488,808.401,38.791,34.366,62.519,7
92,1073,255,255,255,195.464,911.258,38.483,35.501,177.344,7
93,1292,255,255,255,1524.641,919.639,42.768,38.464,168.803,7
94,908,255,255,255,195.025,1044.803,35.685,32.397,31.969,7
95,1091,255,255,255,1527.247,1047.350,39.087,35.539,78.206,7
96,1039,255,255,255,1525.078,1163.121,37.752,35.041,47.912,7
97,1181,255,255,255,194.530,1170.362,46.039,32.661,56.421,7
98,1048,255,255,255,1529.080,1298.385,37.083,35.983,82.272,7
99,1023,255,255,255,212.613,460.637,40.741,31.971,10.714,8
100,1025,255,255,255,1541.571,519.990,40.149,32.505,46.004,8
101,1230,255,255,255,205.012,584.169,41.558,37.684,5.647,8
102,1031,255,255,255,1537.861,646.163,38.412,34.174,33.681,8
103,1015,255,255,255,204.898,706.187,38.523,33.547,76.165,8
104,1047,255,255,255,1535.098,771.032,38.445,34.675,64.476,8
105,1027,255,255,255,194.992,838.098,39.441,33.154,37.559,8
106,1284,255,255,255,1528.564,881.999,43.047,37.978,170.252,8
107,1056,255,255,255,194.834,950.555,38.647,34.790,173.024,8
108,1080,255,255,255,1527.099,1009.669,38.751,35.485,69.497,8
109,897,255,255,255,190.504,1084.100,35.214,32.433,29.560,8
110,1051,255,255,255,1521.155,1125.595,37.642,35.550,34.953,8
111,1187,255,255,255,185.672,1209.579,45.846,32.966,54.315,8
112,1044,255,255,255,1520.706,1260.701,37.414,35.528,95.793,8
113,1028,255,255,255,203.173,424.817,40.456,32.354,11.860,9
114,1216,255,255,255,199.366,548.484,41.646,37.177,4.694,9
115,1037,255,255,255,1525.653,559.744,40.165,32.873,44.095,9
116,1027,255,255,255,203.363,670.453,38.399,34.054,80.722,9
117,1040,255,255,255,1526.255,686.347,38.605,34.300,41.664,9
118,1040,255,255,255,197.700,802.724,39.863,33.218,40.175,9
119,1048,255,255,255,1527.670,810.811,38.715,34.466,60.328,9
120,1042,255,255,255,201.113,915.296,38.774,34.216,169.999,9
121,1289,255,255,255,1524.554,922.104,42.783,38.361,173.321,9
122,1070,255,255,255,1527.340,1049.742,38.061,35.795,62.866,9
123,920,255,255,255,200.525,1048.799,36.212,32.348,27.450,9
124,1051,255,255,255,1525.362,1165.918,38.083,35.138,35.066,9
125,1214,255,255,255,200.026,1174.172,46.095,33.533,56.505,9
126,1036,255,255,255,1529.403,1301.016,37.275,35.387,82.299,9
127,1029,255,255,255,186.026,365.874,40.174,32.613,19.822,10
128,1206,255,255,255,188.249,489.597,41.189,37.280,10.768,10
129,991,255,255,255,197.812,611.658,38.329,32.920,87.288,10
130,1030,255,255,255,1504.957,618.285,40.274,32.563,49.372,10
131,1044,255,255,255,198.431,743.610,39.942,33.280,46.587,10
132,1045,255,255,255,1511.853,744.687,38.535,34.528,38.879,10
133,1067,255,255,255,207.250,856.075,38.684,35.119,177.308,10
134,1038,255,255,255,1519.140,868.916,38.541,34.291,63.993,10
135,1270,255,255,255,1521.187,980.087,42.736,37.837,175.063,10
136,909,255,255,255,212.866,989.567,35.698,32.421,31.891,10
137,1082,255,255,255,1530.216,1107.389,38.428,35.850,75.380,10
138,1181,255,255,255,218.431,1115.044,45.762,32.859,58.518,10
139,1069,255,255,255,1533.729,1223.698,38.537,35.320,42.992,10
140,1045,255,255,255,1544.298,1358.370,37.041,35.921,85.183,10
141,1039,255,255,255,193.437,418.001,40.830,32.400,15.459,11
142,1221,255,255,255,189.732,541.770,41.562,37.405,5.368,11
143,1032,255,255,255,1523.593,558.121,40.330,32.581,44.186,11
144,1003,255,255,255,193.928,663.691,37.610,33.955,79.608,11
145,1043,255,255,255,1524.348,684.536,38.483,34.508,32.743,11
146,1051,255,255,255,188.231,795.902,40.103,33.368,44.715,11
147,1053,255,255,255,1525.799,809.498,38.290,35.015,60.750,11
148,1075,255,255,255,191.912,908.412,38.631,35.431,171.356,11
149,1272,255,255,255,1522.857,920.545,42.897,37.754,171.870,11
150,899,255,255,255,191.661,1042.087,35.424,32.312,29.287,11
151,1079,255,255,255,1525.715,1048.183,38.283,35.886,75.791,11
152,1052,255,255,255,1523.930,1164.218,37.894,35.347,51.720,11
153,1183,255,255,255,191.398,1167.558,45.589,33.040,57.234,11
154,1042,255,255,255,1527.855,1299.155,37.312,35.558,91.007,11
155,1028,255,255,255,214.394,476.969,40.596,32.242,11.619,12
156,1020,255,255,255,1543.019,503.857,40.013,32.457,41.958,12
157,1220,255,255,255,204.867,600.368,41.061,37.830,5.894,12
158,1055,255,255,255,1537.643,630.509,38.766,34.650,35.454,12
159,1011,255,255,255,203.312,723.093,38.240,33.662,78.541,12
160,1062,255,255,255,1533.305,754.577,38.295,35.309,63.282,12
161,1027,255,255,255,191.769,854.239,39.277,33.293,37.733,12
162,1283,255,255,255,1525.110,865.739,42.788,38.178,171.997,12
163,1061,255,255,255,189.806,966.620,38.993,34.645,173.993,12
164,1096,255,255,255,1522.084,993.197,38.736,36.025,73.858,12
165,905,255,255,255,183.512,1100.201,35.558,32.406,28.697,12
166,1073,255,255,255,1514.684,1109.322,38.165,35.797,36.892,12
167,1200,255,255,255,177.175,1225.493,46.025,33.197,53.313,12
168,1044,255,255,255,1512.371,1244.246,37.101,35.828,74.405,12
169,1039,255,255,255,202.165,425.313,40.616,32.571,13.606,13
170,1224,255,255,255,198.304,548.877,41.429,37.617,10.658,13
171,1037,255,255,255,1523.660,559.852,40.729,32.418,42.666,13
172,1022,255,255,255,201.997,671.258,39.009,33.358,81.292,13
173,1033,255,255,255,1524.144,686.861,38.397,34.254,39.981,13
174,1038,255,255,255,196.410,803.276,39.808,33.200,43.728,13
175,1049,255,255,255,1525.874,811.092,38.275,34.895,55.860,13
176,1062,255,255,255,199.569,915.800,38.546,35.079,175.179,13
177,1276,255,255,255,1522.579,922.236,42.557,38.176,173.011,13
178,1082,255,255,255,1525.200,1049.980,38.530,35.756,71.620,13
179,923,255,255,255,199.365,1049.530,36.271,32.400,31.024,13
180,1045,255,255,255,1523.317,1166.073,37.880,35.125,42.659,13
181,1182,255,255,255,198.558,1174.926,45.479,33.091,56.686,13
182,1053,255,255,255,1527.179,1300.973,37.774,35.493,86.356,13
183,1025,255,255,255,177.889,344.538,40.028,32.604,21.576,14
184,1211,255,255,255,182.301,468.318,41.575,37.087,7.602,14
185,992,255,255,255,193.971,590.007,37.913,33.314,87.395,14
186,1027,255,255,255,1496.959,639.148,40.207,32.522,49.730,14
187,1026,255,255,255,196.672,721.794,39.545,33.034,45.845,14
188,1039,255,255,255,1505.610,765.692,38.716,34.169,37.491,14
189,1067,255,255,255,207.332,834.347,39.023,34.814,174.602,14
190,1052,255,255,255,1514.749,889.703,38.299,34.973,62.482,14
191,898,255,255,255,215.283,967.734,35.626,32.093,34.705,14
192,1272,255,255,255,1518.981,1000.909,43.044,37.626,176.412,14
193,1182,255,255,255,222.744,1093.179,45.871,32.809,60.904,14
194,1063,255,255,255,1529.901,1128.101,37.828,35.780,72.282,14
195,1052,255,255,255,1535.376,1244.228,38.301,34.972,48.660,14
196,1050,255,255,255,1548.207,1378.498,37.165,35.972,82.320,14
197,1017,255,255,255,196.140,421.077,40.521,31.956,14.365,15
198,1209,255,255,255,192.362,544.590,41.192,37.370,8.856,15
199,1033,255,255,255,1527.193,558.212,40.157,32.753,42.523,15
200,1005,255,255,255,196.281,667.171,38.020,33.656,85.404,15
201,1027,255,255,255,1527.915,684.935,38.368,34.081,34.622,15
202,1025,255,255,255,190.573,799.015,39.422,33.105,43.626,15
203,1057,255,255,255,1529.129,809.338,38.354,35.089,62.381,15
204,1067,255,255,255,193.955,911.554,38.712,35.093,170.273,15
205,1266,255,255,255,1525.998,920.584,42.759,37.698,175.290,15
206,904,255,255,255,193.684,1045.054,35.307,32.600,33.624,15
207,1080,255,255,255,1528.726,1047.925,38.484,35.732,76.479,15
208,1057,255,255,255,1526.523,1164.168,38.155,35.272,44.258,15
209,1174,255,255,255,193.040,1170.468,45.499,32.853,58.639,15
210,1041,255,255,255,1530.396,1298.515,37.339,35.497,83.564,15
211,1019,255,255,255,1550.474,485.350,40.144,32.319,42.625,16
212,1027,255,255,255,222.137,495.444,40.340,32.415,11.630,16
213,1031,255,255,255,1543.368,611.724,38.407,34.179,26.936,16
214,1221,255,255,255,210.719,618.387,41.948,37.061,4.834,16
215,1062,255,255,255,1537.030,736.092,38.857,34.799,66.225,16
216,1033,255,255,255,207.314,740.887,38.895,33.815,76.930,16
217,1278,255,255,255,1527.014,847.206,42.921,37.911,170.508,16
218,1025,255,255,255,193.598,871.890,39.236,33.262,40.454,16
219,1092,255,255,255,1521.941,974.736,38.892,35.750,65.300,16
220,1055,255,255,255,190.058,984.573,38.335,35.040,167.033,16
221,1063,255,255,255,1512.690,1090.504,38.135,35.491,36.865,16
222,904,255,255,255,181.779,1117.946,35.500,32.423,27.591,16
223,1042,255,255,255,1508.399,1225.177,37.038,35.820,105.102,16
224,1215,255,255,255,173.502,1243.040,46.208,33.479,53.533,16
225,1042,255,255,255,202.418,425.554,40.659,32.631,16.378,17
226,1231,255,255,255,198.868,549.256,42.396,36.969,8.711,17
227,1029,255,255,255,1524.951,559.592,40.621,32.253,46.924,17
228,1036,255,255,255,202.764,671.542,39.240,33.615,81.169,17
229,1041,255,255,255,1525.520,686.446,38.653,34.291,37.578,17
230,1053,255,255,255,196.892,803.558,39.760,33.720,42.205,17
231,1061,255,255,255,1526.921,810.679,38.592,35.005,63.941,17
232,1065,255,255,255,200.274,916.062,38.548,35.177,171.740,17
233,1282,255,255,255,1523.632,922.109,42.942,38.012,175.080,17
234,1091,255,255,255,1526.506,1049.790,38.865,35.742,68.861,17
235,904,255,255,255,199.542,1049.584,35.294,32.612,29.703,17
236,1047,255,255,255,1524.485,1166.118,37.739,35.324,40.388,17
237,1191,255,255,255,199.084,1174.992,46.036,32.940,56.770,17
238,1050,255,255,255,1528.414,1300.540,37.537,35.616,80.661,17
239,1031,255,255,255,172.175,324.049,40.286,32.585,17.749,18
240,1212,255,255,255,178.407,447.502,41.484,37.199,11.000,18
241,1015,255,255,255,191.908,569.122,38.367,33.684,85.273,18
242,1041,255,255,255,1490.624,660.610,40.193,32.977,48.884,18
