 ,Area,Mean,Min,Max,XM,YM,Major,Minor,Angle,Slice
1,1029,255,255,255,1309.926,189.688,0.000,0.000,0.000,1
2,885,255,255,255,1033.820,189.650,0.000,0.000,0.000,1
3,823,255,255,255,739.306,190.528,0.000,0.000,0.000,1
4,928,255,255,255,880.162,190.875,0.000,0.000,0.000,1
5,868,255,255,255,454.124,192.361,0.000,0.000,0.000,1
6,871,255,255,255,589.530,191.902,0.000,0.000,0.000,1
7,842,255,255,255,1170.747,192.958,0.000,0.000,0.000,1
8,855,255,255,255,1037.818,1540.788,0.000,0.000,0.000,1
9,918,255,255,255,644.770,1542.350,0.000,0.000,0.000,1
10,980,255,255,255,502.347,1543.383,0.000,0.000,0.000,1
11,953,255,255,255,1293.162,1543.392,0.000,0.000,0.000,1
12,924,255,255,255,763.126,1544.172,0.000,0.000,0.000,1
13,890,255,255,255,896.313,1544.781,0.000,0.000,0.000,1
14,937,255,255,255,1157.144,1544.743,0.000,0.000,0.000,1
15,870,255,255,255,436.945,196.215,35.051,31.603,117.432,2
16,849,255,255,255,572.182,197.983,32.971,32.786,144.296,2
17,817,255,255,255,721.882,198.797,33.912,30.675,115.394,2
18,940,255,255,255,862.910,201.457,34.949,34.246,98.937,2
19,890,255,255,255,1016.484,202.509,34.481,32.864,86.470,2
20,1017,255,255,255,1292.495,206.740,37.769,34.285,77.166,2
21,846,255,255,255,1153.303,207.810,33.163,32.481,49.887,2
22,965,255,255,255,522.518,1530.489,35.643,34.472,30.467,2
23,898,255,255,255,664.888,1531.847,34.758,32.895,28.342,2
24,919,255,255,255,783.212,1535.244,34.813,33.611,61.019,2
25,852,255,255,255,1057.737,1536.068,33.595,32.291,35.748,2
26,866,255,255,255,916.512,1538.097,35.755,30.838,104.644,2
27,922,255,255,255,1177.358,1542.016,35.121,33.425,150.607,2
28,952,255,255,255,1313.324,1542.804,36.078,33.597,152.264,2
29,1022,255,255,255,1309.695,191.997,37.574,34.632,82.147,3
30,869,255,255,255,1033.804,192.424,34.272,32.284,88.312,3
31,804,255,255,255,738.986,193.473,33.651,30.420,114.671,3
32,922,255,255,255,880.218,193.778,34.610,33.918,105.506,3
33,856,255,255,255,454.301,195.569,34.947,31.187,118.762,3
34,843,255,255,255,589.442,195.114,32.905,32.620,175.972,3
35,837,255,255,255,1170.639,195.496,32.955,32.338,33.203,3
36,840,255,255,255,1035.282,1538.192,33.316,32.102,45.713,3
37,905,255,255,255,642.251,1540.100,35.139,32.792,32.790,3
38,971,255,255,255,499.716,1541.217,36.248,34.107,18.803,3
39,945,255,255,255,1290.524,1540.783,35.988,33.433,154.364,3
40,912,255,255,255,760.507,1541.747,34.327,33.827,54.932,3
41,871,255,255,255,893.684,1542.218,35.572,31.176,108.041,3
42,926,255,255,255,1154.630,1542.012,35.207,33.489,155.901,3
43,1021,255,255,255,1323.417,176.745,37.912,34.289,84.262,4
44,879,255,255,255,1047.593,181.358,34.837,32.127,88.219,4
45,845,255,255,255,1184.235,182.326,33.041,32.562,32.622,4
46,936,255,255,255,893.918,184.559,34.866,34.181,81.980,4
47,820,255,255,255,752.818,186.527,33.627,31.048,113.603,4
48,852,255,255,255,603.222,190.174,33.146,32.728,118.697,4
49,874,255,255,255,468.034,192.773,35.349,31.481,115.761,4
50,951,255,255,255,1271.421,1540.234,35.518,34.092,154.243,4
51,867,255,255,255,1016.335,1541.276,33.865,32.597,45.045,4
52,939,255,255,255,1135.704,1543.523,35.702,33.488,152.476,4
53,881,255,255,255,874.835,1547.384,36.159,31.022,106.616,4
54,915,255,255,255,741.581,1548.678,34.680,33.594,60.679,4
55,934,255,255,255,623.261,1548.883,35.560,33.442,34.387,4
56,977,255,255,255,480.781,1551.836,36.020,34.535,26.210,4
57,1018,255,255,255,1312.536,192.638,37.790,34.299,78.085,5
58,882,255,255,255,1036.472,193.045,34.399,32.646,86.145,5
59,932,255,255,255,883.048,194.455,34.818,34.082,88.220,5
60,816,255,255,255,741.848,194.131,33.810,30.730,116.446,5
61,864,255,255,255,457.076,196.212,35.047,31.389,122.133,5
62,864,255,255,255,592.404,195.635,33.252,33.084,135.374,5
63,846,255,255,255,1173.499,195.901,33.235,32.411,46.502,5
64,843,255,255,255,1038.377,1540.384,33.567,31.976,41.730,5
65,921,255,255,255,645.382,1542.293,35.192,33.322,25.994,5
66,979,255,255,255,502.867,1543.361,36.099,34.530,30.302,5
67,948,255,255,255,1293.670,1542.849,35.933,33.591,152.609,5
68,920,255,255,255,763.680,1544.047,34.662,33.794,69.255,5
69,870,255,255,255,896.795,1544.438,35.659,31.064,106.206,5
70,930,255,255,255,1157.720,1544.357,35.231,33.610,152.322,5
71,876,255,255,255,418.937,199.010,35.142,31.739,117.862,6
72,873,255,255,255,554.305,202.763,33.480,33.200,12.695,6
73,835,255,255,255,703.987,205.947,33.862,31.397,112.174,6
74,945,255,255,255,844.760,210.679,34.746,34.628,170.467,6
75,901,255,255,255,998.597,214.108,34.917,32.855,80.287,6
76,1030,255,255,255,1274.417,222.817,38.245,34.290,80.164,6
77,859,255,255,255,1135.215,221.762,33.353,32.792,16.188,6
78,981,255,255,255,541.869,1515.834,36.062,34.636,33.465,6
79,912,255,255,255,684.031,1519.354,35.269,32.924,35.458,6
80,928,255,255,255,802.423,1524.931,34.817,33.937,49.154,6
81,870,255,255,255,935.546,1529.646,35.418,31.275,106.418,6
82,867,255,255,255,1077.069,1530.100,34.002,32.466,19.198,6
83,912,255,255,255,1196.479,1537.878,35.428,32.776,150.934,6
84,941,255,255,255,1332.361,1540.862,35.881,33.392,153.453,6
85,1011,255,255,255,1308.082,192.763,37.613,34.223,83.835,7
86,887,255,255,255,1031.968,193.043,34.593,32.647,80.469,7
87,817,255,255,255,737.485,194.004,33.515,31.038,116.990,7
88,924,255,255,255,878.455,194.272,34.621,33.981,68.469,7
89,878,255,255,255,452.559,195.915,35.383,31.594,115.284,7
90,869,255,255,255,587.757,195.513,33.370,33.157,139.002,7
91,843,255,255,255,1169.022,196.105,33.031,32.495,32.525,7
92,849,255,255,255,1035.672,1536.136,33.443,32.323,35.127,7
93,970,255,255,255,500.102,1539.010,36.190,34.126,27.500,7
94,918,255,255,255,642.740,1538.013,35.277,33.133,33.168,7
95,948,255,255,255,1291.015,1538.801,35.894,33.628,147.256,7
96,933,255,255,255,761.072,1539.624,34.986,33.954,56.980,7
97,879,255,255,255,894.284,1540.283,35.687,31.361,108.036,7
