 ,Area,Mean,Min,Max,XM,YM,Major,Minor,Angle,Slice
1,1016,255,255,255,1313.524,183.868,0.000,0.000,0.000,1
2,880,255,255,255,1037.809,184.427,0.000,0.000,0.000,1
3,812,255,255,255,743.155,185.805,0.000,0.000,0.000,1
4,931,255,255,255,884.219,186.182,0.000,0.000,0.000,1
5,863,255,255,255,458.147,188.128,0.000,0.000,0.000,1
6,858,255,255,255,593.529,187.649,0.000,0.000,0.000,1
7,848,255,255,255,1174.644,187.621,0.000,0.000,0.000,1
8,867,255,255,255,1038.138,1532.620,0.000,0.000,0.000,1
9,908,255,255,255,644.753,1534.680,0.000,0.000,0.000,1
10,971,255,255,255,502.451,1535.857,0.000,0.000,0.000,1
11,944,255,255,255,1293.399,1534.934,0.000,0.000,0.000,1
12,916,255,255,255,763.211,1536.263,0.000,0.000,0.000,1
13,877,255,255,255,896.409,1536.794,0.000,0.000,0.000,1
14,928,255,255,255,1157.343,1536.515,0.000,0.000,0.000,1
15,1028,255,255,255,1309.939,214.117,38.088,34.365,83.421,2
16,891,255,255,255,1033.947,214.166,34.696,32.697,87.813,2
17,822,255,255,255,739.057,214.904,33.524,31.220,120.070,2
18,945,255,255,255,880.202,215.506,35.030,34.348,108.386,2
19,873,255,255,255,454.083,216.895,35.037,31.725,117.173,2
20,868,255,255,255,589.396,216.533,33.641,32.852,157.576,2
21,863,255,255,255,1170.678,217.542,33.482,32.818,38.463,2
22,852,255,255,255,1037.461,1500.602,33.433,32.447,40.116,2
23,917,255,255,255,644.402,1502.532,35.341,33.037,31.446,2
24,980,255,255,255,501.859,1503.685,36.154,34.513,31.570,2
25,954,255,255,255,1292.922,1502.984,36.209,33.546,156.298,2
26,917,255,255,255,762.765,1504.009,34.551,33.792,55.143,2
27,874,255,255,255,895.963,1504.674,35.886,31.010,105.146,2
28,917,255,255,255,1157.040,1504.419,34.914,33.441,139.484,2
29,1008,255,255,255,1313.033,186.854,37.825,33.930,85.642,3
30,882,255,255,255,1036.901,187.664,34.502,32.549,87.700,3
31,798,255,255,255,742.346,188.734,33.329,30.485,118.610,3
32,928,255,255,255,883.315,188.943,34.477,34.271,128.747,3
33,861,255,255,255,457.386,191.210,34.911,31.402,115.666,3
34,859,255,255,255,592.598,190.542,33.423,32.723,122.621,3
35,830,255,255,255,1173.693,190.436,32.737,32.281,39.928,3
36,864,255,255,255,1037.109,1529.874,33.796,32.550,29.228,3
37,913,255,255,255,644.233,1531.731,35.233,32.994,32.064,3
38,973,255,255,255,501.850,1532.808,35.889,34.519,31.260,3
39,954,255,255,255,1292.578,1532.318,35.884,33.850,152.625,3
40,912,255,255,255,762.568,1533.372,34.644,33.517,69.350,3
41,869,255,255,255,895.808,1533.848,35.814,30.894,103.411,3
42,928,255,255,255,1156.656,1533.623,35.297,33.475,146.940,3
43,1006,255,255,255,1312.093,151.934,37.879,33.815,83.822,4
44,872,255,255,255,1036.170,152.470,34.104,32.555,86.655,4
45,802,255,255,255,741.521,153.678,33.252,30.709,121.730,4
46,914,255,255,255,882.427,153.954,34.325,33.903,98.195,4
