 ,Area,Mean,Min,Max,XM,YM,Major,Minor,Angle,Slice
1,1048,255,255,255,209.380,421.244,0.000,0.000,0.000,1
2,1234,255,255,255,205.887,545.024,0.000,0.000,0.000,1
3,1052,255,255,255,1528.225,559.814,0.000,0.000,0.000,1
4,1039,255,255,255,209.818,667.315,0.000,0.000,0.000,1
5,1048,255,255,255,1528.784,686.291,0.000,0.000,0.000,1
6,1067,255,255,255,204.133,799.147,0.000,0.000,0.000,1
7,1066,255,255,255,1530.352,810.553,0.000,0.000,0.000,1
8,1074,255,255,255,207.567,911.736,0.000,0.000,0.000,1
9,1283,255,255,255,1527.134,921.875,0.000,0.000,0.000,1
10,918,255,255,255,207.422,1045.387,0.000,0.000,0.000,1
11,1081,255,255,255,1530.151,1049.352,0.000,0.000,0.000,1
12,1060,255,255,255,1528.213,1165.443,0.000,0.000,0.000,1
13,1205,255,255,255,206.522,1170.766,0.000,0.000,0.000,1
14,1035,255,255,255,1532.245,1300.320,0.000,0.000,0.000,1
15,1069,255,255,255,208.348,423.462,41.159,33.069,14.632,2
16,1247,255,255,255,204.644,547.150,41.719,38.058,7.230,2
17,1066,255,255,255,1533.642,559.013,41.044,33.069,43.488,2
18,1045,255,255,255,208.548,669.582,38.796,34.296,77.492,2
19,1064,255,255,255,1534.279,685.859,39.011,34.727,29.018,2
20,1061,255,255,255,202.780,801.464,40.419,33.423,40.820,2
21,1074,255,255,255,1535.425,810.188,38.418,35.594,62.426,2
22,1099,255,255,255,206.451,913.966,39.386,35.527,166.788,2
23,1289,255,255,255,1532.611,921.311,43.071,38.104,172.272,2
24,932,255,255,255,205.679,1047.532,36.193,32.787,30.491,2
25,1075,255,255,255,1535.213,1048.862,38.538,35.516,73.949,2
26,1063,255,255,255,1533.098,1165.021,38.111,35.514,33.561,2
27,1230,255,255,255,205.288,1173.091,46.462,33.706,55.819,2
28,1053,255,255,255,1537.142,1300.053,37.198,36.043,95.876,2
29,1060,255,255,255,209.084,424.987,41.262,32.709,13.540,3
30,1251,255,255,255,205.419,548.532,42.311,37.645,5.035,3
31,1054,255,255,255,1533.528,559.279,40.852,32.850,45.325,3
32,1031,255,255,255,209.314,670.648,38.739,33.886,78.729,3
33,1083,255,255,255,1533.952,686.002,39.236,35.144,41.034,3
34,1052,255,255,255,203.643,802.867,39.546,33.871,43.470,3
35,1067,255,255,255,1535.373,810.602,38.881,34.941,62.232,3
36,1095,255,255,255,206.947,915.343,39.584,35.221,172.892,3
37,1293,255,255,255,1532.459,921.659,42.955,38.326,173.084,3
38,1089,255,255,255,1534.975,1049.323,38.872,35.670,72.206,3
39,928,255,255,255,206.491,1048.820,36.259,32.587,34.763,3
40,1055,255,255,255,1532.927,1165.349,38.065,35.289,34.772,3
41,1212,255,255,255,205.810,1174.139,46.414,33.248,54.923,3
42,1042,255,255,255,1536.835,1300.551,37.637,35.251,83.422,3
43,1079,255,255,255,209.670,425.830,41.279,33.281,12.328,4
44,1260,255,255,255,205.706,549.287,42.660,37.607,7.695,4
45,1059,255,255,255,1534.907,558.896,40.828,33.025,43.427,4
46,1067,255,255,255,209.521,671.392,39.279,34.587,79.778,4
47,1081,255,255,255,1535.342,685.304,39.161,35.146,35.839,4
48,1084,255,255,255,203.826,803.600,40.441,34.128,38.935,4
49,1100,255,255,255,1536.930,810.115,39.346,35.596,60.146,4
50,1109,255,255,255,206.902,916.082,39.520,35.729,176.335,4
51,1318,255,255,255,1533.480,921.280,44.039,38.106,175.579,4
52,1105,255,255,255,1536.676,1049.052,39.032,36.045,77.891,4
53,953,255,255,255,206.527,1049.640,36.842,32.935,26.682,4
54,1064,255,255,255,1534.345,1165.010,37.960,35.688,24.817,4
