 ,Area,Mean,Min,Max,XM,YM,Major,Minor,Angle,Slice
1,31667,255,255,255,327.664,335.129,0,0,0,1
2,32623,255,255,255,527.473,331.656,0,0,0,1
3,40050,255,255,255,765.312,346.707,0,0,0,1
4,32933,255,255,255,978.706,335.221,0,0,0,1
5,33099,255,255,255,1382.505,337.658,0,0,0,1
6,38520,255,255,255,1182.329,403.471,0,0,0,1
7,36562,255,255,255,631.470,515.943,0,0,0,1
8,27914,255,255,255,1011.474,524.744,0,0,0,1
9,41243,255,255,255,345.233,552.130,0,0,0,1
10,36004,255,255,255,1378.576,544.218,0,0,0,1
11,29298,255,255,255,826.783,563.165,0,0,0,1
12,38869,255,255,255,1182.617,635.098,0,0,0,1
13,32327,255,255,255,516.396,686.825,0,0,0,1
14,39404,255,255,255,978.099,723.717,0,0,0,1
15,40088,255,255,255,725.192,749.536,0,0,0,1
16,42135,255,255,255,1371.125,766.042,0,0,0,1
17,37643,255,255,255,332.746,786.896,0,0,0,1
18,36867,255,255,255,1168.985,858.731,0,0,0,1
19,38489,255,255,255,521.440,898.902,0,0,0,1
20,30305,255,255,255,873.347,901.737,0,0,0,1
21,41181,255,255,255,1365.380,993.515,0,0,0,1
22,30098,255,255,255,700.114,998.130,0,0,0,1
23,31131,255,255,255,331.086,1000.610,0,0,0,1
24,28194,255,255,255,1030.703,1008.462,0,0,0,1
25,28429,255,255,255,865.834,1099.177,0,0,0,1
26,29967,255,255,255,509.535,1102.226,0,0,0,1
27,39589,255,255,255,1181.763,1139.714,0,0,0,1
28,34726,255,255,255,698.417,1200.573,0,0,0,1
29,32189,255,255,255,332.727,1198.952,0,0,0,1
30,37573,255,255,255,1380.792,1218.660,0,0,0,1
31,20655,255,255,255,1003.409,1216.378,0,0,0,1
32,34068,255,255,255,518.519,1307.952,0,0,0,1
33,39751,255,255,255,1155.480,1370.744,0,0,0,1
34,40606,255,255,255,929.432,1396.400,0,0,0,1
35,35963,255,255,255,336.640,1406.020,0,0,0,1
36,36674,255,255,255,706.921,1407.811,0,0,0,1
37,32272,255,255,255,1373.204,1420.446,0,0,0,1
38,31639,255,255,255,326.755,338.451,210.019,191.811,72.703,2
39,31909,255,255,255,525.653,337.425,206.857,196.406,85.202,2
40,39882,255,255,255,768.572,348.295,240.165,211.435,132.247,2
41,32933,255,255,255,984.294,338.680,206.152,203.401,99.242,2
42,33060,255,255,255,1387.954,340.419,211.873,198.672,145.572,2
43,38595,255,255,255,1188.605,408.205,228.554,215.007,105.231,2
44,36554,255,255,255,635.200,517.395,219.006,212.515,108.976,2
45,27961,255,255,255,1016.911,528.154,195.559,182.047,10.948,2
46,41186,255,255,255,344.118,554.642,234.131,223.976,37.552,2
47,36006,255,255,255,1383.372,546.695,221.411,207.055,154.214,2
48,29271,255,255,255,830.926,561.982,207.280,179.800,99.223,2
49,38836,255,255,255,1186.764,639.946,232.572,212.612,74.588,2
50,32367,255,255,255,517.368,686.976,209.209,196.984,136.081,2
51,39022,255,255,255,979.024,723.927,236.141,210.402,155.336,2
52,40174,255,255,255,727.257,747.772,226.707,225.626,140.705,2
53,41988,255,255,255,1376.949,766.921,237.494,225.103,156.370,2
