 ,Area,Mean,Min,Max,XM,YM,Major,Minor,Angle,Slice
1,1000,255,255,255,1316.297,190.859,0.000,0.000,0.000,1
2,891,255,255,255,1040.190,190.978,0.000,0.000,0.000,1
3,796,255,255,255,745.567,191.606,0.000,0.000,0.000,1
4,915,255,255,255,886.592,192.043,0.000,0.000,0.000,1
5,861,255,255,255,460.679,193.408,0.000,0.000,0.000,1
6,852,255,255,255,596.012,192.985,0.000,0.000,0.000,1
7,831,255,255,255,1177.150,194.352,0.000,0.000,0.000,1
8,918,255,255,255,651.558,1540.995,0.000,0.000,0.000,1
9,862,255,255,255,1044.391,1539.557,0.000,0.000,0.000,1
10,978,255,255,255,508.906,1541.898,0.000,0.000,0.000,1
11,944,255,255,255,1299.953,1542.355,0.000,0.000,0.000,1
12,924,255,255,255,769.785,1542.819,0.000,0.000,0.000,1
13,869,255,255,255,902.930,1543.436,0.000,0.000,0.000,1
14,927,255,255,255,1163.888,1543.636,0.000,0.000,0.000,1
15,1020,255,255,255,1318.362,193.634,37.892,34.273,82.233,2
16,892,255,255,255,1042.288,193.861,34.722,32.709,91.772,2
17,803,255,255,255,747.749,194.657,33.125,30.865,120.050,2
18,918,255,255,255,888.743,194.969,34.481,33.898,52.072,2
19,877,255,255,255,462.806,196.883,34.998,31.905,115.170,2
20,858,255,255,255,598.097,196.375,33.330,32.776,132.472,2
21,845,255,255,255,1179.330,196.965,32.997,32.605,29.907,2
22,846,255,255,255,1044.955,1538.897,33.598,32.060,33.182,2
23,971,255,255,255,509.511,1541.371,35.879,34.458,28.171,2
24,901,255,255,255,651.978,1540.587,35.153,32.635,29.083,2
25,953,255,255,255,1300.367,1541.429,35.929,33.772,148.854,2
26,926,255,255,255,770.189,1542.124,34.798,33.881,58.195,2
27,876,255,255,255,903.526,1542.897,35.608,31.323,105.224,2
28,926,255,255,255,1164.332,1542.817,35.034,33.654,148.285,2
29,1014,255,255,255,1319.612,193.598,37.974,33.999,79.369,3
30,897,255,255,255,1043.905,193.815,34.822,32.798,91.599,3
31,808,255,255,255,749.101,195.040,33.387,30.813,114.379,3
32,925,255,255,255,890.171,195.381,34.710,33.931,90.441,3
33,864,255,255,255,464.094,197.124,34.979,31.450,118.943,3
34,859,255,255,255,599.363,196.625,33.166,32.977,2.753,3
35,830,255,255,255,1180.622,196.931,32.694,32.323,163.684,3
36,858,255,255,255,1045.572,1539.228,33.854,32.269,36.910,3
37,988,255,255,255,509.923,1542.020,36.303,34.652,18.479,3
38,919,255,255,255,652.316,1541.021,35.269,33.177,34.973,3
39,952,255,255,255,1300.741,1541.628,35.883,33.780,153.924,3
40,937,255,255,255,770.558,1542.789,35.134,33.956,64.270,3
41,881,255,255,255,903.876,1543.209,35.935,31.216,104.636,3
42,942,255,255,255,1164.818,1543.207,35.376,33.904,147.773,3
43,1022,255,255,255,1321.248,193.457,37.842,34.386,83.775,4
44,892,255,255,255,1045.332,194.132,34.426,32.990,82.015,4
45,939,255,255,255,891.588,195.573,34.795,34.360,155.482,4
46,817,255,255,255,750.488,195.441,33.550,31.006,115.988,4
47,879,255,255,255,465.830,197.560,35.370,31.642,115.894,4
48,853,255,255,255,1182.168,197.040,33.052,32.860,78.019,4
49,869,255,255,255,601.014,197.209,33.501,33.027,177.555,4
50,855,255,255,255,1045.983,1539.123,33.693,32.310,29.175,4
51,974,255,255,255,510.463,1541.924,35.886,34.558,31.196,4
52,927,255,255,255,652.984,1540.953,35.628,33.128,31.503,4
53,958,255,255,255,1301.333,1541.439,35.759,34.111,149.601,4
54,941,255,255,255,771.197,1542.634,35.225,34.013,69.621,4
55,950,255,255,255,1165.195,1542.872,35.981,33.617,147.152,4
56,879,255,255,255,904.408,1543.193,35.793,31.268,104.734,4
57,1027,255,255,255,1321.709,193.168,38.170,34.258,86.509,5
58,889,255,255,255,1045.792,193.741,34.793,32.532,83.228,5
59,810,255,255,255,751.219,195.165,33.367,30.909,112.330,5
60,932,255,255,255,892.218,195.657,34.589,34.308,52.754,5
61,873,255,255,255,466.129,197.662,35.351,31.443,118.286,5
62,846,255,255,255,1182.655,196.759,33.005,32.637,31.768,5
63,864,255,255,255,601.407,197.157,33.258,33.078,158.341,5
64,854,255,255,255,1045.927,1539.087,33.617,32.345,44.630,5
65,975,255,255,255,510.269,1542.036,35.899,34.580,28.314,5
66,922,255,255,255,652.777,1540.961,35.403,33.158,38.875,5
67,958,255,255,255,1301.201,1541.412,36.132,33.759,149.687,5
68,932,255,255,255,771.214,1542.657,35.003,33.901,73.044,5
69,948,255,255,255,1165.254,1542.897,35.871,33.649,144.288,5
70,879,255,255,255,904.409,1543.138,35.834,31.232,105.283,5
71,1017,255,255,255,1319.716,193.309,38.192,33.905,80.395,6
72,873,255,255,255,1043.737,193.857,34.496,32.222,93.195,6
73,938,255,255,255,890.208,195.393,34.686,34.432,113.999,6
74,806,255,255,255,749.100,195.119,33.344,30.777,111.881,6
75,870,255,255,255,464.070,197.385,35.094,31.565,114.608,6
76,853,255,255,255,599.455,196.747,33.242,32.672,151.762,6
77,833,255,255,255,1180.667,196.933,32.780,32.355,5.636,6
78,857,255,255,255,1045.547,1539.134,33.638,32.438,36.134,6
79,977,255,255,255,510.197,1541.641,35.879,34.671,28.847,6
80,920,255,255,255,652.743,1540.838,35.248,33.233,31.989,6
81,926,255,255,255,770.842,1542.447,34.785,33.894,67.017,6
82,929,255,255,255,1164.989,1543.023,35.304,33.504,142.608,6
83,946,255,255,255,1301.031,1541.705,35.930,33.523,149.535,6
84,883,255,255,255,904.095,1543.066,35.934,31.288,105.655,6
