 ,Area,Mean,Min,Max,XM,YM,Major,Minor,Angle,Slice
1,1065,255,255,255,210.239,425.304,0.000,0.000,0.000,1
2,1259,255,255,255,206.435,548.715,0.000,0.000,0.000,1
3,1072,255,255,255,1533.379,559.503,0.000,0.000,0.000,1
4,1060,255,255,255,210.144,670.802,0.000,0.000,0.000,1
5,1058,255,255,255,1533.828,686.046,0.000,0.000,0.000,1
6,1083,255,255,255,204.650,803.126,0.000,0.000,0.000,1
7,1084,255,255,255,1535.255,810.742,0.000,0.000,0.000,1
8,1099,255,255,255,207.859,915.722,0.000,0.000,0.000,1
9,1316,255,255,255,1532.181,921.837,0.000,0.000,0.000,1
10,1096,255,255,255,1535.207,1049.528,0.000,0.000,0.000,1
11,959,255,255,255,207.506,1048.994,0.000,0.000,0.000,1
12,1077,255,255,255,1532.635,1165.625,0.000,0.000,0.000,1
13,1228,255,255,255,206.769,1174.461,0.000,0.000,0.000,1
14,1066,255,255,255,1536.736,1300.748,0.000,0.000,0.000,1
15,1056,255,255,255,212.786,422.676,40.861,32.905,12.039,2
16,1245,255,255,255,209.017,546.172,42.237,37.531,5.818,2
17,1055,255,255,255,1529.006,558.721,40.563,33.116,46.855,2
18,1024,255,255,255,212.768,668.393,38.650,33.733,78.919,2
19,1050,255,255,255,1529.694,685.124,38.728,34.520,33.059,2
20,1039,255,255,255,207.048,800.663,39.440,33.542,44.316,2
21,1074,255,255,255,1531.076,809.995,39.046,35.022,62.742,2
22,1107,255,255,255,210.644,913.184,39.294,35.870,171.607,2
23,1308,255,255,255,1528.112,920.966,43.167,38.580,172.186,2
24,1102,255,255,255,1530.800,1048.643,39.314,35.690,72.146,2
25,926,255,255,255,210.323,1046.776,35.991,32.759,31.153,2
26,1069,255,255,255,1528.735,1164.649,38.182,35.648,43.823,2
27,1206,255,255,255,209.643,1172.191,46.084,33.320,56.998,2
28,1066,255,255,255,1532.824,1300.266,37.154,36.531,72.747,2
29,1070,255,255,255,211.879,421.274,41.229,33.044,12.806,3
30,1234,255,255,255,207.901,544.664,41.802,37.586,8.592,3
31,1054,255,255,255,1528.636,559.664,40.910,32.803,43.825,3
32,1028,255,255,255,212.279,666.925,38.500,33.997,82.391,3
33,1058,255,255,255,1529.312,686.110,38.894,34.635,31.933,3
34,1066,255,255,255,206.551,799.151,39.991,33.939,41.245,3
35,1095,255,255,255,1530.714,810.891,39.048,35.705,65.732,3
36,1094,255,255,255,210.357,911.726,39.284,35.458,170.158,3
37,1308,255,255,255,1527.825,922.037,43.251,38.505,171.195,3
38,943,255,255,255,209.713,1045.114,36.103,33.257,30.795,3
39,1100,255,255,255,1530.805,1049.793,38.822,36.076,73.890,3
40,1057,255,255,255,1528.850,1165.829,37.954,35.459,30.982,3
41,1223,255,255,255,209.447,1170.682,46.252,33.667,57.469,3
42,1055,255,255,255,1532.755,1301.055,37.161,36.147,85.643,3
43,1072,255,255,255,211.590,421.716,40.917,33.358,10.771,4
44,1251,255,255,255,207.756,545.397,41.772,38.132,6.798,4
45,1064,255,255,255,1528.196,559.273,40.738,33.255,44.040,4
46,1047,255,255,255,211.673,667.788,39.305,33.917,85.623,4
47,1063,255,255,255,1528.939,685.983,38.773,34.907,36.369,4
48,1073,255,255,255,206.193,799.736,40.073,34.092,39.779,4
49,1086,255,255,255,1530.488,810.653,39.067,35.394,64.998,4
50,1084,255,255,255,209.831,912.268,38.891,35.489,171.476,4
51,1311,255,255,255,1527.376,921.667,43.393,38.468,176.220,4
52,951,255,255,255,209.349,1045.853,36.406,33.260,28.863,4
53,1099,255,255,255,1530.472,1049.304,38.824,36.042,73.122,4
54,1064,255,255,255,1528.372,1165.662,38.457,35.227,42.634,4
55,1224,255,255,255,208.876,1171.356,46.960,33.187,58.087,4
56,1078,255,255,255,1532.333,1300.432,38.233,35.900,86.199,4
57,1039,255,255,255,211.128,422.227,41.180,32.125,15.613,5
58,1245,255,255,255,207.532,545.685,42.024,37.721,4.348,5
59,1054,255,255,255,1527.996,559.559,40.500,33.136,44.542,5
60,1036,255,255,255,211.492,668.071,38.778,34.016,76.261,5
61,1068,255,255,255,1528.592,685.943,39.103,34.775,39.433,5
62,1051,255,255,255,206.020,800.150,39.774,33.645,44.541,5
63,1069,255,255,255,1530.269,810.718,39.009,34.892,56.938,5
64,1092,255,255,255,209.375,912.725,39.318,35.362,173.287,5
65,1293,255,255,255,1527.043,921.956,43.424,37.912,173.426,5
66,932,255,255,255,208.899,1046.204,36.197,32.783,30.530,5
67,1076,255,255,255,1529.914,1049.553,38.485,35.598,75.176,5
68,1060,255,255,255,1527.857,1165.627,38.261,35.275,35.625,5
69,1226,255,255,255,208.588,1171.988,46.736,33.401,55.796,5
70,1050,255,255,255,1532.019,1301.008,37.567,35.587,78.098,5
71,1058,255,255,255,209.523,421.190,41.391,32.546,14.610,6
72,1231,255,255,255,205.844,544.878,41.737,37.553,3.066,6
73,1076,255,255,255,1528.034,559.383,40.779,33.596,42.949,6
74,1045,255,255,255,209.623,667.114,38.915,34.191,82.956,6
75,1084,255,255,255,1528.769,685.908,39.144,35.259,36.245,6
76,1064,255,255,255,204.300,799.339,39.731,34.098,41.041,6
77,1081,255,255,255,1530.404,810.512,38.908,35.375,66.200,6
78,1093,255,255,255,207.440,911.822,39.025,35.660,171.129,6
79,1287,255,255,255,1527.282,921.872,43.185,37.945,172.632,6
80,942,255,255,255,207.034,1045.415,36.682,32.697,30.345,6
81,1087,255,255,255,1530.237,1049.345,38.633,35.825,74.911,6
82,1062,255,255,255,1528.266,1165.380,37.854,35.721,36.444,6
83,1242,255,255,255,206.739,1170.890,46.979,33.661,57.957,6
84,1032,255,255,255,1532.129,1300.780,36.948,35.563,94.656,6
