 ,Area,Mean,Min,Max,XM,YM,Major,Minor,Angle,Slice
1,31892,255,255,255,328.172,333.543,0,0,0,1
2,31876,255,255,255,532.728,335.797,0,0,0,1
3,33432,255,255,255,1180.852,334.514,0,0,0,1
4,39794,255,255,255,961.747,347.162,0,0,0,1
5,38704,255,255,255,738.973,353.467,0,0,0,1
6,34372,255,255,255,1386.847,345.315,0,0,0,1
7,37263,255,255,255,415.504,512.047,0,0,0,1
8,35583,255,255,255,1193.302,535.925,0,0,0,1
9,27997,255,255,255,986.007,545.456,0,0,0,1
10,29234,255,255,255,797.789,566.638,0,0,0,1
11,35638,255,255,255,604.639,604.802,0,0,0,1
12,36111,255,255,255,1388.276,624.422,0,0,0,1
13,37206,255,255,255,334.677,709.870,0,0,0,1
14,37130,255,255,255,960.143,741.005,0,0,0,1
15,35977,255,255,255,1179.523,740.543,0,0,0,1
16,38048,255,255,255,742.581,770.413,0,0,0,1
17,38778,255,255,255,526.870,816.666,0,0,0,1
18,41903,255,255,255,1378.881,848.164,0,0,0,1
19,36107,255,255,255,1087.143,922.731,0,0,0,1
20,30872,255,255,255,332.254,912.025,0,0,0,1
21,30377,255,255,255,879.503,933.656,0,0,0,1
22,30251,255,255,255,685.807,967.401,0,0,0,1
23,30080,255,255,255,501.714,1025.789,0,0,0,1
24,40222,255,255,255,1281.101,1045.833,0,0,0,1
25,27740,255,255,255,997.806,1091.190,0,0,0,1
26,29062,255,255,255,321.813,1102.263,0,0,0,1
27,29222,255,255,255,812.099,1124.658,0,0,0,1
28,34918,255,255,255,635.411,1188.638,0,0,0,1
29,39407,255,255,255,1160.681,1229.335,0,0,0,1
30,39654,255,255,255,1383.692,1251.754,0,0,0,1
31,33196,255,255,255,444.056,1254.209,0,0,0,1
32,20134,255,255,255,936.056,1248.278,0,0,0,1
33,40392,255,255,255,811.431,1397.543,0,0,0,1
34,39058,255,255,255,1037.745,1408.183,0,0,0,1
35,36662,255,255,255,594.087,1405.649,0,0,0,1
36,32869,255,255,255,327.326,1414.816,0,0,0,1
37,31746,255,255,255,1264.240,1419.988,0,0,0,1
38,31767,255,255,255,328.470,330.774,210.697,191.968,84.761,2
39,31710,255,255,255,522.669,333.746,212.319,190.160,83.219,2
40,40623,255,255,255,813.163,346.644,247.385,209.079,121.757,2
41,32596,255,255,255,1025.684,333.477,206.944,200.549,60.766,2
42,34128,255,255,255,1385.225,340.306,216.234,200.954,120.695,2
43,36086,255,255,255,1202.170,441.643,217.808,210.948,67.136,2
44,36583,255,255,255,655.315,493.267,219.277,212.420,93.127,2
45,41151,255,255,255,347.803,545.130,234.598,223.340,31.207,2
46,27950,255,255,255,1018.448,529.430,194.397,183.063,132.359,2
47,36324,255,255,255,1380.668,562.480,218.352,211.810,62.631,2
48,29236,255,255,255,834.921,575.275,208.603,178.446,71.027,2
49,36508,255,255,255,1184.764,655.523,221.516,209.842,155.266,2
50,34183,255,255,255,530.769,662.437,209.877,207.375,123.520,2
51,37595,255,255,255,972.931,724.880,224.093,213.605,172.045,2
52,40270,255,255,255,727.043,764.946,228.041,224.843,117.485,2
53,37305,255,255,255,339.019,767.150,222.913,213.080,14.287,2
54,42769,255,255,255,1372.471,790.498,238.203,228.609,148.316,2
55,36639,255,255,255,1146.332,862.240,224.104,208.163,7.016,2
56,38457,255,255,255,531.720,875.685,225.832,216.820,167.025,2
57,30594,255,255,255,887.085,910.041,203.463,191.452,174.457,2
58,31090,255,255,255,336.619,972.818,205.357,192.762,179.484,2
59,30307,255,255,255,703.854,992.603,207.977,185.540,65.648,2
60,40483,255,255,255,1311.356,1010.648,233.742,220.519,9.767,2
61,28355,255,255,255,1038.123,1035.432,198.213,182.141,17.003,2
62,30191,255,255,255,516.960,1075.304,204.707,187.782,167.288,2
63,29645,255,255,255,858.153,1108.246,208.264,181.237,88.954,2
64,29555,255,255,255,326.635,1167.475,201.307,186.931,35.888,2
65,39642,255,255,255,1167.984,1193.502,234.556,215.189,82.907,2
66,35092,255,255,255,689.547,1203.477,223.967,199.496,125.740,2
67,39947,255,255,255,1382.150,1225.739,233.618,217.715,84.161,2
68,20751,255,255,255,981.000,1238.072,163.839,161.262,59.150,2
69,33170,255,255,255,491.970,1271.515,214.005,197.347,55.288,2
70,40510,255,255,255,860.606,1394.665,237.347,217.314,98.382,2
71,36050,255,255,255,332.449,1404.673,225.526,203.525,108.833,2
72,38906,255,255,255,1083.650,1403.931,224.560,220.594,169.386,2
73,36568,255,255,255,641.990,1411.147,218.805,212.791,16.003,2
74,31804,255,255,255,1305.623,1421.234,216.908,186.688,165.468,2
75,32277,255,255,255,328.124,334.129,213.720,192.291,84.409,3
76,32219,255,255,255,525.123,332.152,214.843,190.942,72.600,3
77,40082,255,255,255,785.420,346.655,241.870,210.998,126.880,3
78,33061,255,255,255,1000.161,335.113,206.887,203.467,75.818,3
79,33752,255,255,255,1382.405,338.975,213.051,201.710,137.310,3
80,36494,255,255,255,1191.038,425.478,219.361,211.823,67.546,3
81,36744,255,255,255,639.718,506.616,219.122,213.507,89.413,3
82,41642,255,255,255,346.176,552.441,235.401,225.234,29.772,3
83,27962,255,255,255,1010.336,527.814,195.049,182.531,165.417,3
84,36367,255,255,255,1377.327,547.141,223.635,207.052,169.075,3
85,29290,255,255,255,824.692,577.228,208.404,178.947,74.829,3
86,36713,255,255,255,1181.388,642.436,220.490,212.003,5.714,3
87,32523,255,255,255,524.500,678.651,209.541,197.620,131.193,3
88,38356,255,255,255,973.163,722.262,232.277,210.250,159.712,3
89,42619,255,255,255,1371.910,770.774,237.585,228.399,141.635,3
90,40238,255,255,255,722.979,770.788,227.536,225.163,103.811,3
91,37147,255,255,255,338.139,778.997,221.109,213.908,44.029,3
92,36909,255,255,255,1162.581,854.476,223.658,210.116,148.255,3
93,39165,255,255,255,528.699,890.757,227.663,219.036,6.670,3
94,30370,255,255,255,890.145,904.918,202.479,190.974,2.862,3
95,40756,255,255,255,1342.185,998.436,233.320,222.407,179.375,3
96,30258,255,255,255,709.969,990.992,207.017,186.099,66.507,3
97,31116,255,255,255,333.792,987.156,204.533,193.701,4.549,3
98,28299,255,255,255,1041.876,1020.936,199.449,180.655,55.433,3
99,30076,255,255,255,508.996,1093.320,203.014,188.627,171.470,3
100,28975,255,255,255,865.574,1101.219,204.098,180.757,78.128,3
101,39750,255,255,255,1172.303,1176.091,236.130,214.337,78.937,3
102,32060,255,255,255,331.920,1187.538,207.859,196.384,146.885,3
103,35031,255,255,255,694.281,1198.197,223.274,199.767,136.332,3
104,37386,255,255,255,1382.547,1219.189,220.729,215.655,99.177,3
105,20632,255,255,255,988.365,1225.399,162.866,161.295,95.232,3
106,33371,255,255,255,508.281,1294.181,216.045,196.668,67.957,3
107,40512,255,255,255,900.222,1398.082,235.089,219.413,108.809,3
108,40112,255,255,255,1129.265,1401.153,230.392,221.675,178.778,3
109,36009,255,255,255,332.391,1402.557,225.196,203.592,110.158,3
110,36750,255,255,255,679.865,1409.123,218.695,213.958,13.141,3
111,31966,255,255,255,1355.359,1420.661,217.055,187.512,178.147,3
112,32218,255,255,255,328.370,334.727,213.813,191.856,83.355,4
113,32029,255,255,255,525.952,333.127,209.067,195.060,77.363,4
114,33117,255,255,255,991.401,334.736,208.410,202.321,70.617,4
115,40235,255,255,255,776.506,345.841,241.717,211.937,127.433,4
116,34265,255,255,255,1381.932,336.833,217.746,200.360,138.462,4
117,38016,255,255,255,1187.843,416.020,227.477,212.784,96.163,4
118,36580,255,255,255,636.806,510.087,218.786,212.880,103.719,4
119,27962,255,255,255,1011.300,526.119,195.862,181.773,2.234,4
120,41485,255,255,255,346.103,552.752,235.338,224.445,30.905,4
121,36699,255,255,255,1378.994,546.969,224.094,208.513,151.343,4
122,29402,255,255,255,824.149,576.244,208.491,179.556,74.830,4
123,37492,255,255,255,1182.148,639.135,222.757,214.297,28.546,4
124,32416,255,255,255,521.884,681.049,209.151,197.338,140.192,4
125,38888,255,255,255,973.121,721.391,232.570,212.899,160.236,4
126,42683,255,255,255,1371.573,770.914,239.714,226.710,148.498,4
127,40334,255,255,255,721.698,769.999,227.593,225.644,87.242,4
128,37570,255,255,255,336.221,781.341,221.508,215.955,78.263,4
129,37005,255,255,255,1162.472,854.235,223.877,210.456,140.931,4
130,38997,255,255,255,527.927,892.002,226.384,219.328,0.906,4
131,30526,255,255,255,888.141,905.180,202.896,191.561,2.494,4
132,40894,255,255,255,1342.784,998.252,232.936,223.529,174.526,4
133,30289,255,255,255,708.739,992.660,207.684,185.692,69.021,4
134,31265,255,255,255,333.845,991.790,205.826,193.405,5.302,4
135,28367,255,255,255,1041.219,1020.341,199.735,180.830,58.338,4
136,29977,255,255,255,512.331,1093.555,202.993,188.026,170.164,4
137,28585,255,255,255,866.823,1100.521,201.098,180.985,86.983,4
138,39675,255,255,255,1172.201,1175.378,235.392,214.603,78.478,4
139,32268,255,255,255,333.247,1191.546,208.656,196.903,14.392,4
140,35158,255,255,255,697.429,1199.565,223.105,200.643,139.914,4
141,37665,255,255,255,1382.420,1219.866,221.265,216.739,102.911,4
142,20620,255,255,255,989.028,1227.193,162.901,161.166,102.967,4
143,33499,255,255,255,509.450,1293.808,215.722,197.718,67.130,4
144,40725,255,255,255,902.067,1399.436,235.255,220.410,116.376,4
145,40305,255,255,255,1132.882,1401.077,230.416,222.718,2.472,4
146,36060,255,255,255,336.084,1406.769,225.519,203.588,134.989,4
147,36691,255,255,255,680.776,1409.739,218.763,213.549,11.191,4
148,31973,255,255,255,1359.406,1421.090,218.042,186.704,176.693,4
149,32356,255,255,255,327.985,335.547,214.056,192.459,82.947,5
150,32612,255,255,255,527.068,330.703,212.619,195.292,71.118,5
151,40226,255,255,255,769.059,345.620,241.972,211.667,124.922,5
152,33002,255,255,255,983.199,334.154,207.631,202.375,64.355,5
153,33465,255,255,255,1382.784,336.519,212.786,200.244,149.711,5
154,38504,255,255,255,1184.474,406.238,228.961,214.119,100.449,5
155,36600,255,255,255,632.422,512.621,219.040,212.749,106.009,5
156,27850,255,255,255,1012.003,523.439,195.655,181.236,3.837,5
157,41626,255,255,255,346.540,554.221,235.665,224.895,27.651,5
158,36310,255,255,255,1379.838,544.459,221.729,208.504,148.222,5
159,29342,255,255,255,824.060,563.987,208.256,179.391,77.126,5
160,38991,255,255,255,1181.699,636.030,232.037,213.952,62.746,5
161,32358,255,255,255,521.564,685.564,209.969,196.217,144.231,5
162,38569,255,255,255,969.861,715.237,235.871,208.197,160.289,5
163,40296,255,255,255,728.404,760.392,227.015,226.005,138.386,5
164,42406,255,255,255,1370.506,767.325,238.173,226.696,148.745,5
165,38020,255,255,255,334.162,782.852,223.549,216.546,106.609,5
166,36864,255,255,255,1165.037,856.304,224.291,209.267,144.174,5
167,38493,255,255,255,524.234,896.091,223.729,219.064,161.624,5
168,30433,255,255,255,894.146,899.278,203.186,190.705,175.818,5
169,30150,255,255,255,712.139,978.853,207.169,185.299,70.659,5
170,40813,255,255,255,1349.849,995.340,233.392,222.650,174.296,5
171,31195,255,255,255,333.122,996.251,204.653,194.078,4.548,5
172,28171,255,255,255,1043.607,1020.060,198.453,180.740,61.691,5
173,28182,255,255,255,870.100,1091.699,199.829,179.566,105.792,5
