 ,Area,Mean,Min,Max,XM,YM,Major,Minor,Angle,Slice
1,1056,255,255,255,216.471,429.319,0.000,0.000,0.000,1
2,1251,255,255,255,212.558,553.188,0.000,0.000,0.000,1
3,1089,255,255,255,1538.315,568.524,0.000,0.000,0.000,1
4,1044,255,255,255,216.834,675.370,0.000,0.000,0.000,1
5,1080,255,255,255,1538.983,695.177,0.000,0.000,0.000,1
6,1061,255,255,255,211.279,807.191,0.000,0.000,0.000,1
7,1094,255,255,255,1540.513,819.226,0.000,0.000,0.000,1
8,1108,255,255,255,214.905,919.807,0.000,0.000,0.000,1
9,1322,255,255,255,1537.579,930.651,0.000,0.000,0.000,1
10,948,255,255,255,214.648,1053.116,0.000,0.000,0.000,1
11,1100,255,255,255,1540.576,1058.202,0.000,0.000,0.000,1
12,1075,255,255,255,1538.470,1174.193,0.000,0.000,0.000,1
13,1217,255,255,255,213.989,1178.571,0.000,0.000,0.000,1
14,1065,255,255,255,1542.694,1308.958,0.000,0.000,0.000,1
15,1058,255,255,255,212.387,413.216,41.484,32.472,13.470,2
16,1255,255,255,255,210.107,536.926,42.217,37.850,8.734,2
17,1076,255,255,255,1535.618,586.234,40.722,33.643,44.670,2
18,1039,255,255,255,216.162,658.764,37.943,34.865,74.850,2
19,1096,255,255,255,1538.281,712.703,39.242,35.560,35.636,2
20,1069,255,255,255,212.437,790.898,40.066,33.971,44.961,2
21,1103,255,255,255,1541.613,837.317,38.990,36.019,56.455,2
22,1104,255,255,255,217.629,903.733,39.659,35.443,173.011,2
23,1314,255,255,255,1540.213,948.535,43.694,38.290,173.472,2
24,941,255,255,255,219.496,1037.082,36.344,32.966,29.474,2
25,1129,255,255,255,1545.065,1076.067,39.147,36.720,67.958,2
26,1206,255,255,255,220.754,1162.547,46.631,32.929,58.549,2
27,1080,255,255,255,1544.795,1192.140,38.419,35.792,25.097,2
28,1071,255,255,255,1551.013,1327.327,37.324,36.536,73.289,2
29,1066,255,255,255,208.953,425.463,40.932,33.159,13.830,3
30,1216,255,255,255,205.646,549.211,41.563,37.251,7.710,3
31,1056,255,255,255,1537.416,567.075,40.946,32.837,44.309,3
32,1041,255,255,255,210.211,671.338,38.536,34.395,83.379,3
33,1073,255,255,255,1538.172,693.687,39.346,34.723,33.177,3
34,1057,255,255,255,204.772,803.140,39.739,33.867,41.512,3
35,1082,255,255,255,1539.987,817.794,39.137,35.200,68.177,3
36,1102,255,255,255,208.180,915.680,39.480,35.540,171.803,3
37,1302,255,255,255,1536.951,928.611,43.537,38.077,175.665,3
38,927,255,255,255,207.856,1049.073,36.354,32.467,24.845,3
39,1097,255,255,255,1540.086,1056.434,39.061,35.758,70.108,3
40,1193,255,255,255,207.606,1174.578,46.004,33.019,56.544,3
41,1062,255,255,255,1538.285,1172.552,38.051,35.536,34.720,3
42,1059,255,255,255,1542.582,1307.267,37.287,36.162,83.210,3
43,1039,255,255,255,216.232,445.870,40.753,32.461,13.879,4
44,1051,255,255,255,1546.889,547.348,40.588,32.970,45.837,4
45,1231,255,255,255,210.657,569.523,42.276,37.074,6.513,4
46,1052,255,255,255,1545.849,673.523,38.668,34.640,32.349,4
47,1021,255,255,255,212.901,691.736,38.278,33.961,76.540,4
48,1064,255,255,255,1545.158,798.352,38.563,35.131,61.268,4
49,1042,255,255,255,205.483,823.804,39.705,33.415,43.986,4
50,1311,255,255,255,1540.545,909.360,43.310,38.541,178.328,4
51,1093,255,255,255,207.161,936.283,39.248,35.458,176.380,4
52,1097,255,255,255,1541.196,1037.134,38.802,35.997,72.938,4
53,912,255,255,255,205.003,1069.755,35.590,32.627,24.354,4
54,1058,255,255,255,1537.630,1153.110,37.593,35.834,37.488,4
55,1191,255,255,255,202.550,1195.138,45.941,33.008,55.643,4
56,1062,255,255,255,1539.511,1288.139,37.578,35.983,84.256,4
57,1041,255,255,255,214.896,430.704,40.895,32.411,14.006,5
58,1254,255,255,255,211.175,554.075,41.948,38.063,6.820,5
59,1073,255,255,255,1542.406,567.990,40.830,33.461,47.975,5
60,1043,255,255,255,215.247,676.191,38.703,34.312,77.158,5
61,1087,255,255,255,1542.835,694.638,39.496,35.042,38.388,5
62,1050,255,255,255,209.849,808.435,39.750,33.633,39.337,5
63,1099,255,255,255,1544.424,819.068,39.330,35.578,69.407,5
64,1080,255,255,255,213.134,920.932,39.255,35.030,175.177,5
65,1314,255,255,255,1541.397,930.481,43.615,38.359,174.152,5
66,932,255,255,255,212.917,1054.467,36.388,32.611,34.022,5
67,1112,255,255,255,1544.573,1057.989,39.254,36.069,78.445,5
68,1086,255,255,255,1542.192,1174.206,38.552,35.867,33.992,5
69,1216,255,255,255,212.481,1179.848,46.777,33.099,57.136,5
70,1060,255,255,255,1546.363,1309.292,37.708,35.792,85.922,5
71,1040,255,255,255,205.404,394.109,41.081,32.233,16.818,6
72,1246,255,255,255,205.671,517.715,41.606,38.130,14.240,6
73,1066,255,255,255,1530.140,606.640,40.701,33.347,46.884,6
74,1037,255,255,255,213.647,639.777,38.506,34.289,84.516,6
75,1083,255,255,255,1534.543,733.285,38.894,35.453,35.362,6
76,1055,255,255,255,212.170,771.945,40.121,33.480,41.533,6
77,1081,255,255,255,1540.200,857.452,39.101,35.200,62.088,6
78,1081,255,255,255,218.946,884.348,39.280,35.040,174.014,6
79,1314,255,255,255,1540.475,968.605,43.488,38.472,176.858,6
80,945,255,255,255,222.544,1017.924,36.511,32.955,36.334,6
81,1099,255,255,255,1547.134,1096.276,38.989,35.890,74.629,6
82,1200,255,255,255,225.862,1143.209,46.456,32.889,56.919,6
83,1082,255,255,255,1548.677,1212.320,38.407,35.869,31.339,6
84,1088,255,255,255,1556.887,1347.268,38.232,36.234,85.800,6
85,1046,255,255,255,208.641,426.554,40.674,32.743,13.113,7
86,1244,255,255,255,205.098,549.959,41.964,37.744,6.555,7
87,1076,255,255,255,1540.182,565.791,41.147,33.296,43.908,7
88,1053,255,255,255,209.295,672.135,38.822,34.535,76.940,7
89,1081,255,255,255,1541.170,692.086,39.015,35.278,34.081,7
90,1054,255,255,255,203.976,804.409,40.230,33.358,42.058,7
91,1089,255,255,255,1542.472,816.815,38.925,35.621,63.786,7
92,1097,255,255,255,207.176,916.885,39.630,35.245,170.875,7
93,1321,255,255,255,1539.713,927.785,43.632,38.548,171.182,7
94,933,255,255,255,206.981,1050.335,36.118,32.890,28.053,7
95,1104,255,255,255,1542.371,1055.556,39.067,35.980,67.068,7
96,1095,255,255,255,1540.062,1171.552,38.264,36.437,34.678,7
97,1212,255,255,255,206.733,1175.904,46.314,33.320,57.330,7
98,1070,255,255,255,1544.510,1306.909,37.799,36.042,90.715,7
99,1055,255,255,255,225.163,465.911,41.472,32.390,11.954,8
100,1064,255,255,255,1557.348,528.278,40.734,33.258,42.811,8
101,1244,255,255,255,217.588,589.143,42.006,37.707,2.919,8
102,1076,255,255,255,1554.042,654.592,39.005,35.124,30.884,8
103,1066,255,255,255,217.624,711.464,38.914,34.879,82.589,8
104,1098,255,255,255,1551.392,779.454,39.210,35.654,63.855,8
105,1051,255,255,255,207.861,843.246,39.958,33.489,39.025,8
106,1316,255,255,255,1544.735,890.248,43.528,38.494,171.898,8
107,1102,255,255,255,207.888,955.890,39.439,35.577,168.892,8
108,1123,255,255,255,1543.360,1017.943,38.996,36.667,67.668,8
109,933,255,255,255,203.160,1089.330,35.941,33.052,33.619,8
110,1079,255,255,255,1537.713,1133.970,38.162,36.000,39.547,8
111,1218,255,255,255,198.585,1214.681,46.475,33.369,53.958,8
112,1084,255,255,255,1537.270,1268.713,37.598,36.709,96.570,8
113,1043,255,255,255,215.836,432.965,41.063,32.340,13.449,9
114,1227,255,255,255,211.962,556.520,41.613,37.543,4.660,9
115,1060,255,255,255,1543.338,567.315,40.747,33.123,43.471,9
116,1042,255,255,255,215.899,678.327,38.578,34.390,83.202,9
117,1068,255,255,255,1544.091,693.841,38.995,34.871,31.710,9
118,1062,255,255,255,210.236,810.712,39.777,33.994,40.335,9
119,1090,255,255,255,1545.254,818.533,39.269,35.342,60.304,9
120,1088,255,255,255,213.483,923.220,39.378,35.179,175.699,9
121,1316,255,255,255,1541.952,929.709,43.470,38.546,172.065,9
122,1109,255,255,255,1544.886,1057.258,39.166,36.052,71.412,9
123,917,255,255,255,212.998,1056.550,35.508,32.882,35.928,9
124,1080,255,255,255,1542.498,1173.301,38.459,35.755,40.068,9
125,1197,255,255,255,212.287,1182.112,45.997,33.134,56.442,9
126,1070,255,255,255,1546.533,1308.389,37.343,36.483,84.473,9
127,1035,255,255,255,199.215,373.730,40.542,32.505,16.574,10
128,1226,255,255,255,201.332,497.292,41.588,37.535,16.483,10
129,1028,255,255,255,211.177,619.067,38.328,34.150,81.110,10
130,1054,255,255,255,1524.774,626.221,40.824,32.873,47.942,10
131,1053,255,255,255,211.778,751.578,40.060,33.468,46.421,10
132,1071,255,255,255,1531.567,752.991,39.039,34.930,36.672,10
133,1088,255,255,255,220.538,863.827,39.160,35.375,179.980,10
134,1072,255,255,255,1538.688,877.235,38.972,35.022,64.900,10
135,1302,255,255,255,1541.052,988.024,42.974,38.576,179.294,10
136,935,255,255,255,226.565,997.037,36.098,32.979,32.888,10
137,1103,255,255,255,1549.825,1115.520,38.759,36.234,70.803,10
138,1199,255,255,255,231.954,1122.414,46.405,32.898,60.438,10
139,1068,255,255,255,1553.081,1231.507,37.967,35.816,46.028,10
140,1073,255,255,255,1563.596,1366.342,37.645,36.291,92.628,10
141,1037,255,255,255,207.598,426.285,41.080,32.141,14.310,11
142,1227,255,255,255,204.304,549.716,41.475,37.668,11.193,11
143,1056,255,255,255,1540.543,566.592,40.535,33.170,46.274,11
144,1015,255,255,255,208.385,671.976,38.142,33.882,80.909,11
145,1066,255,255,255,1541.434,693.275,38.807,34.975,30.771,11
146,1043,255,255,255,203.128,804.192,39.749,33.410,40.420,11
147,1092,255,255,255,1542.868,817.842,39.475,35.221,61.733,11
148,1074,255,255,255,206.493,916.692,39.233,34.854,179.350,11
149,1300,255,255,255,1540.026,928.999,43.314,38.214,169.629,11
150,932,255,255,255,206.492,1050.059,36.034,32.932,27.018,11
151,1094,255,255,255,1542.893,1056.636,39.405,35.349,70.168,11
152,1078,255,255,255,1541.083,1172.562,38.236,35.896,34.131,11
153,1196,255,255,255,205.887,1175.667,46.189,32.969,58.866,11
154,1065,255,255,255,1545.075,1307.816,37.503,36.157,91.919,11
155,1032,255,255,255,229.155,485.101,40.953,32.085,11.350,12
156,1076,255,255,255,1561.867,511.363,40.989,33.424,43.396,12
157,1235,255,255,255,219.847,608.201,41.646,37.758,179.440,12
158,1063,255,255,255,1556.674,637.676,38.984,34.718,32.707,12
159,1045,255,255,255,218.228,730.599,39.126,34.006,78.277,12
160,1094,255,255,255,1552.471,762.622,39.058,35.663,65.145,12
161,1045,255,255,255,206.468,862.169,39.989,33.272,38.243,12
162,1319,255,255,255,1544.231,873.376,43.533,38.577,167.774,12
163,1092,255,255,255,204.831,974.614,38.991,35.658,171.270,12
164,1125,255,255,255,1540.787,1001.016,39.505,36.258,78.993,12
165,934,255,255,255,198.485,1107.767,36.082,32.959,24.689,12
166,1080,255,255,255,1533.561,1116.891,38.201,35.997,37.646,12
167,1226,255,255,255,192.215,1233.155,46.959,33.242,53.935,12
168,1096,255,255,255,1531.169,1252.015,38.384,36.355,86.788,12
169,1041,255,255,255,215.340,432.558,40.885,32.419,12.845,13
170,1233,255,255,255,211.700,556.221,41.928,37.443,6.221,13
171,1088,255,255,255,1542.908,568.199,41.158,33.657,46.760,13
172,1055,255,255,255,215.703,678.292,38.896,34.535,81.102,13
173,1074,255,255,255,1543.662,694.516,39.093,34.979,30.707,13
174,1049,255,255,255,209.992,810.570,39.494,33.819,44.470,13
175,1094,255,255,255,1545.096,819.539,38.847,35.856,66.585,13
176,1099,255,255,255,213.316,923.152,39.622,35.316,171.647,13
177,1315,255,255,255,1542.196,930.529,43.325,38.645,168.666,13
178,1103,255,255,255,1544.822,1058.065,39.149,35.873,73.355,13
179,916,255,255,255,212.901,1056.512,35.858,32.525,31.166,13
180,1059,255,255,255,1542.486,1174.159,38.036,35.450,33.671,13
181,1208,255,255,255,212.058,1182.056,46.194,33.296,55.534,13
182,1065,255,255,255,1546.520,1309.409,37.581,36.082,89.540,13
183,1045,255,255,255,191.315,351.366,40.485,32.865,19.690,14
184,1245,255,255,255,195.865,474.942,42.165,37.595,14.969,14
185,1014,255,255,255,207.513,596.689,38.411,33.612,83.082,14
186,1053,255,255,255,1515.098,647.358,40.391,33.194,51.482,14
187,1029,255,255,255,210.350,728.522,39.779,32.936,46.685,14
188,1090,255,255,255,1523.718,773.697,39.648,35.004,40.177,14
189,1093,255,255,255,220.998,840.996,39.708,35.047,178.846,14
190,1090,255,255,255,1533.072,897.863,38.915,35.663,77.524,14
191,911,255,255,255,229.185,974.283,35.514,32.661,39.252,14
192,1307,255,255,255,1537.124,1008.956,43.446,38.304,178.758,14
193,1218,255,255,255,236.943,1099.524,46.513,33.341,59.155,14
194,1099,255,255,255,1548.213,1136.145,38.754,36.107,75.280,14
195,1094,255,255,255,1553.538,1252.330,38.994,35.721,50.441,14
196,1080,255,255,255,1566.381,1386.569,37.719,36.456,97.441,14
197,1062,255,255,255,208.234,426.358,40.799,33.142,13.114,15
198,1270,255,255,255,204.554,550.024,42.326,38.204,8.970,15
199,1095,255,255,255,1541.472,565.867,41.312,33.748,45.037,15
200,1052,255,255,255,208.697,672.209,39.127,34.234,78.602,15
201,1104,255,255,255,1542.090,692.266,39.636,35.464,39.458,15
202,1068,255,255,255,202.992,804.667,40.396,33.662,43.300,15
203,1101,255,255,255,1543.644,816.968,39.117,35.837,66.564,15
204,1114,255,255,255,206.660,917.119,39.699,35.728,170.768,15
205,1331,255,255,255,1540.498,928.043,43.492,38.965,172.474,15
206,949,255,255,255,206.413,1050.285,36.120,33.452,35.286,15
207,1125,255,255,255,1543.212,1055.820,39.479,36.282,78.327,15
208,1091,255,255,255,1541.337,1171.934,38.518,36.064,48.433,15
209,1228,255,255,255,205.953,1175.866,47.127,33.177,58.482,15
210,1096,255,255,255,1545.369,1307.113,38.350,36.387,69.453,15
211,1082,255,255,255,1570.625,493.137,41.017,33.587,42.851,16
212,1032,255,255,255,238.464,503.374,40.922,32.110,10.776,16
213,1073,255,255,255,1563.510,619.382,39.408,34.668,31.651,16
214,1245,255,255,255,227.246,626.382,42.130,37.626,6.832,16
215,1120,255,255,255,1556.929,743.891,39.647,35.969,65.305,16
216,1042,255,255,255,223.515,748.593,39.079,33.950,80.861,16
217,1324,255,255,255,1547.201,854.641,43.867,38.429,168.425,16
218,1049,255,255,255,209.837,880.148,39.867,33.502,39.137,16
219,1126,255,255,255,1541.967,982.354,39.045,36.718,68.860,16
220,1088,255,255,255,206.219,992.620,39.648,34.940,164.364,16
221,1080,255,255,255,1532.439,1097.885,38.222,35.977,34.664,16
