 ,Area,Mean,Min,Max,XM,YM,Major,Minor,Angle,Slice
1,38539,255,255,255,661.600,347.863,0,0,0,1
2,39182,255,255,255,354.770,347.131,0,0,0,1
3,28448,255,255,255,864.812,338.429,0,0,0,1
4,38868,255,255,255,1143.680,356.275,0,0,0,1
5,37518,255,255,255,1369.945,347.937,0,0,0,1
6,28661,255,255,255,514.623,488.922,0,0,0,1
7,36683,255,255,255,978.440,503.291,0,0,0,1
8,35293,255,255,255,729.156,554.338,0,0,0,1
9,36838,255,255,255,1391.275,555.941,0,0,0,1
10,30174,255,255,255,332.009,550.603,0,0,0,1
11,34306,255,255,255,1180.969,571.897,0,0,0,1
12,34992,255,255,255,559.683,683.857,0,0,0,1
13,33131,255,255,255,887.959,688.498,0,0,0,1
14,41908,255,255,255,349.066,757.802,0,0,0,1
15,53375,255,255,255,1361.311,783.089,0,0,0,1
16,35715,255,255,255,1101.141,764.143,0,0,0,1
17,35179,255,255,255,723.823,820.114,0,0,0,1
18,36844,255,255,255,931.020,890.933,0,0,0,1
19,29391,255,255,255,530.228,881.740,0,0,0,1
20,33768,255,255,255,1204.270,953.446,0,0,0,1
21,37054,255,255,255,345.082,977.124,0,0,0,1
22,29623,255,255,255,1400.433,1002.169,0,0,0,1
23,35567,255,255,255,773.683,1030.031,0,0,0,1
24,25868,255,255,255,1042.413,1054.372,0,0,0,1
25,42614,255,255,255,551.147,1085.478,0,0,0,1
26,36837,255,255,255,338.954,1189.662,0,0,0,1
27,37638,255,255,255,1178.742,1203.036,0,0,0,1
28,36277,255,255,255,1392.205,1203.829,0,0,0,1
29,39317,255,255,255,954.577,1220.457,0,0,0,1
30,36223,255,255,255,731.774,1235.490,0,0,0,1
31,35951,255,255,255,524.310,1297.482,0,0,0,1
32,41089,255,255,255,1324.642,1410.152,0,0,0,1
33,39255,255,255,255,1093.979,1411.253,0,0,0,1
34,36427,255,255,255,873.121,1411.990,0,0,0,1
35,38074,255,255,255,343.055,1412.310,0,0,0,1
36,29016,255,255,255,673.063,1428.593,0,0,0,1
37,38048,255,255,255,657.276,353.405,226.861,213.541,106.219,2
38,39155,255,255,255,349.261,347.839,230.079,216.681,6.618,2
39,28381,255,255,255,859.324,347.082,196.670,183.738,64.612,2
40,38513,255,255,255,1148.485,367.250,225.062,217.879,81.814,2
41,38011,255,255,255,1374.270,362.641,234.787,206.132,1.579,2
42,28611,255,255,255,509.176,489.089,194.847,186.960,125.949,2
43,36379,255,255,255,980.147,504.893,220.950,209.637,161.856,2
44,35180,255,255,255,733.124,555.839,214.883,208.451,43.485,2
45,29835,255,255,255,328.370,549.679,202.134,187.930,162.680,2
46,36655,255,255,255,1388.692,569.033,222.980,209.304,173.218,2
47,34028,255,255,255,1178.827,582.220,212.820,203.580,63.258,2
48,34889,255,255,255,561.191,680.863,215.266,206.359,166.091,2
49,32828,255,255,255,892.479,688.017,208.088,200.867,163.399,2
50,41876,255,255,255,350.016,754.609,235.247,226.648,178.910,2
51,53333,255,255,255,1361.049,794.186,272.768,248.950,167.846,2
52,35591,255,255,255,1113.739,777.932,224.743,201.634,147.318,2
53,35004,255,255,255,726.863,815.103,213.300,208.947,83.073,2
54,29408,255,255,255,532.754,876.320,203.733,183.787,156.359,2
55,36657,255,255,255,934.032,888.323,220.251,211.909,165.840,2
56,33481,255,255,255,1210.815,969.975,212.814,200.312,112.427,2
57,36807,255,255,255,347.531,972.024,224.361,208.878,171.205,2
58,35425,255,255,255,776.563,1024.068,218.263,206.652,134.742,2
59,29447,255,255,255,1406.144,1009.998,199.592,187.849,0.966,2
60,25600,255,255,255,1042.292,1052.354,186.159,175.092,153.330,2
