 ,Area,Mean,Min,Max,XM,YM,Major,Minor,Angle,Slice
1,38152,255,255,255,667.513,339.969,0,0,0,1
2,38002,255,255,255,345.240,334.952,0,0,0,1
3,29270,255,255,255,872.097,325.020,0,0,0,1
4,38750,255,255,255,1173.710,346.021,0,0,0,1
5,35803,255,255,255,1390.975,334.251,0,0,0,1
6,28579,255,255,255,506.100,462.447,0,0,0,1
7,37133,255,255,255,993.992,481.352,0,0,0,1
8,36762,255,255,255,1392.345,542.971,0,0,0,1
9,30297,255,255,255,328.627,541.231,0,0,0,1
10,35520,255,255,255,726.395,550.354,0,0,0,1
11,35781,255,255,255,1178.219,577.969,0,0,0,1
12,35216,255,255,255,540.939,658.588,0,0,0,1
13,33230,255,255,255,896.687,670.698,0,0,0,1
14,52471,255,255,255,1324.717,762.366,0,0,0,1
15,41502,255,255,255,343.376,750.733,0,0,0,1
16,34898,255,255,255,712.198,777.595,0,0,0,1
17,35486,255,255,255,1087.411,780.555,0,0,0,1
18,29826,255,255,255,531.241,868.622,0,0,0,1
19,37062,255,255,255,898.992,879.696,0,0,0,1
20,34309,255,255,255,1207.302,963.130,0,0,0,1
21,39124,255,255,255,344.098,969.516,0,0,0,1
22,29560,255,255,255,1404.947,970.161,0,0,0,1
23,35304,255,255,255,723.034,994.405,0,0,0,1
24,26096,255,255,255,1026.285,1024.780,0,0,0,1
25,42058,255,255,255,535.912,1092.481,0,0,0,1
26,36114,255,255,255,1388.244,1170.306,0,0,0,1
27,37999,255,255,255,1163.580,1175.578,0,0,0,1
28,37077,255,255,255,337.309,1183.474,0,0,0,1
29,32782,255,255,255,944.018,1193.437,0,0,0,1
30,36208,255,255,255,732.307,1208.370,0,0,0,1
31,37943,255,255,255,540.316,1323.339,0,0,0,1
32,41903,255,255,255,1380.603,1388.481,0,0,0,1
33,39431,255,255,255,1151.945,1392.726,0,0,0,1
34,37419,255,255,255,335.586,1398.013,0,0,0,1
35,36294,255,255,255,929.913,1398.290,0,0,0,1
36,29296,255,255,255,727.638,1409.563,0,0,0,1
37,37591,255,255,255,325.067,330.694,225.979,211.800,15.004,2
38,37602,255,255,255,673.885,357.608,224.161,213.580,99.863,2
39,28460,255,255,255,876.397,352.944,195.932,184.944,60.797,2
40,38698,255,255,255,1147.583,386.655,228.832,215.319,85.193,2
41,34529,255,255,255,1361.479,388.741,213.120,206.286,34.293,2
42,28430,255,255,255,495.326,447.733,192.954,187.600,114.177,2
