 ,Area,Mean,Min,Max,XM,YM,Major,Minor,Angle,Slice
1,39154,255,255,255,553.136,340.087,0,0,0,1
2,41358,255,255,255,336.017,343.312,0,0,0,1
3,36970,255,255,255,943.140,336.530,0,0,0,1
4,38332,255,255,255,1162.773,347.967,0,0,0,1
5,35032,255,255,255,1376.706,335.846,0,0,0,1
6,37958,255,255,255,745.162,433.753,0,0,0,1
7,37106,255,255,255,1036.427,527.071,0,0,0,1
8,36472,255,255,255,1376.533,545.765,0,0,0,1
9,41054,255,255,255,531.068,569.798,0,0,0,1
10,29117,255,255,255,321.271,557.174,0,0,0,1
11,35673,255,255,255,845.290,628.928,0,0,0,1
12,29843,255,255,255,1199.752,650.716,0,0,0,1
13,33789,255,255,255,672.624,734.617,0,0,0,1
14,32702,255,255,255,1024.636,739.581,0,0,0,1
15,37796,255,255,255,334.634,762.425,0,0,0,1
16,37485,255,255,255,1375.137,760.415,0,0,0,1
17,33441,255,255,255,848.122,846.216,0,0,0,1
18,30264,255,255,255,1190.042,853.433,0,0,0,1
19,41632,255,255,255,522.823,884.059,0,0,0,1
20,31203,255,255,255,1010.173,951.729,0,0,0,1
21,35926,255,255,255,1373.903,972.761,0,0,0,1
22,36059,255,255,255,328.102,982.401,0,0,0,1
23,37190,255,255,255,718.092,1010.981,0,0,0,1
24,32779,255,255,255,1175.929,1053.219,0,0,0,1
25,35717,255,255,255,528.061,1110.760,0,0,0,1
26,32773,255,255,255,905.188,1134.229,0,0,0,1
27,41505,255,255,255,1359.517,1182.112,0,0,0,1
28,38226,255,255,255,332.941,1195.946,0,0,0,1
29,37819,255,255,255,715.885,1223.630,0,0,0,1
30,29529,255,255,255,1089.176,1229.700,0,0,0,1
31,40055,255,255,255,548.118,1376.034,0,0,0,1
32,39744,255,255,255,948.349,1384.609,0,0,0,1
33,39407,255,255,255,1369.443,1397.586,0,0,0,1
34,34759,255,255,255,332.670,1404.876,0,0,0,1
35,29959,255,255,255,1154.653,1410.704,0,0,0,1
36,26845,255,255,255,750.234,1416.043,0,0,0,1
37,41155,255,255,255,325.640,352.035,235.354,222.644,95.791,2
38,39220,255,255,255,544.288,352.267,233.432,213.923,83.390,2
39,36888,255,255,255,936.580,347.245,221.493,212.048,40.544,2
40,38441,255,255,255,1171.501,357.037,237.502,206.081,116.191,2
41,35016,255,255,255,1386.612,344.853,213.585,208.740,7.941,2
42,38088,255,255,255,738.250,442.733,230.968,209.964,75.820,2
43,37228,255,255,255,1041.783,531.221,221.805,213.702,17.727,2
44,36163,255,255,255,1385.921,552.060,222.192,207.227,168.641,2
45,29090,255,255,255,311.310,561.665,197.207,187.816,9.572,2
46,41230,255,255,255,521.487,583.593,233.294,225.019,56.097,2
47,35762,255,255,255,850.042,632.696,219.386,207.550,132.102,2
48,30019,255,255,255,1206.596,653.473,201.411,189.768,83.454,2
49,34038,255,255,255,676.321,738.178,214.807,201.756,110.692,2
50,32678,255,255,255,1030.329,743.036,206.213,201.766,80.011,2
51,37460,255,255,255,324.429,762.064,229.841,207.516,35.122,2
52,37710,255,255,255,1384.605,763.095,225.609,212.818,161.295,2
53,33624,255,255,255,853.223,849.893,211.805,202.126,83.534,2
54,30323,255,255,255,1197.010,854.963,197.519,195.467,102.509,2
55,41509,255,255,255,515.102,876.531,237.484,222.545,122.874,2
56,31349,255,255,255,1017.034,955.013,222.864,179.099,62.181,2
57,35718,255,255,255,1383.466,971.876,222.854,204.069,173.870,2
58,35836,255,255,255,319.447,976.872,216.445,210.806,171.618,2
59,37213,255,255,255,709.616,1003.601,227.657,208.125,152.985,2
60,32813,255,255,255,1184.874,1053.845,206.034,202.777,172.577,2
61,35801,255,255,255,518.366,1102.652,223.670,203.797,108.698,2
62,32903,255,255,255,896.032,1127.386,214.169,195.609,121.708,2
63,41233,255,255,255,1370.349,1178.190,249.611,210.325,2.760,2
64,38017,255,255,255,323.079,1188.162,229.270,211.125,168.874,2
65,37796,255,255,255,705.368,1216.035,227.328,211.691,177.427,2
66,29539,255,255,255,1082.142,1221.115,204.163,184.217,165.653,2
67,39828,255,255,255,949.804,1377.183,241.696,209.811,112.832,2
68,40566,255,255,255,543.500,1376.381,236.773,218.142,98.288,2
69,39578,255,255,255,1378.161,1390.383,234.029,215.325,5.846,2
70,34843,255,255,255,323.892,1395.678,215.906,205.476,0.390,2
71,30128,255,255,255,1160.106,1400.017,196.556,195.162,36.677,2
72,26969,255,255,255,749.844,1406.216,186.714,183.907,30.852,2
73,39487,255,255,255,550.788,344.006,235.054,213.893,81.983,3
74,41336,255,255,255,332.402,346.976,238.110,221.035,96.422,3
75,37305,255,255,255,938.804,340.262,221.557,214.384,50.121,3
76,38617,255,255,255,1164.639,348.902,236.574,207.837,120.161,3
77,35040,255,255,255,1381.115,339.748,215.980,206.567,147.723,3
78,38083,255,255,255,741.781,440.485,231.041,209.871,73.352,3
79,37263,255,255,255,1041.173,528.004,221.635,214.067,16.098,3
80,36269,255,255,255,1380.435,548.773,219.855,210.044,170.364,3
81,41123,255,255,255,528.976,575.557,233.467,224.269,56.923,3
82,29198,255,255,255,319.030,559.562,196.660,189.037,13.495,3
83,35716,255,255,255,850.213,631.253,218.552,208.074,130.523,3
84,29918,255,255,255,1203.808,653.486,201.968,188.608,85.701,3
85,34049,255,255,255,676.364,736.219,214.861,201.770,110.917,3
86,32866,255,255,255,1028.698,742.298,207.677,201.497,82.539,3
87,37706,255,255,255,331.875,762.351,230.215,208.539,33.981,3
