 ,Area,Mean,Min,Max,XM,YM,Major,Minor,Angle,Slice
1,982,255,255,255,207.332,416.818,0.000,0.000,0.000,1
2,1182,255,255,255,203.964,540.480,0.000,0.000,0.000,1
3,1013,255,255,255,1528.117,555.981,0.000,0.000,0.000,1
4,979,255,255,255,207.959,662.437,0.000,0.000,0.000,1
5,1025,255,255,255,1529.059,682.437,0.000,0.000,0.000,1
6,987,255,255,255,202.338,794.898,0.000,0.000,0.000,1
7,1031,255,255,255,1530.603,807.229,0.000,0.000,0.000,1
8,1018,255,255,255,205.875,907.620,0.000,0.000,0.000,1
9,1257,255,255,255,1527.668,918.419,0.000,0.000,0.000,1
10,872,255,255,255,205.604,1040.881,0.000,0.000,0.000,1
11,1044,255,255,255,1530.551,1046.107,0.000,0.000,0.000,1
12,1019,255,255,255,1528.578,1162.025,0.000,0.000,0.000,1
13,1149,255,255,255,205.354,1166.404,0.000,0.000,0.000,1
14,1011,255,255,255,1532.630,1297.188,0.000,0.000,0.000,1
15,981,255,255,255,196.058,416.869,40.561,30.795,14.397,2
16,1170,255,255,255,192.412,540.503,41.084,36.260,6.325,2
17,1010,255,255,255,1539.518,555.909,39.815,32.298,43.330,2
18,951,255,255,255,196.419,662.616,36.792,32.911,79.735,2
19,1037,255,255,255,1540.421,682.342,38.639,34.171,36.614,2
20,978,255,255,255,190.848,794.879,38.583,32.274,40.656,2
21,1015,255,255,255,1541.839,807.105,37.516,34.448,55.909,2
22,1028,255,255,255,194.691,907.362,38.705,33.817,170.583,2
23,1231,255,255,255,1538.902,918.237,42.268,37.082,173.494,2
24,870,255,255,255,193.990,1041.062,34.936,31.707,27.816,2
25,1038,255,255,255,1541.866,1045.954,37.883,34.887,79.683,2
26,1020,255,255,255,1539.869,1161.975,37.344,34.777,32.922,2
27,1136,255,255,255,193.768,1166.428,45.109,32.065,55.992,2
28,1005,255,255,255,1543.988,1297.492,36.682,34.883,82.296,2
29,984,255,255,255,215.735,417.542,40.278,31.105,11.226,3
30,1160,255,255,255,212.084,541.240,40.562,36.413,11.393,3
31,1008,255,255,255,1522.568,556.575,39.848,32.208,43.512,3
32,968,255,255,255,216.265,663.476,37.058,33.258,79.456,3
33,1002,255,255,255,1523.151,683.007,38.144,33.447,32.655,3
34,1000,255,255,255,210.477,795.352,39.121,32.546,42.355,3
35,1034,255,255,255,1524.597,807.604,38.437,34.252,62.789,3
36,1028,255,255,255,213.996,908.278,38.270,34.201,175.072,3
37,1245,255,255,255,1521.502,918.922,42.452,37.341,172.555,3
38,848,255,255,255,213.652,1041.886,34.900,30.937,27.333,3
39,1046,255,255,255,1524.262,1046.563,37.965,35.080,71.838,3
40,1030,255,255,255,1521.978,1162.683,37.290,35.169,43.517,3
41,1149,255,255,255,213.268,1167.380,45.736,31.987,55.094,3
42,1004,255,255,255,1525.878,1297.852,36.257,35.258,87.183,3
43,993,255,255,255,227.444,417.687,40.597,31.143,16.109,4
44,1185,255,255,255,223.838,541.174,41.560,36.304,9.155,4
45,1005,255,255,255,1511.162,556.614,40.049,31.951,42.779,4
46,990,255,255,255,227.731,663.833,37.670,33.462,81.882,4
47,1023,255,255,255,1511.959,683.412,38.456,33.870,28.624,4
48,982,255,255,255,222.167,795.563,38.487,32.487,36.770,4
49,1032,255,255,255,1513.223,807.648,37.863,34.704,59.527,4
50,1039,255,255,255,225.693,908.213,38.788,34.105,173.692,4
51,1258,255,255,255,1510.181,918.972,42.715,37.498,169.988,4
52,863,255,255,255,225.521,1041.684,35.102,31.303,25.889,4
53,1056,255,255,255,1512.893,1046.485,37.865,35.509,69.525,4
54,1024,255,255,255,1510.773,1162.702,37.496,34.772,27.835,4
55,1141,255,255,255,224.915,1167.069,45.030,32.262,54.249,4
56,1025,255,255,255,1514.680,1297.444,37.044,35.231,79.024,4
57,980,255,255,255,207.143,416.649,40.048,31.157,15.201,5
58,1160,255,255,255,203.538,540.579,40.851,36.155,7.001,5
59,1000,255,255,255,1528.993,555.784,39.619,32.137,43.949,5
60,961,255,255,255,207.608,662.474,36.985,33.083,77.188,5
61,1019,255,255,255,1529.896,682.228,38.147,34.011,31.442,5
62,993,255,255,255,201.897,794.867,38.984,32.432,40.349,5
63,1034,255,255,255,1531.249,806.954,38.140,34.518,63.115,5
64,1013,255,255,255,205.341,907.271,38.548,33.460,175.023,5
65,1227,255,255,255,1528.246,918.379,42.261,36.967,174.146,5
66,860,255,255,255,205.105,1040.993,35.273,31.043,23.513,5
67,1032,255,255,255,1531.111,1045.850,37.434,35.102,66.885,5
68,1017,255,255,255,1529.313,1161.900,37.148,34.857,30.223,5
69,1127,255,255,255,204.631,1166.409,44.901,31.958,54.762,5
70,1004,255,255,255,1533.208,1297.393,36.469,35.053,82.513,5
71,996,255,255,255,184.551,416.694,40.243,31.512,14.331,6
72,1170,255,255,255,181.091,540.382,41.396,35.986,7.296,6
73,1018,255,255,255,1550.294,555.797,40.117,32.310,42.819,6
74,981,255,255,255,185.366,662.315,37.451,33.352,77.249,6
75,1011,255,255,255,1551.080,682.095,38.027,33.851,30.073,6
76,1001,255,255,255,179.706,794.547,38.990,32.688,37.121,6
77,1034,255,255,255,1552.711,806.797,37.718,34.905,55.998,6
78,1028,255,255,255,182.985,907.395,38.474,34.020,172.079,6
79,1237,255,255,255,1549.803,917.871,42.071,37.437,175.568,6
80,873,255,255,255,182.878,1040.725,34.823,31.919,25.514,6
81,1045,255,255,255,1552.773,1045.936,37.643,35.346,69.312,6
82,1026,255,255,255,1550.678,1161.982,37.371,34.956,36.342,6
83,1155,255,255,255,182.596,1166.097,45.666,32.203,54.906,6
84,1030,255,255,255,1554.960,1297.073,36.949,35.493,70.856,6
85,971,255,255,255,215.743,417.791,39.516,31.287,11.440,7
86,1189,255,255,255,212.333,541.404,41.195,36.749,6.364,7
87,1028,255,255,255,1523.353,556.728,40.230,32.535,42.453,7
88,982,255,255,255,216.387,663.559,37.890,32.999,81.371,7
89,1043,255,255,255,1523.938,682.978,39.173,33.900,28.347,7
90,1008,255,255,255,210.761,795.685,39.462,32.523,39.945,7
91,1076,255,255,255,1525.245,807.664,38.605,35.488,60.642,7
92,1032,255,255,255,214.225,908.391,38.694,33.958,174.878,7
93,1265,255,255,255,1522.355,919.046,42.932,37.516,174.373,7
94,871,255,255,255,213.945,1041.804,34.979,31.704,23.777,7
95,1064,255,255,255,1524.780,1046.574,38.215,35.450,70.862,7
96,1041,255,255,255,1522.837,1162.693,37.482,35.362,29.675,7
97,1147,255,255,255,213.265,1167.308,45.671,31.977,55.499,7
98,1020,255,255,255,1526.659,1297.918,36.901,35.194,71.476,7
99,987,255,255,255,238.674,417.604,40.550,30.991,14.354,8
100,1190,255,255,255,234.997,541.197,41.571,36.447,8.440,8
101,1015,255,255,255,1500.203,556.598,40.291,32.075,38.418,8
102,973,255,255,255,239.036,663.477,37.512,33.025,76.632,8
103,1031,255,255,255,1500.871,682.958,38.646,33.968,27.096,8
104,983,255,255,255,233.265,795.531,39.023,32.073,40.656,8
105,1054,255,255,255,1502.592,807.639,38.557,34.806,60.161,8
106,1039,255,255,255,236.784,908.265,38.617,34.257,174.476,8
107,1276,255,255,255,1499.184,918.906,43.164,37.639,173.641,8
108,865,255,255,255,236.516,1041.712,35.126,31.355,24.804,8
109,1056,255,255,255,1502.098,1046.515,37.978,35.403,67.375,8
110,1037,255,255,255,1499.658,1162.664,37.934,34.807,25.190,8
111,1131,255,255,255,235.858,1167.203,45.231,31.837,56.150,8
112,1010,255,255,255,1503.964,1297.670,36.221,35.504,89.210,8
113,969,255,255,255,207.798,416.979,39.784,31.011,13.298,9
114,1174,255,255,255,204.429,540.471,41.200,36.281,6.848,9
115,1006,255,255,255,1527.750,555.745,39.891,32.110,42.069,9
116,969,255,255,255,208.361,662.556,37.224,33.145,83.637,9
117,1037,255,255,255,1528.598,682.580,38.428,34.359,38.766,9
118,986,255,255,255,202.599,794.769,38.907,32.267,39.530,9
119,1020,255,255,255,1530.077,807.039,37.286,34.830,63.153,9
120,1032,255,255,255,206.465,907.278,38.837,33.833,173.359,9
121,1246,255,255,255,1527.114,918.299,42.805,37.063,175.983,9
122,866,255,255,255,206.087,1040.775,35.209,31.317,28.309,9
123,1045,255,255,255,1529.983,1046.078,37.632,35.356,68.686,9
124,1022,255,255,255,1528.004,1162.156,37.380,34.812,31.242,9
125,1136,255,255,255,205.444,1166.313,44.764,32.311,55.605,9
126,1005,255,255,255,1532.133,1297.255,36.657,34.908,75.910,9
127,984,255,255,255,172.264,416.579,39.882,31.414,14.028,10
128,1173,255,255,255,168.953,540.161,41.350,36.119,7.613,10
129,993,255,255,255,1562.422,555.520,39.753,31.805,44.041,10
130,958,255,255,255,173.038,662.763,36.601,33.326,78.293,10
131,1003,255,255,255,1563.116,682.356,37.780,33.802,34.372,10
132,970,255,255,255,167.613,794.574,38.515,32.066,40.702,10
133,1015,255,255,255,1564.713,806.489,37.568,34.400,51.595,10
134,1021,255,255,255,171.167,907.284,38.503,33.763,173.340,10
135,1233,255,255,255,1562.153,918.073,41.930,37.441,175.930,10
136,851,255,255,255,171.041,1040.643,35.190,30.791,22.172,10
137,1040,255,255,255,1564.944,1045.574,37.860,34.976,67.832,10
138,1019,255,255,255,1562.867,1161.703,37.391,34.699,36.020,10
139,1130,255,255,255,170.330,1166.163,44.658,32.217,54.681,10
140,1015,255,255,255,1566.900,1296.579,36.170,35.729,79.866,10
141,963,255,255,255,214.885,417.849,39.770,30.830,15.826,11
142,1152,255,255,255,211.503,541.389,41.190,35.610,9.772,11
143,993,255,255,255,1523.941,556.680,39.469,32.033,44.583,11
144,979,255,255,255,215.374,663.435,37.072,33.624,75.532,11
145,1008,255,255,255,1524.583,682.973,38.048,33.732,28.464,11
146,962,255,255,255,209.654,795.629,38.213,32.053,43.655,11
147,1023,255,255,255,1525.964,807.742,37.964,34.310,60.275,11
148,1022,255,255,255,213.115,908.447,38.161,34.099,173.405,11
149,1231,255,255,255,1522.833,918.950,42.375,36.988,174.029,11
150,854,255,255,255,212.893,1041.971,35.152,30.933,26.575,11
151,1034,255,255,255,1525.493,1046.591,37.706,34.916,71.084,11
152,1001,255,255,255,1523.451,1162.795,37.113,34.341,29.538,11
153,1139,255,255,255,212.373,1167.231,45.164,32.110,54.690,11
154,994,255,255,255,1527.428,1297.964,36.087,35.070,82.056,11
155,979,255,255,255,249.447,417.935,40.297,30.933,15.142,12
156,1175,255,255,255,246.257,541.347,41.576,35.984,10.953,12
157,1005,255,255,255,1488.484,556.618,39.413,32.467,42.845,12
158,957,255,255,255,250.100,663.666,36.804,33.108,79.508,12
159,1005,255,255,255,1489.161,682.893,38.230,33.471,30.247,12
160,981,255,255,255,244.586,795.831,38.805,32.187,38.707,12
161,1045,255,255,255,1490.467,807.598,38.051,34.967,60.376,12
162,1030,255,255,255,247.944,908.392,38.472,34.088,169.305,12
163,1249,255,255,255,1487.537,918.936,42.515,37.405,176.465,12
164,853,255,255,255,247.641,1042.002,35.168,30.882,22.985,12
165,1041,255,255,255,1490.442,1046.479,37.793,35.071,68.619,12
166,1011,255,255,255,1487.974,1162.633,37.636,34.203,31.125,12
167,1131,255,255,255,247.189,1167.547,45.174,31.877,53.723,12
168,998,255,255,255,1492.080,1297.768,36.326,34.980,92.834,12
169,978,255,255,255,207.971,416.913,40.163,31.005,13.770,13
170,1186,255,255,255,204.378,540.474,41.291,36.571,8.340,13
171,1009,255,255,255,1527.421,556.066,39.924,32.178,42.562,13
172,975,255,255,255,208.514,663.184,37.251,33.325,76.923,13
173,1015,255,255,255,1528.299,682.889,38.163,33.864,32.453,13
174,999,255,255,255,202.866,794.903,39.076,32.551,41.334,13
175,1027,255,255,255,1529.842,807.318,38.044,34.372,57.422,13
176,1029,255,255,255,206.503,907.491,38.023,34.457,165.209,13
177,1247,255,255,255,1526.841,918.346,42.375,37.468,173.111,13
178,865,255,255,255,205.888,1041.134,35.160,31.324,30.148,13
179,1054,255,255,255,1529.837,1046.247,38.139,35.187,69.693,13
180,1035,255,255,255,1527.629,1162.050,37.288,35.341,30.798,13
181,1139,255,255,255,205.797,1166.272,45.480,31.887,54.654,13
182,997,255,255,255,1531.885,1296.944,36.122,35.142,78.733,13
183,991,255,255,255,161.203,416.881,40.193,31.393,13.759,14
184,1186,255,255,255,157.733,540.333,41.413,36.464,8.788,14
185,1018,255,255,255,1573.725,555.459,40.034,32.377,43.233,14
186,980,255,255,255,161.682,662.683,37.457,33.312,82.549,14
187,1016,255,255,255,1574.659,681.929,37.915,34.119,27.607,14
188,994,255,255,255,156.071,794.748,38.809,32.611,39.864,14
189,1026,255,255,255,1576.332,806.579,38.117,34.272,60.512,14
190,1042,255,255,255,159.692,907.488,38.984,34.032,169.544,14
191,1248,255,255,255,1573.378,917.771,42.376,37.498,173.901,14
192,866,255,255,255,159.529,1040.763,34.810,31.675,27.062,14
193,1041,255,255,255,1576.198,1045.647,38.075,34.811,71.939,14
194,1025,255,255,255,1574.362,1161.633,37.441,34.856,43.998,14
195,1144,255,255,255,159.127,1166.370,45.361,32.111,54.660,14
196,995,255,255,255,1578.460,1296.735,36.781,34.444,83.596,14
197,976,255,255,255,214.955,417.644,39.884,31.158,15.251,15
198,1178,255,255,255,211.750,541.497,41.493,36.147,5.651,15
199,1001,255,255,255,1523.368,556.898,39.505,32.262,42.082,15
200,969,255,255,255,215.697,663.796,37.161,33.201,82.338,15
201,1019,255,255,255,1524.090,683.164,38.269,33.903,34.905,15
202,979,255,255,255,210.057,795.416,38.678,32.228,36.583,15
203,1040,255,255,255,1525.426,807.643,38.130,34.728,61.671,15
204,1020,255,255,255,213.562,908.601,38.374,33.844,168.762,15
205,1245,255,255,255,1522.492,919.163,42.561,37.245,171.927,15
206,880,255,255,255,213.166,1042.173,35.443,31.613,30.031,15
207,1054,255,255,255,1525.261,1046.644,38.149,35.178,67.733,15
208,1038,255,255,255,1522.977,1163.135,37.518,35.226,39.922,15
209,1170,255,255,255,212.870,1167.697,45.545,32.708,55.400,15
210,1008,255,255,255,1526.891,1298.173,36.793,34.882,77.840,15
211,978,255,255,255,261.569,418.135,40.170,30.999,16.573,16
212,1162,255,255,255,257.790,541.633,40.748,36.309,8.558,16
213,998,255,255,255,1476.600,556.481,39.940,31.815,42.994,16
214,982,255,255,255,262.014,664.006,37.167,33.640,79.488,16
215,1004,255,255,255,1477.019,682.821,37.979,33.659,32.336,16
216,981,255,255,255,256.300,795.946,38.957,32.063,40.130,16
217,1027,255,255,255,1478.448,807.541,37.942,34.463,59.170,16
218,1021,255,255,255,259.724,908.414,38.143,34.082,168.923,16
219,1240,255,255,255,1475.473,918.750,42.326,37.302,171.623,16
220,860,255,255,255,259.478,1042.148,34.932,31.346,33.387,16
221,1046,255,255,255,1478.164,1046.532,38.269,34.801,72.175,16
222,1012,255,255,255,1476.111,1162.380,37.303,34.542,35.613,16
223,1143,255,255,255,258.811,1167.517,45.134,32.244,54.158,16
224,989,255,255,255,1479.944,1297.685,36.050,34.930,60.166,16
225,993,255,255,255,207.526,417.371,40.332,31.348,12.648,17
226,1168,255,255,255,204.067,540.982,41.040,36.237,6.194,17
227,1005,255,255,255,1528.236,556.298,40.221,31.814,43.323,17
228,980,255,255,255,207.938,663.061,37.659,33.134,75.883,17
229,1016,255,255,255,1528.845,682.855,38.267,33.805,34.923,17
230,988,255,255,255,202.544,794.956,38.996,32.259,37.014,17
231,1046,255,255,255,1530.368,807.011,38.297,34.776,61.911,17
232,1029,255,255,255,206.239,907.490,38.355,34.159,170.191,17
233,1230,255,255,255,1527.435,918.269,42.196,37.115,174.991,17
234,845,255,255,255,205.926,1040.952,34.798,30.918,25.744,17
235,1046,255,255,255,1530.436,1046.076,37.865,35.172,71.661,17
236,1026,255,255,255,1528.515,1162.125,37.507,34.830,37.649,17
237,1141,255,255,255,205.239,1166.384,45.188,32.149,55.023,17
238,1001,255,255,255,1532.485,1296.896,36.488,34.930,82.705,17
239,991,255,255,255,149.983,416.387,40.412,31.223,12.782,18
240,1182,255,255,255,146.458,540.063,41.609,36.170,3.800,18
241,1019,255,255,255,1584.703,555.185,40.251,32.234,43.992,18
242,968,255,255,255,150.469,662.128,37.071,33.247,78.928,18
243,1028,255,255,255,1585.556,681.593,38.204,34.261,34.840,18
244,995,255,255,255,145.015,794.368,39.152,32.358,41.110,18
245,1031,255,255,255,1587.062,806.387,38.031,34.517,58.262,18
246,1052,255,255,255,148.723,907.051,38.982,34.360,172.673,18
247,1243,255,255,255,1584.225,917.807,42.626,37.129,175.104,18
248,869,255,255,255,148.622,1040.540,35.281,31.361,26.534,18
249,1041,255,255,255,1587.119,1045.374,37.442,35.400,65.993,18
250,1022,255,255,255,1585.290,1161.166,37.493,34.707,35.482,18
