 ,Area,Mean,Min,Max,XM,YM,Major,Minor,Angle,Slice
1,30677,255,255,255,324.589,337.963,0,0,0,1
2,37731,255,255,255,718.155,348.644,0,0,0,1
3,31443,255,255,255,1159.776,345.966,0,0,0,1
4,49490,255,255,255,945.562,374.915,0,0,0,1
5,42197,255,255,255,1372.467,360.480,0,0,0,1
6,38260,255,255,255,512.569,424.266,0,0,0,1
7,34541,255,255,255,328.652,541.941,0,0,0,1
8,32052,255,255,255,1099.592,537.227,0,0,0,1
9,35192,255,255,255,690.025,557.306,0,0,0,1
10,33401,255,255,255,1385.796,576.783,0,0,0,1
11,37492,255,255,255,892.184,613.217,0,0,0,1
12,35270,255,255,255,504.643,651.299,0,0,0,1
13,27994,255,255,255,1221.397,679.013,0,0,0,1
14,28815,255,255,255,1048.718,740.618,0,0,0,1
15,34421,255,255,255,323.369,761.068,0,0,0,1
16,33148,255,255,255,684.210,766.288,0,0,0,1
17,33349,255,255,255,1388.468,788.056,0,0,0,1
18,33146,255,255,255,877.004,832.407,0,0,0,1
19,36582,255,255,255,502.920,867.120,0,0,0,1
20,37135,255,255,255,1199.926,882.274,0,0,0,1
21,35125,255,255,255,682.573,978.898,0,0,0,1
22,37450,255,255,255,328.095,986.595,0,0,0,1
23,34190,255,255,255,1382.033,998.307,0,0,0,1
24,39407,255,255,255,887.183,1045.490,0,0,0,1
25,36339,255,255,255,1106.420,1073.583,0,0,0,1
26,31378,255,255,255,528.734,1112.818,0,0,0,1
27,34455,255,255,255,718.553,1190.129,0,0,0,1
28,39294,255,255,255,339.135,1201.405,0,0,0,1
29,35624,255,255,255,1383.126,1209.586,0,0,0,1
30,35540,255,255,255,920.026,1257.071,0,0,0,1
31,26955,255,255,255,1187.433,1246.466,0,0,0,1
32,39593,255,255,255,542.710,1401.280,0,0,0,1
33,38924,255,255,255,756.681,1407.068,0,0,0,1
34,39936,255,255,255,1069.521,1411.776,0,0,0,1
35,40126,255,255,255,1306.549,1413.597,0,0,0,1
36,35331,255,255,255,330.728,1414.426,0,0,0,1
37,30753,255,255,255,292.170,368.544,200.221,195.564,75.792,2
38,37379,255,255,255,734.641,381.914,219.063,217.255,117.777,2
39,32176,255,255,255,1184.876,379.972,211.943,193.296,104.236,2
40,49517,255,255,255,963.894,405.648,258.947,243.475,81.527,2
41,41889,255,255,255,1401.617,391.535,235.737,226.247,171.397,2
42,38699,255,255,255,515.664,419.366,228.746,215.405,82.437,2
43,34165,255,255,255,295.682,565.323,214.524,202.775,10.640,2
44,31400,255,255,255,1107.880,568.634,224.271,178.265,27.131,2
45,35208,255,255,255,687.948,582.297,219.422,204.301,148.822,2
46,33067,255,255,255,1417.817,601.107,212.638,197.999,166.421,2
47,37716,255,255,255,896.884,638.952,227.039,211.512,83.646,2
48,35617,255,255,255,488.860,643.583,216.214,209.741,77.901,2
49,28271,255,255,255,1244.273,695.481,193.356,186.164,96.306,2
50,29107,255,255,255,1067.935,761.747,201.917,183.542,108.920,2
51,33170,255,255,255,302.323,761.894,223.565,188.908,9.535,2
52,32904,255,255,255,701.955,784.409,211.814,197.790,172.003,2
53,32652,255,255,255,1417.400,800.990,212.350,195.780,156.304,2
54,37031,255,255,255,492.129,860.118,221.164,213.187,65.893,2
55,33223,255,255,255,897.203,856.867,206.418,204.928,30.947,2
56,37413,255,255,255,1226.823,899.435,219.666,216.856,133.954,2
57,37124,255,255,255,298.222,963.432,220.000,214.854,170.021,2
58,34386,255,255,255,664.612,981.291,213.234,205.322,15.880,2
59,33504,255,255,255,1416.480,1000.192,213.064,200.215,171.209,2
60,36186,255,255,255,1081.317,1063.294,222.568,207.008,49.189,2
61,39634,255,255,255,862.977,1068.590,225.451,223.834,27.604,2
62,31253,255,255,255,483.338,1073.432,208.720,190.650,122.893,2
63,38958,255,255,255,301.198,1176.918,229.704,215.943,169.784,2
64,33451,255,255,255,674.967,1181.007,214.087,198.944,178.019,2
65,35415,255,255,255,1417.923,1203.254,217.859,206.977,166.020,2
66,27425,255,255,255,1214.210,1204.407,191.361,182.475,30.712,2
67,38378,255,255,255,492.568,1292.771,232.133,210.502,93.074,2
68,35555,255,255,255,890.365,1283.177,214.560,210.990,79.682,2
69,39849,255,255,255,1085.042,1371.271,231.787,218.896,79.763,2
70,39492,255,255,255,1312.727,1384.015,237.557,211.666,165.995,2
71,38240,255,255,255,697.229,1383.268,228.928,212.681,174.559,2
72,34824,255,255,255,300.072,1385.987,218.412,203.007,160.475,2
73,30827,255,255,255,330.671,331.523,206.685,189.904,82.015,3
