 ,Area,Mean,Min,Max,XM,YM,Major,Minor,Angle,Slice
1,996,255,255,255,1335.624,198.786,0.000,0.000,0.000,1
2,862,255,255,255,1059.581,198.622,0.000,0.000,0.000,1
3,805,255,255,255,765.230,199.460,0.000,0.000,0.000,1
4,910,255,255,255,906.187,199.951,0.000,0.000,0.000,1
5,860,255,255,255,480.051,201.301,0.000,0.000,0.000,1
6,855,255,255,255,615.238,201.001,0.000,0.000,0.000,1
7,828,255,255,255,1196.687,202.087,0.000,0.000,0.000,1
8,982,255,255,255,530.088,1545.795,0.000,0.000,0.000,1
9,923,255,255,255,672.566,1545.083,0.000,0.000,0.000,1
10,847,255,255,255,1065.573,1544.371,0.000,0.000,0.000,1
11,928,255,255,255,790.970,1547.141,0.000,0.000,0.000,1
12,930,255,255,255,1321.140,1547.194,0.000,0.000,0.000,1
13,872,255,255,255,924.198,1548.151,0.000,0.000,0.000,1
14,923,255,255,255,1185.187,1548.282,0.000,0.000,0.000,1
15,1023,255,255,255,1334.360,238.937,37.825,34.436,81.193,2
16,890,255,255,255,1058.249,238.792,34.286,33.050,84.563,2
17,829,255,255,255,763.660,239.453,33.548,31.463,117.024,2
18,935,255,255,255,904.751,240.091,34.834,34.175,45.710,2
19,865,255,255,255,478.427,241.209,34.846,31.607,120.200,2
20,871,255,255,255,613.919,241.106,33.508,33.096,98.627,2
21,845,255,255,255,1195.211,242.070,33.166,32.440,176.485,2
22,926,255,255,255,672.321,1504.322,35.303,33.397,35.395,2
23,845,255,255,255,1065.575,1503.399,33.490,32.125,30.862,2
24,973,255,255,255,529.746,1505.035,36.197,34.226,19.974,2
25,921,255,255,255,790.717,1506.332,35.107,33.402,60.012,2
26,947,255,255,255,1320.863,1506.427,35.553,33.914,148.302,2
27,868,255,255,255,923.797,1507.272,35.726,30.935,108.870,2
28,918,255,255,255,1184.855,1507.502,35.184,33.221,147.682,2
29,1005,255,255,255,1334.593,188.226,37.365,34.247,83.299,3
30,877,255,255,255,1058.611,188.140,34.262,32.591,86.692,3
31,797,255,255,255,763.910,188.886,33.190,30.575,111.476,3
32,865,255,255,255,478.730,190.649,35.126,31.354,117.209,3
33,921,255,255,255,904.996,189.539,34.587,33.905,4.977,3
34,854,255,255,255,614.158,190.444,33.387,32.568,157.568,3
35,838,255,255,255,1195.458,191.384,33.248,32.091,44.294,3
36,848,255,255,255,1063.947,1554.081,33.396,32.330,40.711,3
37,978,255,255,255,528.227,1555.926,35.789,34.793,15.850,3
38,919,255,255,255,670.661,1555.061,35.095,33.341,41.114,3
39,925,255,255,255,789.106,1557.136,34.765,33.878,54.812,3
40,873,255,255,255,922.251,1558.011,35.757,31.086,104.822,3
41,949,255,255,255,1319.244,1557.175,35.591,33.950,148.904,3
42,926,255,255,255,1183.192,1558.160,35.094,33.596,142.456,3
43,974,255,255,255,1334.476,145.629,36.647,33.840,80.915,4
44,850,255,255,255,1058.253,145.792,34.025,31.808,70.024,4
45,911,255,255,255,904.814,147.350,34.201,33.915,177.103,4
46,782,255,255,255,763.586,146.728,33.040,30.136,119.308,4
47,833,255,255,255,478.604,148.675,34.168,31.041,121.207,4
48,842,255,255,255,613.868,148.315,33.477,32.024,162.260,4
49,797,255,255,255,1195.416,149.082,32.058,31.654,2.360,4
50,926,255,255,255,670.344,1597.340,35.425,33.282,39.692,4
51,846,255,255,255,1063.292,1596.294,33.661,32.000,36.631,4
52,973,255,255,255,527.754,1598.223,36.040,34.374,21.427,4
53,924,255,255,255,788.655,1599.288,35.074,33.543,68.068,4
54,963,255,255,255,1318.704,1599.273,35.958,34.099,153.610,4
55,863,255,255,255,921.829,1600.209,35.622,30.846,106.708,4
56,921,255,255,255,1182.852,1600.551,35.219,33.296,150.027,4
57,1028,255,255,255,1334.628,196.711,38.004,34.441,79.231,5
58,889,255,255,255,1058.614,196.531,34.154,33.141,92.993,5
59,823,255,255,255,764.199,197.399,33.570,31.214,115.047,5
60,937,255,255,255,905.221,197.760,34.568,34.513,177.946,5
61,860,255,255,255,478.827,199.035,35.183,31.122,119.036,5
62,868,255,255,255,614.197,198.627,33.809,32.689,139.215,5
63,836,255,255,255,1195.577,199.835,32.640,32.611,96.017,5
64,924,255,255,255,672.256,1547.438,35.309,33.319,36.543,5
65,868,255,255,255,1065.243,1546.669,34.097,32.412,40.590,5
66,986,255,255,255,529.742,1548.280,36.341,34.546,22.745,5
67,936,255,255,255,790.670,1549.493,35.104,33.949,60.808,5
68,950,255,255,255,1320.452,1549.615,35.694,33.887,150.429,5
69,880,255,255,255,923.803,1550.374,35.846,31.257,103.839,5
70,941,255,255,255,1184.801,1550.808,35.494,33.755,147.523,5
71,1017,255,255,255,1334.185,238.911,37.541,34.493,83.193,6
72,881,255,255,255,1058.373,238.678,33.843,33.144,91.019,6
73,860,255,255,255,478.410,241.364,35.030,31.258,116.701,6
74,816,255,255,255,763.500,239.426,33.728,30.804,120.684,6
75,962,255,255,255,904.471,240.089,35.274,34.724,12.883,6
76,865,255,255,255,613.906,240.965,33.608,32.770,162.552,6
77,853,255,255,255,1195.036,242.010,33.395,32.522,13.471,6
78,975,255,255,255,529.547,1506.008,36.019,34.465,20.913,6
79,926,255,255,255,671.889,1505.211,35.497,33.215,34.978,6
80,844,255,255,255,1065.406,1504.231,33.615,31.968,33.361,6
81,914,255,255,255,790.470,1507.095,34.617,33.617,75.675,6
82,953,255,255,255,1320.644,1507.307,36.063,33.647,146.095,6
83,867,255,255,255,923.627,1507.978,35.896,30.753,109.723,6
84,934,255,255,255,1184.654,1508.392,35.527,33.474,155.089,6
85,1028,255,255,255,1334.328,187.805,38.078,34.374,79.737,7
86,890,255,255,255,1058.554,187.765,34.138,33.195,98.910,7
87,824,255,255,255,763.720,188.727,33.604,31.221,124.423,7
88,949,255,255,255,904.934,189.184,35.052,34.471,97.388,7
89,888,255,255,255,478.586,190.727,35.627,31.735,114.530,7
90,877,255,255,255,614.026,190.436,33.647,33.187,158.357,7
91,849,255,255,255,1195.091,191.423,33.257,32.504,22.039,7
92,998,255,255,255,527.955,1556.300,36.454,34.858,28.027,7
93,931,255,255,255,670.350,1555.568,35.391,33.494,45.713,7
94,865,255,255,255,1063.654,1554.616,33.620,32.759,40.181,7
95,938,255,255,255,788.842,1557.485,35.189,33.939,57.204,7
96,962,255,255,255,1318.926,1557.504,36.272,33.769,154.315,7
