 ,Area,Mean,Min,Max,XM,YM,Major,Minor,Angle,Slice
1,1012,255,255,255,210.992,422.995,0.000,0.000,0.000,1
2,1211,255,255,255,207.886,546.681,0.000,0.000,0.000,1
3,1030,255,255,255,1533.471,561.417,0.000,0.000,0.000,1
4,1027,255,255,255,211.470,668.776,0.000,0.000,0.000,1
5,1058,255,255,255,1534.147,688.061,0.000,0.000,0.000,1
6,1027,255,255,255,206.059,801.010,0.000,0.000,0.000,1
7,1046,255,255,255,1535.862,812.565,0.000,0.000,0.000,1
8,1060,255,255,255,209.560,913.669,0.000,0.000,0.000,1
9,1269,255,255,255,1532.721,923.699,0.000,0.000,0.000,1
10,869,255,255,255,209.678,1047.114,0.000,0.000,0.000,1
11,1063,255,255,255,1535.780,1051.394,0.000,0.000,0.000,1
12,1011,255,255,255,1533.615,1167.552,0.000,0.000,0.000,1
13,1160,255,255,255,209.184,1172.630,0.000,0.000,0.000,1
14,1008,255,255,255,1537.599,1302.656,0.000,0.000,0.000,1
15,1000,255,255,255,167.087,422.727,39.830,31.967,14.918,2
16,1225,255,255,255,163.990,546.471,41.552,37.537,4.460,2
17,1054,255,255,255,1575.252,561.214,40.999,32.732,44.321,2
18,1014,255,255,255,168.155,668.479,38.241,33.761,84.880,2
19,1061,255,255,255,1576.051,687.750,38.983,34.654,42.669,2
20,1013,255,255,255,162.462,800.618,38.929,33.132,42.427,2
21,1061,255,255,255,1577.807,812.425,38.623,34.976,59.728,2
22,1058,255,255,255,166.167,913.213,38.607,34.892,171.154,2
23,1266,255,255,255,1574.908,923.475,42.516,37.913,174.195,2
24,879,255,255,255,165.919,1046.827,34.925,32.045,36.450,2
25,1045,255,255,255,1577.927,1051.447,38.191,34.839,73.584,2
26,1039,255,255,255,1575.905,1167.492,37.578,35.204,45.890,2
27,1168,255,255,255,165.487,1172.399,45.787,32.480,56.650,2
28,1018,255,255,255,1579.972,1302.696,37.010,35.022,86.628,2
29,1025,255,255,255,217.676,424.687,40.350,32.344,13.298,3
30,1228,255,255,255,214.160,547.995,41.835,37.374,7.795,3
31,1036,255,255,255,1526.790,562.380,40.138,32.864,46.160,3
32,1004,255,255,255,218.332,670.391,37.773,33.843,80.930,3
33,1037,255,255,255,1527.514,689.155,38.374,34.407,32.605,3
34,1034,255,255,255,212.322,802.519,39.403,33.412,43.387,3
35,1061,255,255,255,1528.910,813.732,38.688,34.918,59.152,3
36,1049,255,255,255,215.871,915.129,38.700,34.512,172.706,3
37,1273,255,255,255,1525.799,924.945,42.542,38.099,170.000,3
38,885,255,255,255,215.402,1048.683,35.132,32.074,39.583,3
39,1051,255,255,255,1528.882,1052.635,37.958,35.254,75.556,3
40,1033,255,255,255,1526.503,1168.564,37.729,34.860,30.167,3
41,1153,255,255,255,214.933,1174.228,45.344,32.376,56.866,3
42,1023,255,255,255,1530.570,1303.975,36.995,35.208,80.898,3
43,1011,255,255,255,260.416,424.647,40.555,31.741,14.832,4
44,1215,255,255,255,256.908,548.076,41.706,37.093,8.310,4
45,1016,255,255,255,1484.569,562.335,39.881,32.437,45.178,4
46,1016,255,255,255,260.659,670.254,38.349,33.732,80.187,4
47,1026,255,255,255,1484.939,688.648,38.283,34.123,35.266,4
48,1024,255,255,255,254.996,802.283,39.752,32.798,45.199,4
49,1046,255,255,255,1486.849,813.291,38.458,34.630,64.570,4
50,1057,255,255,255,258.386,915.006,38.828,34.661,172.811,4
51,1265,255,255,255,1483.756,924.701,42.274,38.100,173.926,4
52,869,255,255,255,258.085,1048.667,35.039,31.578,31.912,4
53,1045,255,255,255,1486.522,1052.392,37.949,35.062,75.879,4
54,1013,255,255,255,1484.206,1168.385,37.111,34.755,30.464,4
55,1156,255,255,255,257.233,1174.163,46.083,31.939,55.856,4
56,999,255,255,255,1488.239,1303.774,36.241,35.097,71.640,4
57,1013,255,255,255,211.318,422.937,40.220,32.068,13.053,5
58,1191,255,255,255,207.768,546.401,40.842,37.129,7.645,5
59,1036,255,255,255,1532.507,561.360,40.169,32.838,46.031,5
60,999,255,255,255,211.968,668.719,37.889,33.571,85.761,5
61,1036,255,255,255,1533.198,687.815,38.629,34.147,33.768,5
62,1011,255,255,255,206.492,800.952,39.060,32.956,43.395,5
63,1056,255,255,255,1534.920,812.489,38.498,34.925,67.781,5
64,1038,255,255,255,209.994,913.443,38.284,34.522,174.988,5
65,1254,255,255,255,1531.927,923.722,42.133,37.895,171.224,5
66,879,255,255,255,209.839,1046.980,35.377,31.636,33.624,5
67,1048,255,255,255,1534.767,1051.698,38.012,35.103,73.814,5
68,1033,255,255,255,1532.774,1167.676,37.471,35.100,33.530,5
69,1162,255,255,255,209.223,1172.485,46.116,32.082,55.889,5
70,1003,255,255,255,1536.973,1302.847,36.419,35.066,74.692,5
71,1007,255,255,255,168.150,422.358,40.077,31.993,12.460,6
72,1180,255,255,255,164.868,545.999,41.203,36.464,8.376,6
73,1031,255,255,255,1574.818,561.119,40.227,32.633,45.303,6
74,1015,255,255,255,168.852,668.458,38.520,33.549,82.476,6
75,1056,255,255,255,1575.657,687.851,38.752,34.696,36.533,6
76,988,255,255,255,163.492,800.517,38.990,32.263,44.902,6
77,1040,255,255,255,1577.138,812.176,37.799,35.032,61.965,6
