 ,Area,Mean,Min,Max,XM,YM,Major,Minor,Angle,Slice
1,1075,255,255,255,199.436,419.705,0.000,0.000,0.000,1
2,1258,255,255,255,196.335,543.464,0.000,0.000,0.000,1
3,1090,255,255,255,1521.189,557.904,0.000,0.000,0.000,1
4,1062,255,255,255,199.927,665.292,0.000,0.000,0.000,1
5,1132,255,255,255,1521.868,684.436,0.000,0.000,0.000,1
6,1076,255,255,255,194.636,797.758,0.000,0.000,0.000,1
7,1135,255,255,255,1523.440,808.907,0.000,0.000,0.000,1
8,1122,255,255,255,198.014,910.473,0.000,0.000,0.000,1
9,1355,255,255,255,1520.457,920.133,0.000,0.000,0.000,1
10,969,255,255,255,197.793,1043.811,0.000,0.000,0.000,1
11,1148,255,255,255,1523.200,1047.819,0.000,0.000,0.000,1
12,1100,255,255,255,1521.270,1163.939,0.000,0.000,0.000,1
13,1257,255,255,255,197.301,1169.382,0.000,0.000,0.000,1
14,1104,255,255,255,1525.371,1298.958,0.000,0.000,0.000,1
15,1072,255,255,255,185.426,419.605,41.525,32.870,14.212,2
16,1255,255,255,255,181.929,543.230,42.191,37.873,6.543,2
17,1087,255,255,255,1535.545,557.368,41.237,33.563,47.254,2
18,1059,255,255,255,185.997,665.340,39.022,34.554,81.880,2
19,1099,255,255,255,1536.017,683.825,39.518,35.409,32.162,2
20,1069,255,255,255,180.350,797.540,40.409,33.683,41.942,2
21,1122,255,255,255,1537.619,808.730,39.696,35.988,59.773,2
22,1115,255,255,255,183.922,910.373,39.740,35.724,170.545,2
23,1348,255,255,255,1534.770,920.018,44.197,38.834,175.107,2
24,946,255,255,255,183.707,1043.735,35.902,33.549,25.145,2
25,1128,255,255,255,1537.449,1047.730,39.456,36.400,75.235,2
26,1103,255,255,255,1535.665,1163.452,38.385,36.587,34.554,2
27,1244,255,255,255,183.178,1169.150,47.424,33.399,56.653,2
28,1079,255,255,255,1539.585,1298.950,37.334,36.798,87.771,2
29,1060,255,255,255,207.484,421.347,41.062,32.868,12.523,3
30,1256,255,255,255,203.608,544.838,41.725,38.327,13.921,3
31,1090,255,255,255,1514.070,559.110,41.509,33.434,45.447,3
32,1059,255,255,255,207.392,667.216,39.140,34.449,81.484,3
33,1104,255,255,255,1514.851,685.967,39.380,35.694,33.195,3
34,1070,255,255,255,201.904,799.102,40.000,34.059,40.366,3
35,1121,255,255,255,1516.262,810.251,39.814,35.849,60.893,3
36,1106,255,255,255,205.242,911.830,39.578,35.581,172.223,3
37,1335,255,255,255,1512.989,921.690,44.142,38.507,172.628,3
38,978,255,255,255,204.719,1045.214,37.359,33.331,31.518,3
39,1121,255,255,255,1515.731,1049.157,39.356,36.266,71.505,3
40,1097,255,255,255,1513.702,1165.318,38.609,36.177,44.506,3
41,1249,255,255,255,204.466,1170.564,46.781,33.994,55.795,3
42,1094,255,255,255,1517.637,1299.888,38.080,36.579,77.261,3
43,1064,255,255,255,220.813,421.153,41.122,32.944,14.092,4
44,1270,255,255,255,217.306,544.403,42.529,38.021,9.440,4
45,1084,255,255,255,1500.315,558.816,41.088,33.591,43.854,4
46,1058,255,255,255,220.964,666.798,38.931,34.601,78.512,4
47,1087,255,255,255,1500.896,685.372,39.584,34.964,30.740,4
48,1071,255,255,255,215.248,798.911,40.035,34.061,41.094,4
49,1105,255,255,255,1502.581,810.105,39.387,35.720,63.843,4
50,1113,255,255,255,218.682,911.396,39.947,35.475,175.154,4
51,1343,255,255,255,1499.514,921.248,44.231,38.660,171.422,4
52,956,255,255,255,218.219,1044.779,36.831,33.049,28.301,4
53,1128,255,255,255,1502.218,1048.899,39.067,36.763,72.722,4
54,1091,255,255,255,1500.089,1164.992,38.300,36.269,26.187,4
55,1236,255,255,255,217.758,1170.323,46.889,33.562,53.866,4
56,1102,255,255,255,1504.113,1300.247,38.355,36.582,82.224,4
57,1057,255,255,255,198.350,419.433,41.126,32.724,12.757,5
58,1281,255,255,255,194.751,543.350,42.589,38.297,9.530,5
59,1098,255,255,255,1521.697,558.105,41.464,33.717,44.875,5
60,1043,255,255,255,198.905,665.781,38.154,34.806,81.983,5
61,1102,255,255,255,1522.431,684.633,39.649,35.388,30.226,5
62,1070,255,255,255,193.367,797.524,40.442,33.687,43.534,5
63,1101,255,255,255,1524.291,809.026,39.403,35.577,63.912,5
64,1133,255,255,255,197.129,910.057,40.401,35.707,172.858,5
65,1335,255,255,255,1521.043,920.160,43.942,38.682,174.296,5
66,961,255,255,255,196.719,1043.476,36.800,33.250,26.451,5
67,1134,255,255,255,1523.935,1047.913,39.682,36.386,70.063,5
68,1107,255,255,255,1521.935,1163.898,38.874,36.258,51.424,5
69,1234,255,255,255,196.100,1169.102,46.916,33.489,55.181,5
70,1089,255,255,255,1526.033,1298.828,38.077,36.414,90.026,5
71,1067,255,255,255,169.730,419.258,41.202,32.972,12.771,6
72,1266,255,255,255,166.355,542.698,42.591,37.846,8.516,6
73,1080,255,255,255,1550.680,557.233,41.183,33.390,44.686,6
74,1041,255,255,255,170.590,665.082,38.589,34.348,80.783,6
75,1096,255,255,255,1551.171,684.024,39.460,35.364,36.732,6
76,1085,255,255,255,164.995,797.239,40.452,34.151,44.012,6
77,1100,255,255,255,1552.685,808.431,38.976,35.934,63.095,6
78,1124,255,255,255,168.625,909.919,39.881,35.885,167.657,6
79,1340,255,255,255,1549.746,919.933,44.114,38.675,175.262,6
80,957,255,255,255,168.227,1043.198,36.636,33.259,28.418,6
81,1112,255,255,255,1552.708,1047.531,39.104,36.207,73.372,6
82,1104,255,255,255,1550.835,1163.574,38.983,36.059,38.040,6
83,1240,255,255,255,167.606,1168.904,47.678,33.114,56.342,6
84,1103,255,255,255,1554.779,1298.388,38.639,36.347,88.786,6
85,1053,255,255,255,206.663,421.288,41.110,32.613,13.575,7
86,1247,255,255,255,202.988,544.852,42.134,37.683,9.187,7
87,1079,255,255,255,1514.336,559.230,41.120,33.410,44.729,7
88,1052,255,255,255,206.820,666.788,38.758,34.559,84.649,7
89,1086,255,255,255,1515.122,685.437,39.346,35.143,33.799,7
90,1045,255,255,255,201.000,799.134,39.703,33.512,42.836,7
91,1111,255,255,255,1516.476,810.477,39.728,35.606,65.039,7
92,1105,255,255,255,204.555,911.790,39.564,35.561,176.977,7
93,1328,255,255,255,1513.278,921.579,43.489,38.880,172.334,7
94,935,255,255,255,204.227,1045.136,36.094,32.983,32.014,7
95,1118,255,255,255,1516.256,1049.106,38.951,36.546,68.691,7
96,1092,255,255,255,1514.003,1165.430,38.538,36.079,38.842,7
97,1231,255,255,255,203.737,1170.550,47.007,33.343,56.753,7
98,1075,255,255,255,1517.912,1300.509,38.078,35.945,88.242,7
99,1074,255,255,255,234.867,420.696,41.180,33.207,14.209,8
100,1270,255,255,255,231.238,544.227,42.398,38.139,7.205,8
101,1092,255,255,255,1485.740,558.776,41.487,33.514,44.168,8
102,1068,255,255,255,235.022,666.365,39.126,34.755,82.367,8
103,1094,255,255,255,1486.230,684.980,39.401,35.353,34.688,8
104,1074,255,255,255,229.733,798.760,40.333,33.904,44.388,8
105,1102,255,255,255,1487.950,809.865,39.409,35.604,65.303,8
106,1128,255,255,255,232.786,911.207,39.939,35.960,170.228,8
107,1341,255,255,255,1484.846,921.154,43.800,38.982,175.130,8
108,941,255,255,255,232.416,1044.560,36.724,32.625,25.894,8
109,1138,255,255,255,1487.689,1048.674,39.630,36.562,68.167,8
110,1081,255,255,255,1485.380,1164.652,38.456,35.791,37.678,8
111,1245,255,255,255,232.073,1169.998,47.226,33.566,55.095,8
112,1083,255,255,255,1489.337,1300.005,38.011,36.276,80.299,8
113,1079,255,255,255,198.552,419.369,41.286,33.276,12.621,9
114,1276,255,255,255,195.165,543.168,42.107,38.584,13.790,9
115,1108,255,255,255,1521.393,557.756,41.581,33.928,44.690,9
116,1058,255,255,255,199.234,665.549,38.937,34.597,86.388,9
117,1093,255,255,255,1522.040,684.731,39.475,35.254,36.147,9
118,1061,255,255,255,193.662,797.377,40.319,33.506,46.843,9
119,1104,255,255,255,1523.710,808.975,39.057,35.990,63.026,9
120,1115,255,255,255,196.913,909.885,39.699,35.761,173.243,9
121,1349,255,255,255,1520.814,920.344,43.731,39.276,175.203,9
122,947,255,255,255,196.653,1043.403,36.516,33.020,25.126,9
123,1129,255,255,255,1523.539,1048.029,39.088,36.776,67.187,9
124,1114,255,255,255,1521.478,1164.006,38.895,36.467,36.070,9
125,1253,255,255,255,196.507,1168.812,46.823,34.072,54.666,9
126,1080,255,255,255,1525.610,1298.867,37.845,36.335,84.403,9
127,1064,255,255,255,156.089,419.330,41.309,32.795,15.348,10
128,1256,255,255,255,152.843,542.914,42.381,37.733,7.248,10
129,1080,255,255,255,1563.705,557.132,41.164,33.405,46.053,10
130,1070,255,255,255,156.913,665.162,39.207,34.748,79.447,10
131,1088,255,255,255,1564.439,683.909,39.186,35.351,37.908,10
132,1079,255,255,255,151.463,797.307,40.179,34.192,41.414,10
133,1106,255,255,255,1565.980,808.561,38.978,36.128,57.822,10
134,1122,255,255,255,154.935,909.896,40.194,35.542,174.787,10
135,1315,255,255,255,1563.146,919.851,43.433,38.549,173.675,10
136,952,255,255,255,154.659,1043.154,36.384,33.315,23.255,10
137,1104,255,255,255,1565.820,1047.439,39.001,36.042,68.056,10
138,1098,255,255,255,1563.978,1163.431,38.716,36.109,34.515,10
139,1233,255,255,255,154.274,1169.010,46.830,33.523,56.021,10
140,1097,255,255,255,1568.342,1298.613,38.468,36.310,80.156,10
141,1064,255,255,255,205.932,421.240,41.480,32.660,14.107,11
142,1250,255,255,255,202.275,544.926,42.162,37.748,7.173,11
143,1066,255,255,255,1515.358,559.131,40.943,33.150,42.520,11
144,1052,255,255,255,206.352,666.972,38.688,34.622,75.254,11
145,1073,255,255,255,1515.916,685.511,39.139,34.906,34.489,11
146,1064,255,255,255,200.353,799.216,39.899,33.954,45.961,11
147,1103,255,255,255,1517.456,810.255,39.095,35.922,60.353,11
148,1102,255,255,255,203.876,911.828,39.720,35.325,171.414,11
149,1332,255,255,255,1514.344,921.398,44.001,38.543,174.027,11
150,937,255,255,255,203.327,1045.045,36.025,33.117,26.732,11
151,1113,255,255,255,1517.004,1049.193,39.192,36.159,71.622,11
152,1079,255,255,255,1515.147,1165.430,38.446,35.734,28.144,11
153,1225,255,255,255,203.031,1170.631,46.955,33.217,56.899,11
154,1067,255,255,255,1519.036,1300.357,37.697,36.038,85.694,11
155,1082,255,255,255,247.860,420.817,41.271,33.381,12.616,12
156,1262,255,255,255,244.265,544.158,42.486,37.820,7.507,12
157,1069,255,255,255,1472.499,558.484,40.733,33.415,45.948,12
158,1053,255,255,255,248.264,666.374,38.949,34.423,85.051,12
159,1093,255,255,255,1473.162,684.895,39.291,35.419,33.212,12
160,1074,255,255,255,242.429,798.537,40.362,33.880,40.161,12
161,1091,255,255,255,1474.760,809.311,39.032,35.589,63.108,12
162,1089,255,255,255,245.764,911.099,39.216,35.357,172.407,12
163,1334,255,255,255,1471.705,920.798,43.927,38.667,173.833,12
164,947,255,255,255,245.232,1044.812,35.914,33.574,34.248,12
165,1095,255,255,255,1474.636,1048.480,38.527,36.187,69.479,12
166,1103,255,255,255,1472.589,1164.419,38.824,36.173,41.919,12
167,1232,255,255,255,244.839,1170.237,46.447,33.773,56.183,12
168,1086,255,255,255,1476.427,1299.530,37.934,36.451,87.680,12
169,1048,255,255,255,198.441,420.150,40.532,32.921,16.330,13
170,1240,255,255,255,194.726,543.738,42.188,37.424,8.725,13
171,1068,255,255,255,1521.978,558.204,40.885,33.259,42.690,13
172,1047,255,255,255,198.705,665.900,38.480,34.644,81.190,13
173,1084,255,255,255,1522.467,684.724,39.276,35.141,33.549,13
174,1062,255,255,255,193.266,797.457,40.202,33.635,46.333,13
175,1081,255,255,255,1524.204,809.073,38.850,35.428,66.815,13
176,1095,255,255,255,196.727,910.163,39.438,35.352,169.370,13
177,1325,255,255,255,1521.029,920.434,43.751,38.560,172.629,13
178,947,255,255,255,196.391,1043.743,36.176,33.331,22.753,13
179,1104,255,255,255,1524.209,1048.052,38.790,36.237,75.185,13
180,1090,255,255,255,1522.089,1163.971,38.345,36.194,34.647,13
181,1222,255,255,255,195.938,1169.079,47.008,33.099,55.630,13
182,1073,255,255,255,1526.110,1298.908,37.746,36.195,95.391,13
183,1071,255,255,255,141.287,419.083,41.386,32.949,12.542,14
184,1264,255,255,255,138.071,542.820,42.974,37.450,8.156,14
185,1074,255,255,255,1578.635,557.222,41.009,33.346,42.760,14
186,1030,255,255,255,142.031,665.038,38.166,34.362,79.995,14
187,1064,255,255,255,1579.194,683.711,39.155,34.599,31.369,14
188,1076,255,255,255,136.729,797.366,40.153,34.120,40.332,14
189,1079,255,255,255,1580.696,808.456,38.922,35.297,58.484,14
190,1097,255,255,255,140.094,910.000,39.784,35.108,171.378,14
191,1313,255,255,255,1577.872,919.850,43.285,38.622,171.712,14
192,935,255,255,255,140.205,1043.205,36.499,32.617,28.840,14
193,1096,255,255,255,1580.956,1047.616,38.457,36.286,73.858,14
194,1095,255,255,255,1579.087,1163.279,38.594,36.125,22.617,14
195,1243,255,255,255,139.600,1168.902,47.159,33.560,54.015,14
196,1095,255,255,255,1583.037,1298.849,38.215,36.483,92.087,14
197,1054,255,255,255,206.410,421.152,40.824,32.873,11.559,15
198,1268,255,255,255,202.745,544.480,42.936,37.602,11.284,15
199,1086,255,255,255,1514.698,558.859,41.201,33.561,45.779,15
200,1049,255,255,255,206.837,666.798,39.263,34.017,80.098,15
201,1084,255,255,255,1515.173,685.526,39.357,35.069,34.974,15
202,1058,255,255,255,201.135,799.226,39.797,33.849,41.316,15
203,1111,255,255,255,1516.664,810.342,39.683,35.647,65.082,15
204,1108,255,255,255,204.356,911.593,39.316,35.882,178.791,15
205,1324,255,255,255,1513.461,921.482,43.786,38.501,174.148,15
206,937,255,255,255,204.039,1045.051,36.272,32.891,27.217,15
207,1122,255,255,255,1516.371,1049.200,39.272,36.376,72.634,15
208,1094,255,255,255,1514.411,1165.147,38.516,36.165,32.641,15
209,1229,255,255,255,203.622,1170.524,47.114,33.213,55.223,15
