 ,Area,Mean,Min,Max,XM,YM,Major,Minor,Angle,Slice
1,1023,255,255,255,1311.610,186.160,0.000,0.000,0.000,1
2,877,255,255,255,1035.599,186.190,0.000,0.000,0.000,1
3,803,255,255,255,741.034,186.707,0.000,0.000,0.000,1
4,929,255,255,255,881.969,187.334,0.000,0.000,0.000,1
5,855,255,255,255,455.918,188.569,0.000,0.000,0.000,1
6,856,255,255,255,591.183,188.266,0.000,0.000,0.000,1
7,832,255,255,255,1172.553,189.365,0.000,0.000,0.000,1
8,910,255,255,255,648.811,1535.495,0.000,0.000,0.000,1
9,841,255,255,255,1041.726,1534.702,0.000,0.000,0.000,1
10,952,255,255,255,506.313,1536.078,0.000,0.000,0.000,1
11,923,255,255,255,767.149,1537.410,0.000,0.000,0.000,1
12,867,255,255,255,900.257,1538.364,0.000,0.000,0.000,1
13,921,255,255,255,1161.209,1538.613,0.000,0.000,0.000,1
14,935,255,255,255,1297.153,1537.690,0.000,0.000,0.000,1
15,1016,255,255,255,1311.589,199.253,37.398,34.591,81.531,2
16,877,255,255,255,1035.747,199.270,34.296,32.559,90.476,2
17,858,255,255,255,455.695,201.610,34.926,31.279,116.720,2
18,799,255,255,255,740.893,200.216,33.590,30.286,114.032,2
19,926,255,255,255,881.815,200.731,34.589,34.087,78.324,2
20,850,255,255,255,591.065,201.560,33.384,32.419,164.505,2
21,832,255,255,255,1172.258,202.382,32.809,32.288,30.641,2
22,903,255,255,255,648.718,1522.325,35.179,32.682,40.696,2
23,853,255,255,255,1041.955,1521.546,33.770,32.161,36.170,2
24,962,255,255,255,506.146,1523.172,35.907,34.112,26.464,2
25,925,255,255,255,767.079,1524.322,34.789,33.854,60.398,2
26,941,255,255,255,1297.117,1524.391,35.467,33.781,149.441,2
27,871,255,255,255,900.351,1525.272,35.877,30.911,105.582,2
28,921,255,255,255,1161.286,1525.559,35.125,33.385,148.161,2
29,1010,255,255,255,1311.338,176.038,37.482,34.309,82.830,3
30,860,255,255,255,1035.678,176.190,34.028,32.179,90.500,3
31,798,255,255,255,740.650,176.982,33.197,30.606,118.602,3
32,909,255,255,255,881.828,177.568,34.137,33.904,8.431,3
33,844,255,255,255,455.526,178.903,34.525,31.125,117.705,3
34,859,255,255,255,590.753,178.534,33.229,32.914,154.583,3
35,831,255,255,255,1172.303,179.567,32.881,32.179,21.364,3
36,905,255,255,255,646.991,1546.359,35.051,32.875,38.785,3
37,846,255,255,255,1040.372,1545.196,33.566,32.090,33.509,3
38,957,255,255,255,504.515,1547.160,35.668,34.162,24.049,3
39,916,255,255,255,765.477,1548.296,34.738,33.574,69.776,3
40,931,255,255,255,1295.636,1548.042,35.589,33.307,154.971,3
41,868,255,255,255,898.698,1549.176,35.695,30.961,105.815,3
42,920,255,255,255,1159.770,1549.271,35.166,33.310,144.000,3
43,991,255,255,255,1311.293,163.096,37.014,34.089,81.493,4
44,851,255,255,255,1035.400,162.985,33.343,32.496,86.261,4
45,790,255,255,255,740.681,164.018,33.259,30.243,122.590,4
46,905,255,255,255,881.880,164.490,34.131,33.760,58.356,4
47,833,255,255,255,455.517,165.883,34.230,30.984,120.177,4
48,832,255,255,255,590.925,165.572,32.831,32.266,179.179,4
49,812,255,255,255,1172.400,166.531,32.268,32.040,51.946,4
