 ,Area,Mean,Min,Max,XM,YM,Major,Minor,Angle,Slice
1,38653,255,255,255,545.583,340.810,0,0,0,1
2,37903,255,255,255,331.962,337.053,0,0,0,1
3,39244,255,255,255,948.051,342.205,0,0,0,1
4,31463,255,255,255,745.489,345.124,0,0,0,1
5,39580,255,255,255,1168.032,341.519,0,0,0,1
6,42567,255,255,255,1382.770,356.295,0,0,0,1
7,40783,255,255,255,424.717,536.045,0,0,0,1
8,37169,255,255,255,652.844,533.242,0,0,0,1
9,27643,255,255,255,854.927,523.693,0,0,0,1
10,39253,255,255,255,1154.166,556.387,0,0,0,1
11,37297,255,255,255,1384.603,585.622,0,0,0,1
12,37774,255,255,255,969.947,686.372,0,0,0,1
13,35350,255,255,255,549.386,718.666,0,0,0,1
14,29983,255,255,255,755.713,710.730,0,0,0,1
15,35904,255,255,255,331.041,732.184,0,0,0,1
16,36025,255,255,255,1246.086,748.339,0,0,0,1
17,33158,255,255,255,1077.523,868.162,0,0,0,1
18,41331,255,255,255,862.942,886.795,0,0,0,1
19,31645,255,255,255,448.330,898.835,0,0,0,1
20,34226,255,255,255,1390.505,901.083,0,0,0,1
21,32990,255,255,255,647.820,903.867,0,0,0,1
22,33448,255,255,255,1222.268,1018.051,0,0,0,1
23,28107,255,255,255,318.797,1034.484,0,0,0,1
24,45142,255,255,255,1007.198,1075.657,0,0,0,1
25,38598,255,255,255,751.531,1086.723,0,0,0,1
26,41870,255,255,255,523.651,1100.047,0,0,0,1
27,40312,255,255,255,1386.447,1159.154,0,0,0,1
28,26807,255,255,255,1184.889,1207.442,0,0,0,1
29,28719,255,255,255,333.718,1217.905,0,0,0,1
30,36926,255,255,255,882.559,1252.135,0,0,0,1
31,37375,255,255,255,534.579,1323.368,0,0,0,1
32,38483,255,255,255,1388.227,1390.456,0,0,0,1
33,36847,255,255,255,731.990,1401.121,0,0,0,1
34,35287,255,255,255,1177.192,1401.184,0,0,0,1
35,35366,255,255,255,339.012,1407.667,0,0,0,1
36,26940,255,255,255,983.511,1416.424,0,0,0,1
37,38126,255,255,255,280.611,389.445,228.196,212.727,50.251,2
38,39218,255,255,255,500.873,395.238,234.713,212.745,80.573,2
39,40026,255,255,255,1219.040,398.616,230.514,221.083,72.878,2
40,34389,255,255,255,741.120,377.790,230.552,189.915,176.897,2
41,39199,255,255,255,992.439,397.577,226.363,220.485,99.423,2
42,42587,255,255,255,1435.614,411.898,243.931,222.291,102.142,2
43,27485,255,255,255,848.831,541.562,187.794,186.348,138.607,2
44,37104,255,255,255,648.488,559.085,222.203,212.609,149.379,2
45,40906,255,255,255,372.350,586.633,233.751,222.815,179.415,2
46,38117,255,255,255,1115.852,587.278,233.642,207.720,161.799,2
47,37517,255,255,255,1439.565,643.044,223.234,213.982,141.223,2
48,36558,255,255,255,940.458,716.031,221.905,209.761,43.657,2
49,35017,255,255,255,536.217,734.295,216.967,205.493,123.162,2
50,36227,255,255,255,1254.920,752.940,216.602,212.951,54.366,2
51,29743,255,255,255,739.113,744.853,197.366,191.877,52.325,2
52,36054,255,255,255,275.823,780.774,221.403,207.339,10.396,2
53,34020,255,255,255,1443.108,857.997,214.420,202.012,162.759,2
54,33504,255,255,255,1078.701,869.184,210.951,202.220,96.056,2
55,31605,255,255,255,438.551,911.075,203.859,197.395,128.359,2
56,33111,255,255,255,639.998,921.204,207.304,203.364,60.485,2
