 ,Area,Mean,Min,Max,XM,YM,Major,Minor,Angle,Slice
1,1015,255,255,255,207.815,416.150,0.000,0.000,0.000,1
2,1199,255,255,255,204.380,540.276,0.000,0.000,0.000,1
3,1021,255,255,255,1538.316,554.505,0.000,0.000,0.000,1
4,1003,255,255,255,208.387,662.324,0.000,0.000,0.000,1
5,1020,255,255,255,1539.088,681.033,0.000,0.000,0.000,1
6,1030,255,255,255,202.917,794.160,0.000,0.000,0.000,1
7,1026,255,255,255,1540.287,805.246,0.000,0.000,0.000,1
8,1065,255,255,255,206.046,906.666,0.000,0.000,0.000,1
9,1238,255,255,255,1537.376,916.487,0.000,0.000,0.000,1
10,896,255,255,255,205.952,1040.244,0.000,0.000,0.000,1
11,1044,255,255,255,1540.200,1044.240,0.000,0.000,0.000,1
12,1022,255,255,255,1538.051,1160.270,0.000,0.000,0.000,1
13,1175,255,255,255,205.326,1165.526,0.000,0.000,0.000,1
14,1014,255,255,255,1542.072,1294.969,0.000,0.000,0.000,1
15,995,255,255,255,167.004,415.368,40.121,31.577,12.559,2
16,1190,255,255,255,163.382,538.807,41.328,36.662,3.608,2
17,988,255,255,255,1577.382,553.523,39.656,31.722,45.597,2
18,993,255,255,255,167.454,661.228,37.826,33.425,81.440,2
19,1000,255,255,255,1578.301,680.097,37.914,33.583,34.227,2
20,1010,255,255,255,162.012,793.470,39.289,32.731,40.013,2
21,1020,255,255,255,1579.975,804.624,37.716,34.434,68.278,2
22,1056,255,255,255,165.188,905.967,38.698,34.745,173.593,2
23,1238,255,255,255,1576.838,916.073,42.379,37.195,175.134,2
24,912,255,255,255,165.305,1039.413,36.155,32.117,22.482,2
25,1051,255,255,255,1579.829,1043.644,37.961,35.251,70.903,2
26,1031,255,255,255,1577.922,1159.882,37.408,35.091,36.192,2
27,1170,255,255,255,164.718,1164.963,45.487,32.750,55.304,2
28,1015,255,255,255,1581.897,1294.858,36.484,35.422,73.710,2
29,997,255,255,255,219.450,416.197,40.303,31.497,14.071,3
30,1175,255,255,255,215.830,539.940,40.985,36.503,8.517,3
