 ,Area,Mean,Min,Max,XM,YM,Major,Minor,Angle,Slice
1,1033,255,255,255,1297.429,186.041,0.000,0.000,0.000,1
2,879,255,255,255,1020.784,187.080,0.000,0.000,0.000,1
3,926,255,255,255,866.657,189.219,0.000,0.000,0.000,1
4,819,255,255,255,1158.268,189.423,0.000,0.000,0.000,1
5,847,255,255,255,724.962,189.526,0.000,0.000,0.000,1
6,884,255,255,255,438.923,193.497,0.000,0.000,0.000,1
7,855,255,255,255,574.362,191.608,0.000,0.000,0.000,1
8,1049,255,255,255,482.048,1545.599,0.000,0.000,0.000,1
9,974,255,255,255,625.162,1545.059,0.000,0.000,0.000,1
10,905,255,255,255,1019.470,1544.962,0.000,0.000,0.000,1
11,1004,255,255,255,743.504,1547.442,0.000,0.000,0.000,1
12,1027,255,255,255,1275.280,1548.619,0.000,0.000,0.000,1
13,929,255,255,255,877.351,1548.637,0.000,0.000,0.000,1
14,1001,255,255,255,1138.807,1549.448,0.000,0.000,0.000,1
15,878,255,255,255,424.990,197.649,35.337,31.635,118.602,2
16,838,255,255,255,711.268,198.296,34.213,31.186,116.109,2
17,847,255,255,255,560.822,198.004,33.212,32.471,14.190,2
18,895,255,255,255,852.974,199.388,34.086,33.432,102.578,2
19,998,255,255,255,1283.552,202.124,37.262,34.102,81.803,2
20,843,255,255,255,1006.754,200.123,33.156,32.372,179.922,2
21,759,255,255,255,1144.127,203.284,31.487,30.692,170.590,2
22,1033,255,255,255,502.400,1533.684,37.133,35.420,22.279,2
23,974,255,255,255,645.641,1535.298,36.040,34.410,35.980,2
24,973,255,255,255,764.038,1539.256,35.920,34.490,59.770,2
25,935,255,255,255,897.828,1542.313,37.338,31.884,106.370,2
26,914,255,255,255,1039.786,1540.726,34.682,33.554,28.316,2
27,1002,255,255,255,1159.180,1546.998,36.711,34.752,143.951,2
28,1014,255,255,255,1295.341,1547.955,37.184,34.721,143.608,2
29,879,255,255,255,423.937,207.611,35.554,31.478,117.290,3
30,844,255,255,255,559.621,208.161,33.297,32.274,170.193,3
31,855,255,255,255,710.175,208.612,34.313,31.726,109.292,3
32,926,255,255,255,851.364,209.896,34.686,33.991,140.656,3
33,839,255,255,255,1005.817,210.334,33.718,31.682,82.607,3
34,1028,255,255,255,1282.387,212.653,37.405,34.993,80.887,3
35,815,255,255,255,1143.069,214.532,32.847,31.592,75.831,3
36,1054,255,255,255,502.610,1523.072,37.310,35.969,33.890,3
37,994,255,255,255,645.723,1524.817,36.466,34.707,31.961,3
38,983,255,255,255,764.100,1528.609,35.849,34.913,63.349,3
39,917,255,255,255,1039.634,1530.106,34.738,33.611,34.350,3
40,936,255,255,255,897.830,1531.818,37.174,32.059,105.540,3
41,1011,255,255,255,1159.404,1536.365,37.124,34.674,139.232,3
42,1031,255,255,255,1295.668,1537.669,37.203,35.285,145.981,3
43,1014,255,255,255,1292.180,199.552,37.337,34.578,68.984,4
44,858,255,255,255,1015.223,200.761,33.514,32.597,101.142,4
45,924,255,255,255,861.659,202.588,34.535,34.066,90.280,4
46,857,255,255,255,719.791,202.896,34.422,31.699,121.925,4
47,807,255,255,255,1152.842,203.210,32.551,31.566,20.437,4
48,871,255,255,255,433.723,206.237,35.253,31.458,116.519,4
49,844,255,255,255,569.899,205.037,33.524,32.055,11.236,4
50,1055,255,255,255,479.230,1529.960,37.700,35.630,34.917,4
51,991,255,255,255,622.320,1529.559,36.270,34.788,40.666,4
52,923,255,255,255,1016.628,1529.620,35.012,33.566,20.876,4
53,999,255,255,255,740.704,1531.768,35.924,35.407,66.149,4
54,937,255,255,255,874.359,1533.312,36.935,32.301,104.941,4
55,1032,255,255,255,1272.265,1533.391,37.283,35.244,147.144,4
56,1016,255,255,255,1136.147,1534.252,37.114,34.855,147.841,4
57,1048,255,255,255,1309.039,183.812,38.314,34.827,88.503,5
58,885,255,255,255,1032.499,189.773,33.916,33.224,85.254,5
59,843,255,255,255,1169.461,189.668,33.829,31.728,34.825,5
60,944,255,255,255,878.953,193.290,35.437,33.918,122.487,5
61,844,255,255,255,737.313,196.111,34.006,31.601,113.041,5
62,836,255,255,255,586.810,200.586,32.704,32.548,20.432,5
63,896,255,255,255,451.107,203.842,35.602,32.044,118.166,5
64,1031,255,255,255,1254.110,1534.296,37.079,35.403,149.191,5
65,922,255,255,255,998.295,1534.434,34.736,33.795,29.355,5
66,1007,255,255,255,1117.857,1536.989,36.782,34.858,133.232,5
67,1005,255,255,255,722.652,1541.000,36.540,35.019,83.280,5
68,947,255,255,255,856.363,1540.064,37.582,32.084,107.926,5
69,987,255,255,255,604.075,1540.337,36.558,34.375,32.301,5
70,1056,255,255,255,461.000,1542.902,37.267,36.078,35.639,5
71,1026,255,255,255,1312.686,160.928,38.284,34.123,82.647,6
72,851,255,255,255,1035.749,166.814,33.307,32.531,87.232,6
73,817,255,255,255,1173.150,167.020,33.254,31.281,71.049,6
74,951,255,255,255,882.040,171.037,34.843,34.752,148.820,6
75,827,255,255,255,740.413,174.115,33.527,31.406,127.406,6
76,854,255,255,255,590.126,178.289,33.398,32.557,115.214,6
77,903,255,255,255,454.323,181.666,35.342,32.532,124.108,6
78,1030,255,255,255,1252.690,1558.917,37.117,35.333,149.521,6
79,929,255,255,255,996.823,1559.173,35.523,33.298,43.228,6
80,1011,255,255,255,1116.409,1562.080,36.692,35.082,136.838,6
81,954,255,255,255,854.840,1565.152,37.542,32.355,106.193,6
82,993,255,255,255,602.478,1565.731,36.228,34.899,41.632,6
83,992,255,255,255,721.182,1565.995,36.115,34.974,77.335,6
84,1067,255,255,255,459.596,1568.244,37.607,36.124,37.439,6
85,1016,255,255,255,1313.439,150.783,38.002,34.041,84.259,7
86,840,255,255,255,1036.667,156.624,33.583,31.847,90.169,7
87,811,255,255,255,1174.628,156.580,32.953,31.335,76.475,7
88,876,255,255,255,882.985,161.059,33.976,32.828,105.103,7
89,843,255,255,255,741.358,163.469,34.429,31.175,119.931,7
90,834,255,255,255,590.965,168.010,32.632,32.541,90.420,7
91,893,255,255,255,455.099,171.546,35.449,32.074,119.551,7
92,1031,255,255,255,1252.633,1569.168,37.368,35.129,153.455,7
93,921,255,255,255,996.963,1569.625,34.904,33.596,44.710,7
94,1010,255,255,255,1116.351,1572.384,36.701,35.040,136.690,7
95,944,255,255,255,854.818,1575.391,37.480,32.069,107.259,7
96,986,255,255,255,602.645,1575.911,36.487,34.407,38.236,7
97,975,255,255,255,721.390,1576.319,36.274,34.223,82.442,7
98,1058,255,255,255,459.432,1578.480,37.516,35.907,36.884,7
99,1010,255,255,255,1301.347,164.386,37.506,34.287,84.555,8
100,869,255,255,255,1024.666,166.585,33.841,32.695,90.879,8
101,896,255,255,255,870.912,168.743,34.355,33.207,103.168,8
102,844,255,255,255,729.047,169.764,34.133,31.483,111.863,8
103,761,255,255,255,1162.009,168.842,31.525,30.736,24.100,8
104,882,255,255,255,442.918,173.398,34.961,32.121,120.248,8
105,826,255,255,255,579.042,171.623,33.140,31.735,130.743,8
106,1069,255,255,255,481.516,1571.081,37.503,36.292,30.339,8
107,991,255,255,255,624.240,1570.655,36.454,34.613,38.733,8
108,927,255,255,255,1018.818,1569.708,35.136,33.592,12.199,8
109,1004,255,255,255,742.998,1572.761,36.800,34.738,83.083,8
110,1042,255,255,255,1274.504,1572.949,37.390,35.483,146.154,8
111,950,255,255,255,876.860,1573.619,37.422,32.323,107.328,8
112,1018,255,255,255,1138.070,1574.140,37.005,35.026,144.234,8
113,1019,255,255,255,1298.782,184.794,37.518,34.581,79.139,9
114,850,255,255,255,1022.096,186.734,33.113,32.684,116.179,9
115,840,255,255,255,726.410,189.426,33.624,31.809,110.510,9
116,916,255,255,255,867.972,188.725,34.194,34.108,74.996,9
117,828,255,255,255,1159.324,189.030,32.817,32.125,160.911,9
118,897,255,255,255,440.402,192.827,35.701,31.991,119.982,9
119,823,255,255,255,576.115,191.231,32.650,32.095,175.876,9
120,988,255,255,255,625.379,1547.411,36.512,34.453,44.235,9
121,924,255,255,255,1019.554,1546.702,35.064,33.553,22.487,9
122,1057,255,255,255,482.180,1548.148,37.513,35.876,41.768,9
123,1007,255,255,255,743.651,1549.610,36.504,35.123,72.272,9
124,1037,255,255,255,1275.327,1550.305,37.148,35.543,152.348,9
