 ,Area,Mean,Min,Max,XM,YM,Major,Minor,Angle,Slice
1,1019,255.000,255,255,1286.065,186.840,0.000,0.000,0.000,1
2,852,255.000,255,255,1009.282,188.594,0.000,0.000,0.000,1
3,839,255.000,255,255,713.819,190.958,0.000,0.000,0.000,1
4,906,255.000,255,255,855.564,190.474,0.000,0.000,0.000,1
5,805,255.000,255,255,1146.389,190.777,0.000,0.000,0.000,1
6,877,255.000,255,255,427.256,194.620,0.000,0.000,0.000,1
7,846,255.000,255,255,563.267,193.351,0.000,0.000,0.000,1
8,1049,255.000,255,255,469.591,1546.670,0.000,0.000,0.000,1
9,989,255.000,255,255,612.972,1546.057,0.000,0.000,0.000,1
10,911,255.000,255,255,1007.120,1545.757,0.000,0.000,0.000,1
11,993,255.000,255,255,731.423,1548.382,0.000,0.000,0.000,1
12,1017,255.000,255,255,1262.949,1549.181,0.000,0.000,0.000,1
13,922,255.000,255,255,865.189,1549.471,0.000,0.000,0.000,1
14,1010,255.000,255,255,1126.844,1550.110,0.000,0.000,0.000,1
15,864,255.000,255,255,411.780,198.110,35.772,30.752,116.677,2
16,857,255.000,255,255,547.368,198.808,33.253,32.814,149.429,2
17,841,255.000,255,255,697.687,199.159,33.925,31.563,117.697,2
18,893,255.000,255,255,839.329,200.283,34.111,33.332,74.869,2
19,991,255.000,255,255,1270.251,202.940,36.998,34.104,81.067,2
20,821,255.000,255,255,993.712,200.740,32.846,31.825,94.316,2
21,751,254.321,0,255,1131.172,204.551,32.037,29.847,8.214,2
22,1065,255.000,255,255,490.457,1533.485,37.416,36.241,44.254,2
23,992,255.000,255,255,633.501,1535.115,36.135,34.954,34.491,2
24,1001,255.000,255,255,752.178,1539.074,36.419,34.996,72.916,2
25,915,255.000,255,255,1027.844,1540.676,34.814,33.464,28.185,2
26,918,255.000,255,255,885.856,1542.094,36.873,31.699,104.259,2
27,993,255.000,255,255,1147.342,1547.053,36.415,34.720,144.143,2
28,1026,255.000,255,255,1283.498,1548.007,37.275,35.046,148.494,2
29,857,255.000,255,255,410.171,208.314,34.870,31.293,121.215,3
30,818,255.000,255,255,546.188,209.018,32.733,31.819,86.660,3
31,814,255.000,255,255,697.082,209.494,33.620,30.827,105.527,3
32,1018,255.000,255,255,1268.972,213.966,37.452,34.609,70.480,3
33,895,255.000,255,255,837.725,210.889,34.253,33.269,30.490,3
34,866,255.000,255,255,992.379,211.475,34.743,31.736,101.361,3
35,779,250.417,0,255,1129.998,215.092,32.611,30.415,162.383,3
36,1045,255.000,255,255,490.362,1522.689,37.097,35.867,27.922,3
37,975,255.000,255,255,633.401,1524.438,36.096,34.392,33.595,3
38,972,255.000,255,255,751.748,1528.470,35.864,34.508,61.754,3
39,919,255.000,255,255,1027.697,1530.094,34.993,33.438,15.456,3
40,930,255.000,255,255,885.690,1531.597,36.798,32.179,106.796,3
41,1008,255.000,255,255,1147.117,1536.381,36.787,34.888,144.514,3
42,1032,255.000,255,255,1283.386,1537.313,37.393,35.140,149.055,3
43,1004,255.000,255,255,1280.911,198.702,37.302,34.269,85.182,4
44,854,255.000,255,255,1004.248,200.102,34.199,31.795,104.450,4
45,908,255.000,255,255,849.990,201.563,34.280,33.726,139.141,4
46,836,255.000,255,255,708.440,202.446,33.684,31.600,115.020,4
47,782,243.261,0,255,1141.543,202.154,31.979,31.135,61.522,4
48,885,255.000,255,255,422.219,205.618,35.564,31.684,115.969,4
49,827,255.000,255,255,558.198,204.257,32.766,32.136,27.331,4
50,1043,255.000,255,255,467.759,1531.298,37.025,35.868,33.690,4
51,965,255.000,255,255,610.647,1530.783,36.029,34.102,47.539,4
52,907,255.000,255,255,1005.144,1530.761,34.739,33.243,32.679,4
