 ,Area,Mean,Min,Max,XM,YM,Major,Minor,Angle,Slice
1,36010,255,255,255,523.411,348.677,0,0,0,1
2,28176,255,255,255,329.641,334.019,0,0,0,1
3,37660,255,255,255,923.205,352.697,0,0,0,1
4,35592,255,255,255,1128.669,346.379,0,0,0,1
5,31835,255,255,255,724.294,344.904,0,0,0,1
6,33007,255,255,255,1334.414,340.515,0,0,0,1
7,29518,255,255,255,1232.470,520.556,0,0,0,1
8,25454,255,255,255,631.935,516.957,0,0,0,1
9,28809,255,255,255,334.887,528.135,0,0,0,1
10,34662,255,255,255,1025.241,545.486,0,0,0,1
11,27616,255,255,255,822.202,533.134,0,0,0,1
12,33177,255,255,255,488.064,651.214,0,0,0,1
13,25742,255,255,255,1344.653,667.163,0,0,0,1
14,36549,255,255,255,700.380,695.944,0,0,0,1
15,33019,255,255,255,1153.649,710.875,0,0,0,1
16,35383,255,255,255,954.660,751.338,0,0,0,1
17,29846,255,255,255,339.758,791.056,0,0,0,1
18,34484,255,255,255,532.255,851.273,0,0,0,1
19,30537,255,255,255,1332.027,848.733,0,0,0,1
20,33928,255,255,255,791.607,881.203,0,0,0,1
21,33858,255,255,255,1135.270,921.189,0,0,0,1
22,36357,255,255,255,354.744,994.968,0,0,0,1
23,40750,255,255,255,947.497,1031.535,0,0,0,1
24,33533,255,255,255,636.749,1019.940,0,0,0,1
25,35310,255,255,255,1323.881,1041.544,0,0,0,1
26,32603,255,255,255,1135.697,1144.612,0,0,0,1
27,37728,255,255,255,754.382,1197.580,0,0,0,1
28,33255,255,255,255,543.685,1201.342,0,0,0,1
29,36445,255,255,255,348.236,1218.626,0,0,0,1
30,34134,255,255,255,1326.583,1239.739,0,0,0,1
31,32039,255,255,255,955.574,1245.320,0,0,0,1
32,26426,255,255,255,1158.170,1344.306,0,0,0,1
33,36577,255,255,255,796.717,1412.208,0,0,0,1
34,35570,255,255,255,576.904,1413.706,0,0,0,1
35,27062,255,255,255,372.477,1424.164,0,0,0,1
36,25238,255,255,255,997.921,1432.940,0,0,0,1
37,28435,255,255,255,1336.928,1430.995,0,0,0,1
38,27604,255,255,255,315.091,340.664,194.312,180.877,59.716,2
39,35698,255,255,255,507.791,364.495,223.328,203.522,84.951,2
40,31170,255,255,255,710.424,361.462,210.880,188.196,112.828,2
41,37079,255,255,255,909.070,382.556,232.884,202.721,96.539,2
42,35141,255,255,255,1110.298,385.141,222.481,201.109,82.460,2
43,32559,255,255,255,1313.987,388.888,210.002,197.405,110.182,2
44,24533,255,255,255,622.703,524.510,180.561,172.996,166.076,2
45,28202,255,255,255,325.794,531.517,200.207,179.354,52.405,2
46,26859,255,255,255,807.236,552.440,197.221,173.399,134.780,2
47,28746,255,255,255,1207.818,558.182,199.789,183.196,24.300,2
48,34307,255,255,255,1004.387,581.494,216.414,201.840,51.339,2
49,32478,255,255,255,479.261,646.926,206.519,200.235,117.714,2
50,25105,255,255,255,1339.491,683.979,181.753,175.869,21.189,2
51,35335,255,255,255,684.842,703.059,225.388,199.611,9.976,2
52,32172,255,255,255,1160.565,749.865,207.847,197.080,108.649,2
53,34894,255,255,255,969.994,795.218,226.067,196.527,111.784,2
54,29395,255,255,255,338.545,785.377,195.446,191.495,6.065,2
55,30190,255,255,255,526.834,840.794,209.550,183.437,16.083,2
56,32962,255,255,255,789.160,877.382,208.284,201.497,99.163,2
57,30104,255,255,255,1330.246,863.861,210.439,182.141,0.825,2
