 ,Area,Mean,Min,Max,XM,YM,Major,Minor,Angle,Slice
1,908,255,255,255,211.037,404.426,0.000,0.000,0.000,1
2,1072,255,255,255,208.700,528.838,0.000,0.000,0.000,1
3,922,255,255,255,1486.054,549.456,0.000,0.000,0.000,1
4,898,255,255,255,214.090,652.030,0.000,0.000,0.000,1
5,919,255,255,255,1486.445,676.601,0.000,0.000,0.000,1
6,903,255,255,255,210.073,784.279,0.000,0.000,0.000,1
7,949,255,255,255,1487.831,800.955,0.000,0.000,0.000,1
8,988,255,255,255,215.118,897.506,0.000,0.000,0.000,1
9,1156,255,255,255,1484.779,912.498,0.000,0.000,0.000,1
10,850,255,255,255,216.375,1031.907,0.000,0.000,0.000,1
11,974,255,255,255,1487.088,1041.500,0.000,0.000,0.000,1
12,1097,255,255,255,217.361,1157.832,0.000,0.000,0.000,1
13,934,255,255,255,1485.175,1157.968,0.000,0.000,0.000,1
14,931,255,255,255,1488.838,1293.356,0.000,0.000,0.000,1
15,912,255,255,255,190.783,346.456,39.445,29.438,16.439,2
16,1127,255,255,255,194.187,470.976,40.262,35.640,12.236,2
17,919,255,255,255,205.564,593.295,37.014,31.612,80.064,2
18,923,255,255,255,1464.495,607.477,38.560,30.477,47.741,2
19,918,255,255,255,207.578,725.868,37.124,31.485,41.718,2
20,936,255,255,255,1471.340,734.334,36.997,32.212,27.605,2
21,996,255,255,255,217.497,838.602,38.247,33.157,175.748,2
22,963,255,255,255,1478.535,859.025,37.322,32.853,49.064,2
23,1177,255,255,255,1480.626,970.608,40.782,36.747,1.225,2
24,879,255,255,255,225.346,972.954,35.520,31.509,28.268,2
25,1105,255,255,255,231.903,1098.667,44.622,31.530,56.871,2
26,980,255,255,255,1489.300,1098.757,36.551,34.138,65.859,2
27,951,255,255,255,1492.729,1215.255,36.610,33.074,29.587,2
28,957,255,255,255,1502.939,1350.068,35.160,34.656,85.679,2
29,918,255,255,255,202.546,398.620,38.899,30.048,16.002,3
30,1110,255,255,255,200.276,523.099,40.343,35.032,6.194,3
31,904,255,255,255,1482.085,548.737,38.529,29.873,42.910,3
32,905,255,255,255,206.109,645.510,35.794,32.192,73.592,3
33,930,255,255,255,1482.411,675.698,36.622,32.333,26.970,3
34,928,255,255,255,202.029,778.018,37.750,31.300,42.070,3
35,952,255,255,255,1483.962,800.103,36.428,33.275,52.238,3
36,994,255,255,255,207.257,890.651,38.182,33.146,172.458,3
37,1198,255,255,255,1480.769,911.950,42.098,36.233,172.613,3
38,836,255,255,255,208.823,1025.344,34.361,30.978,38.851,3
39,969,255,255,255,1483.665,1040.463,36.317,33.972,72.565,3
40,1099,255,255,255,210.121,1151.221,44.102,31.728,53.812,3
41,956,255,255,255,1481.933,1157.099,36.250,33.579,35.997,3
42,929,255,255,255,1485.753,1292.495,34.749,34.039,80.907,3
43,907,255,255,255,225.206,453.077,38.847,29.728,10.526,4
44,941,255,255,255,1502.329,494.914,38.388,31.211,37.352,4
45,1130,255,255,255,216.894,576.698,41.308,34.830,3.234,4
46,953,254.732,0,255,1497.262,621.690,37.592,32.278,33.045,4
47,931,255,255,255,217.175,699.230,35.724,33.182,64.340,4
48,984,255,255,255,1492.880,746.402,37.324,33.567,59.271,4
49,940,255,255,255,207.229,831.687,38.025,31.475,32.801,4
50,1197,255,255,255,1484.458,857.791,41.821,36.442,175.363,4
51,1006,255,255,255,207.071,945.162,38.341,33.408,176.013,4
52,988,255,255,255,1481.548,986.151,37.008,33.992,77.088,4
53,861,255,255,255,202.261,1079.301,35.214,31.131,19.056,4
54,956,255,255,255,1473.919,1102.652,36.095,33.723,36.217,4
55,1101,255,255,255,197.584,1204.917,44.046,31.826,54.557,4
56,934,255,255,255,1471.755,1237.995,35.263,33.724,76.918,4
57,912,255,255,255,210.832,404.769,39.048,29.738,13.711,5
58,1126,255,255,255,208.567,528.898,40.201,35.662,9.283,5
59,928,255,255,255,1485.986,548.928,38.715,30.520,41.782,5
60,933,255,255,255,214.329,652.155,36.276,32.747,70.253,5
61,963,255,255,255,1486.016,676.960,37.786,32.449,30.074,5
62,941,255,255,255,210.087,784.268,37.934,31.584,37.507,5
63,979,255,255,255,1487.544,801.244,37.323,33.398,62.909,5
64,1007,255,255,255,214.575,897.697,38.458,33.339,170.813,5
65,1176,255,255,255,1484.336,912.609,41.038,36.487,173.478,5
66,883,255,255,255,215.984,1031.980,35.476,31.691,31.912,5
67,989,255,255,255,1486.962,1041.374,36.418,34.577,62.017,5
68,1120,255,255,255,217.112,1157.971,45.440,31.383,53.902,5
69,966,255,255,255,1484.709,1157.735,36.451,33.742,29.646,5
70,949,255,255,255,1488.453,1293.131,35.292,34.238,77.745,5
71,895,255,255,255,177.957,401.003,39.422,28.906,15.371,6
72,1136,255,255,255,176.151,525.614,40.824,35.431,8.491,6
73,914,255,255,255,1513.391,549.113,38.779,30.010,41.861,6
74,912,255,255,255,181.660,648.772,36.038,32.222,73.309,6
75,960,255,255,255,1514.373,676.146,37.725,32.401,32.760,6
76,946,255,255,255,177.762,781.043,38.313,31.438,35.139,6
77,944,255,255,255,1515.414,801.296,36.483,32.945,61.996,6
78,992,255,255,255,182.493,893.978,38.192,33.071,170.863,6
79,1167,255,255,255,1512.409,912.562,40.876,36.351,173.988,6
80,868,255,255,255,184.128,1028.440,35.160,31.432,34.103,6
81,993,255,255,255,1515.279,1041.390,37.070,34.107,66.719,6
82,1119,255,255,255,185.244,1154.473,44.964,31.686,53.521,6
83,948,255,255,255,1513.308,1157.921,35.962,33.564,36.963,6
84,956,255,255,255,1517.436,1292.828,35.812,33.989,71.646,6
85,911,255,255,255,219.545,402.312,39.595,29.295,14.913,7
86,1143,255,255,255,217.413,526.357,41.109,35.402,2.438,7
87,895,255,255,255,1473.921,549.630,37.633,30.281,43.675,7
88,922,255,255,255,222.871,648.687,36.030,32.582,80.959,7
89,951,255,255,255,1473.870,677.079,37.374,32.398,24.739,7
90,946,255,255,255,218.667,781.301,38.324,31.429,40.060,7
91,985,255,255,255,1474.794,801.536,37.756,33.217,59.608,7
92,1008,255,255,255,223.582,894.669,38.151,33.640,171.274,7
93,1178,255,255,255,1471.885,913.593,41.607,36.048,174.278,7
94,867,255,255,255,224.897,1028.981,34.845,31.680,24.982,7
95,988,255,255,255,1474.489,1041.938,36.741,34.238,75.503,7
96,1116,255,255,255,225.858,1154.556,44.659,31.817,54.703,7
97,958,255,255,255,1472.344,1158.499,36.414,33.497,39.655,7
98,949,255,255,255,1475.968,1293.512,35.328,34.202,91.649,7
99,926,255,255,255,250.932,401.752,39.854,29.584,14.040,8
100,1127,255,255,255,248.756,525.904,40.717,35.242,11.352,8
101,916,255,255,255,1439.715,549.760,38.178,30.549,39.960,8
102,911,255,255,255,254.313,648.478,35.975,32.242,89.122,8
103,932,255,255,255,1440.235,676.973,36.930,32.133,26.465,8
104,927,255,255,255,250.112,780.896,38.004,31.057,38.458,8
105,957,255,255,255,1441.408,801.422,36.983,32.947,60.238,8
106,992,255,255,255,255.266,893.964,38.366,32.921,175.985,8
107,1171,255,255,255,1438.519,912.790,41.233,36.159,176.743,8
108,848,255,255,255,256.265,1028.505,34.424,31.365,18.164,8
109,977,255,255,255,1441.098,1041.672,36.983,33.636,84.841,8
110,1128,255,255,255,258.002,1154.277,44.707,32.125,51.956,8
111,957,255,255,255,1438.987,1158.287,35.659,34.170,39.111,8
112,951,255,255,255,1443.233,1293.217,35.103,34.494,69.708,8
113,920,255,255,255,212.122,401.887,39.137,29.930,10.086,9
114,1130,255,255,255,210.228,525.900,40.793,35.270,10.731,9
115,924,255,255,255,1479.971,549.948,38.255,30.753,41.787,9
116,920,255,255,255,215.627,648.758,36.277,32.290,71.773,9
117,948,255,255,255,1480.424,676.607,36.617,32.964,37.536,9
118,943,255,255,255,211.871,781.119,37.677,31.867,38.561,9
119,990,255,255,255,1481.720,801.351,37.058,34.014,59.120,9
120,996,255,255,255,216.370,894.117,38.202,33.196,170.329,9
121,1182,255,255,255,1478.669,912.943,42.057,35.784,0.529,9
122,867,255,255,255,217.859,1028.841,35.324,31.251,23.079,9
123,980,255,255,255,1481.748,1041.343,36.823,33.886,71.922,9
124,1089,255,255,255,219.060,1154.626,43.940,31.555,56.038,9
125,959,255,255,255,1479.563,1157.963,36.087,33.836,26.255,9
126,937,255,255,255,1483.455,1293.402,35.242,33.853,89.765,9
127,957,255,255,255,193.739,347.427,39.009,31.236,16.708,10
128,1123,255,255,255,197.365,471.861,40.354,35.433,14.019,10
129,911,255,255,255,208.520,594.032,35.638,32.548,78.737,10
130,942,255,255,255,1463.847,607.195,39.112,30.666,41.357,10
131,958,255,255,255,210.768,726.205,39.029,31.252,37.963,10
132,964,255,255,255,1470.026,733.658,37.360,32.853,31.875,10
133,993,255,255,255,220.553,839.211,37.968,33.300,176.188,10
134,964,255,255,255,1477.239,857.763,36.347,33.769,56.869,10
135,1196,255,255,255,1479.050,969.894,42.191,36.093,1.163,10
136,864,255,255,255,228.203,973.441,35.224,31.231,23.681,10
137,1128,255,255,255,234.892,1099.593,44.445,32.314,58.187,10
138,986,255,255,255,1488.057,1097.883,36.616,34.286,68.292,10
139,967,255,255,255,1491.286,1213.976,36.585,33.653,44.414,10
140,963,255,255,255,1501.484,1348.901,35.683,34.362,69.491,10
141,902,255,255,255,202.961,398.366,39.089,29.380,11.223,11
142,1136,255,255,255,200.953,522.353,40.884,35.379,7.949,11
143,925,255,255,255,1479.527,548.609,38.161,30.862,43.107,11
144,918,255,255,255,206.796,644.999,36.024,32.446,79.989,11
145,945,255,255,255,1480.409,675.207,36.524,32.943,34.630,11
146,943,255,255,255,203.300,777.243,38.023,31.578,36.456,11
147,979,255,255,255,1481.940,799.756,36.809,33.864,61.459,11
148,1020,255,255,255,208.272,890.600,38.630,33.619,166.162,11
149,1171,255,255,255,1479.056,912.069,41.578,35.859,170.555,11
150,842,255,255,255,209.372,1024.920,34.197,31.350,20.105,11
151,986,255,255,255,1481.760,1040.040,36.632,34.271,73.338,11
