 ,Area,Mean,Min,Max,XM,YM,Major,Minor,Angle,Slice
1,35179,255,255,255,541.826,348.593,0,0,0,1
2,36764,255,255,255,335.678,356.636,0,0,0,1
3,33728,255,255,255,750.954,342.368,0,0,0,1
4,34283,255,255,255,1081.273,345.639,0,0,0,1
5,36593,255,255,255,1370.041,375.767,0,0,0,1
6,31441,255,255,255,900.572,461.726,0,0,0,1
7,32459,255,255,255,1201.995,514.184,0,0,0,1
8,32943,255,255,255,662.403,528.453,0,0,0,1
9,28739,255,255,255,339.701,565.024,0,0,0,1
10,33374,255,255,255,1380.260,612.514,0,0,0,1
11,34728,255,255,255,1019.413,618.328,0,0,0,1
12,32713,255,255,255,819.089,663.477,0,0,0,1
13,33798,255,255,255,519.263,669.203,0,0,0,1
14,35461,255,255,255,1201.815,727.776,0,0,0,1
15,32779,255,255,255,342.436,765.178,0,0,0,1
16,25648,255,255,255,681.645,796.130,0,0,0,1
17,33692,255,255,255,960.424,818.476,0,0,0,1
18,27960,255,255,255,1384.547,814.001,0,0,0,1
19,25631,255,255,255,514.294,864.535,0,0,0,1
20,37192,255,255,255,1141.012,937.134,0,0,0,1
21,32846,255,255,255,349.462,973.747,0,0,0,1
22,36254,255,255,255,719.352,996.087,0,0,0,1
23,35284,255,255,255,1351.788,1007.750,0,0,0,1
24,38405,255,255,255,937.236,1029.453,0,0,0,1
25,25631,255,255,255,527.934,1045.784,0,0,0,1
26,30493,255,255,255,1191.457,1137.953,0,0,0,1
27,35940,255,255,255,362.789,1186.271,0,0,0,1
28,33138,255,255,255,803.237,1194.076,0,0,0,1
29,33939,255,255,255,1378.498,1216.356,0,0,0,1
30,34736,255,255,255,598.436,1228.504,0,0,0,1
31,37426,255,255,255,1013.587,1240.493,0,0,0,1
32,36662,255,255,255,760.773,1407.911,0,0,0,1
33,34556,255,255,255,354.459,1407.316,0,0,0,1
34,37397,255,255,255,1153.078,1410.655,0,0,0,1
35,35451,255,255,255,1371.849,1422.536,0,0,0,1
36,31533,255,255,255,553.863,1425.746,0,0,0,1
37,25974,255,255,255,954.163,1432.649,0,0,0,1
38,36544,255,255,255,320.007,355.614,229.719,202.549,101.827,2
39,34971,255,255,255,522.674,366.866,226.761,196.359,95.402,2
40,33293,255,255,255,725.935,363.545,210.151,201.712,62.810,2
41,33805,255,255,255,1046.826,380.607,212.025,203.004,79.899,2
42,36775,255,255,255,1352.148,398.960,220.184,212.656,94.502,2
43,30248,255,255,255,868.928,488.347,221.670,173.740,62.522,2
44,31446,255,255,255,1189.501,525.339,201.572,198.630,121.874,2
45,32334,255,255,255,682.881,562.113,210.197,195.859,128.534,2
46,28300,255,255,255,330.519,558.528,198.537,181.491,9.257,2
47,33953,255,255,255,1012.190,617.207,212.017,203.900,122.781,2
48,32887,255,255,255,1368.634,617.416,211.051,198.403,77.816,2
49,33222,255,255,255,510.016,649.664,214.378,197.313,123.184,2
50,31918,255,255,255,832.869,705.082,215.184,188.858,99.023,2
51,35019,255,255,255,1194.013,733.416,215.141,207.248,99.140,2
52,32128,255,255,255,341.102,753.705,208.794,195.919,111.226,2
53,25506,255,255,255,670.065,778.678,194.851,166.667,113.488,2
54,32607,255,255,255,1002.133,819.370,210.391,197.331,7.811,2
55,27976,255,255,255,1378.674,817.200,192.754,184.795,171.234,2
56,24707,255,255,255,511.120,842.551,178.472,176.263,127.350,2
57,36517,255,255,255,1171.305,945.058,225.105,206.547,16.967,2
58,32088,255,255,255,358.894,958.023,203.070,201.190,50.328,2
59,36320,255,255,255,743.357,974.669,222.301,208.025,80.657,2
60,37911,255,255,255,960.899,1019.437,230.857,209.089,152.729,2
61,34998,255,255,255,1378.408,1012.838,214.564,207.681,3.217,2
62,25536,255,255,255,548.393,1014.742,183.734,176.960,179.678,2
63,30009,255,255,255,1214.751,1142.109,200.208,190.845,107.617,2
64,35141,255,255,255,410.958,1156.101,216.033,207.111,166.689,2
65,32458,255,255,255,824.670,1174.086,205.565,201.040,135.039,2
66,34018,255,255,255,621.931,1192.640,209.480,206.764,136.592,2
67,36940,255,255,255,1032.488,1227.015,222.081,211.785,145.248,2
68,33187,255,255,255,1393.672,1221.155,213.663,197.764,44.414,2
69,34021,255,255,255,381.868,1364.380,223.433,193.870,99.732,2
70,35770,255,255,255,784.455,1382.209,227.950,199.797,109.420,2
71,37365,255,255,255,1175.255,1396.101,225.660,210.825,65.198,2
72,31211,255,255,255,578.905,1387.301,203.322,195.449,178.413,2
73,25660,255,255,255,976.013,1414.180,184.025,177.537,121.186,2
74,35200,255,255,255,1393.252,1422.342,223.094,200.893,1.002,2
75,37060,255,255,255,332.976,357.984,230.665,204.566,98.346,3
76,35237,255,255,255,537.608,354.542,227.475,197.231,97.032,3
77,33551,255,255,255,742.539,345.619,211.403,202.071,71.227,3
78,34502,255,255,255,1059.611,349.675,215.423,203.921,85.209,3
79,36843,255,255,255,1378.207,368.511,219.130,214.073,25.795,3
80,31057,255,255,255,883.242,475.124,224.912,175.816,50.140,3
81,32695,255,255,255,1205.124,500.163,206.394,201.695,32.438,3
82,33260,255,255,255,681.500,544.009,210.803,200.888,147.093,3
83,28643,255,255,255,336.112,566.348,197.991,184.198,11.696,3
84,33482,255,255,255,1387.082,595.664,211.175,201.873,76.081,3
85,34743,255,255,255,1024.444,609.871,211.594,209.062,125.876,3
86,33969,255,255,255,516.160,662.842,214.666,201.479,124.175,3
87,32731,255,255,255,833.116,687.974,214.909,193.916,91.534,3
88,35492,255,255,255,1209.234,714.054,218.157,207.143,82.551,3
89,32955,255,255,255,340.025,766.034,209.816,199.983,109.510,3
90,25884,255,255,255,675.952,790.641,193.126,170.648,119.221,3
91,28132,255,255,255,1391.721,798.756,192.090,186.468,172.458,3
92,33395,255,255,255,995.287,817.611,210.328,202.160,15.976,3
93,25667,255,255,255,511.156,861.243,181.653,179.905,82.128,3
94,36703,255,255,255,1172.701,930.522,226.042,206.739,31.806,3
95,33094,255,255,255,347.248,975.605,208.141,202.443,50.461,3
96,36446,255,255,255,723.289,992.312,221.750,209.265,73.171,3
97,35409,255,255,255,1380.493,996.265,216.012,208.711,6.753,3
98,38578,255,255,255,943.245,1024.553,229.311,214.203,155.341,3
99,25852,255,255,255,529.887,1042.602,182.370,180.489,4.017,3
100,30613,255,255,255,1198.378,1137.349,202.526,192.458,107.377,3
101,35809,255,255,255,389.751,1185.300,215.954,211.126,147.338,3
102,33148,255,255,255,807.367,1189.717,206.954,203.936,97.892,3
103,33867,255,255,255,1385.267,1210.075,214.349,201.171,53.075,3
104,34461,255,255,255,603.021,1224.540,210.529,208.414,134.260,3
105,37563,255,255,255,1017.353,1235.500,222.805,214.657,138.583,3
106,36722,255,255,255,762.331,1403.664,232.232,201.332,107.687,3
107,35039,255,255,255,351.993,1402.564,229.159,194.681,95.818,3
108,37679,255,255,255,1157.012,1406.555,226.640,211.677,64.720,3
109,35729,255,255,255,1376.733,1418.181,222.833,204.151,170.279,3
110,31858,255,255,255,553.786,1421.598,206.262,196.657,0.646,3
111,26124,255,255,255,956.778,1428.414,186.715,178.144,103.663,3
112,34180,255,255,255,1099.900,318.754,213.750,203.599,94.586,4
113,33853,255,255,255,762.022,331.294,213.101,202.266,84.887,4
114,34935,255,255,255,557.687,347.136,224.145,198.445,95.844,4
115,36676,255,255,255,354.048,362.258,228.885,204.021,95.025,4
116,36539,255,255,255,1399.098,374.464,217.882,213.524,22.796,4
117,33536,255,255,255,918.620,445.805,239.539,178.257,45.560,4
118,32675,255,255,255,1216.784,492.647,207.336,200.655,26.289,4
119,33271,255,255,255,671.672,530.159,210.347,201.391,154.345,4
120,28680,255,255,255,348.188,571.240,197.582,184.817,11.358,4
121,33695,255,255,255,1397.093,592.778,211.754,202.602,74.444,4
122,34752,255,255,255,1023.304,612.965,211.713,208.998,142.036,4
123,32976,255,255,255,825.067,672.473,215.072,195.220,92.089,4
124,34070,255,255,255,524.778,674.299,214.363,202.363,118.644,4
125,35544,255,255,255,1214.023,706.318,218.623,207.005,77.570,4
126,32784,255,255,255,345.457,772.079,209.533,199.214,109.244,4
127,28139,255,255,255,1394.266,796.380,193.507,185.149,171.070,4
128,25958,255,255,255,684.418,803.171,192.396,171.785,127.095,4
129,33840,255,255,255,976.829,818.085,212.424,202.832,17.881,4
130,25856,255,255,255,516.104,874.076,182.031,180.853,43.823,4
131,37069,255,255,255,1164.428,922.022,226.318,208.546,25.971,4
132,33057,255,255,255,341.856,982.006,208.220,202.140,63.116,4
133,35379,255,255,255,1373.033,993.015,214.983,209.533,5.370,4
134,36395,255,255,255,712.324,1006.427,221.338,209.361,66.032,4
135,38612,255,255,255,933.442,1027.883,228.317,215.325,158.966,4
136,25979,255,255,255,519.813,1060.266,182.698,181.050,92.632,4
137,30842,255,255,255,1177.556,1132.140,203.224,193.231,112.529,4
138,35820,255,255,255,371.097,1194.540,216.313,210.840,141.957,4
139,34123,255,255,255,785.735,1209.163,211.161,205.752,75.879,4
140,34157,255,255,255,1368.296,1207.355,215.347,201.953,41.680,4
141,37673,255,255,255,999.699,1240.443,222.530,215.552,137.406,4
142,34744,255,255,255,580.664,1250.666,213.011,207.677,121.167,4
143,35155,255,255,255,327.209,1411.329,228.797,195.635,94.521,4
144,37542,255,255,255,1133.114,1415.363,226.370,211.158,65.297,4
145,37353,255,255,255,739.862,1427.231,233.928,203.307,102.327,4
146,35769,255,255,255,1352.082,1415.843,222.546,204.643,169.879,4
147,33370,255,255,255,530.515,1451.475,212.340,200.094,157.236,4
148,26134,255,255,255,934.994,1444.029,187.670,177.305,102.150,4
149,36620,255,255,255,337.148,360.638,227.876,204.612,97.612,5
150,33713,255,255,255,745.756,345.024,212.557,201.944,63.251,5
151,34368,255,255,255,1071.738,348.841,213.748,204.721,90.100,5
152,34521,255,255,255,541.370,366.534,222.291,197.729,90.192,5
153,36603,255,255,255,1374.431,365.748,217.944,213.837,25.802,5
154,32109,255,255,255,890.625,468.755,229.873,177.848,41.479,5
155,32567,255,255,255,1207.963,505.573,206.919,200.395,40.679,5
156,33032,255,255,255,672.116,537.625,211.319,199.025,153.889,5
157,28651,255,255,255,339.743,568.780,197.913,184.322,14.632,5
158,33393,255,255,255,1385.284,604.024,212.042,200.514,74.365,5
159,34534,255,255,255,1025.900,610.203,210.295,209.087,133.237,5
160,33819,255,255,255,517.430,666.702,214.732,200.528,119.128,5
161,33324,255,255,255,830.025,676.579,216.745,195.757,98.458,5
162,35479,255,255,255,1206.217,720.534,218.453,206.787,74.006,5
163,32726,255,255,255,343.380,769.177,210.048,198.374,114.435,5
164,25661,255,255,255,680.132,791.263,191.651,170.480,131.838,5
165,33749,255,255,255,988.753,815.190,212.731,201.995,12.885,5
166,27965,255,255,255,1388.198,806.585,192.280,185.178,174.857,5
167,25656,255,255,255,515.746,864.902,181.244,180.234,3.346,5
168,37059,255,255,255,1165.744,935.014,226.640,208.193,17.990,5
169,33188,255,255,255,351.439,977.969,208.244,202.917,53.738,5
170,36447,255,255,255,727.565,989.621,221.373,209.627,60.230,5
